edge_selfie,edge_canon_smile,edge_group_selfie,group_selfie_length,node_selfie,topo,SA_score,connection_point,MOFname
[S][C][Branch1][C][Br][Branch1][Ring1][C][Br][C][Branch1][Branch2][C][=C][Branch1][C][Br][C][Fr][C][Branch1][C][Br][Fr],SC(Br)(CBr)C(C=C(Br)C[Fr])C(Br)[Fr],[S][C][Branch][C][Branch][C][Branch][FrH0][pop][Br][pop][C][=C][Branch][C][FrH0][pop][Br][pop][Branch][C][Br][pop][Br],24,[Fr][C][O][Yb][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Yb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N],pcu,6.747036618,"[7, 15]",pcu_N505_edge117261
[N][C][Branch1][C][Fr][C][=C][=C][Branch1][C][Fr][C][C][Ring1][Branch2][Branch1][C][N][N],NC1([Fr])C=C=C([Fr])CC1(N)N,[N][C][Branch][C][=C][=C][Branch][C][C][Branch][N][pop][Branch][N][pop][Ring1][=Branch][pop][FrH0][pop][FrH0],21,[Fr][C][O][Er][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring1][S],lon,6.612619891,"[18, 20]",lon_N627_edge99944
[N][#C][C][Branch1][C][F][C][C][=C][Branch1][C][Fr][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][C][Fr][=C][Ring1][#Branch2][Ring1][=N],N#CC1(F)Cc2c([Fr])c(F)c(F)c([Fr])c21,[:0nitrile][C][C][Branch][C][:0benzene][Ring1][FrH0][pop][Ring1][F][pop][Ring1][F][pop][Ring1][FrH0][pop][Ring1][Ring1][O][pop][pop][F][pop],25,[O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1],pcu,5.607629089,"[7, 16]",pcu_N480_edge206921
[O][=C][C][C][Branch1][Ring1][C][=O][Branch1][Branch2][C][Branch1][Ring1][C][=O][C][Fr][C][Branch1][Ring1][C][=O][C][Branch1][C][Fr][S][N][C][=O],O=CCC(C=O)(C(C=O)C[Fr])C(C=O)C([Fr])SNC=O,[:0alkene][C][C][C][Branch][C][Branch][C][Branch][S][:0amide][pop][FrH0][pop][:0alkene][pop][Branch][C][Branch][C][FrH0][pop][:0alkene][pop][:0alkene][pop],26,[O][=C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][O][C][Branch1][C][Fr][=O],hex,6.601810983,"[12, 20]",hex_N337_edge89732
[O][=C][C][Branch1][C][Fr][C][N][Branch1][C][Fr][SH1][=N][C][Ring1][Branch2][Branch1][Ring1][C][=O][C][=O],O=CC1([Fr])CN([Fr])[SH]=NC1(C=O)C=O,[:0alkene][C][C][Branch][C][N][Branch][S][=N][C][Branch][:0alkene][pop][Branch][:0alkene][pop][Ring1][=Branch][pop][FrH0][pop][FrH0][pop],23,[O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Co][Branch1][Ring2][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C],nbo,6.603459332,"[19, 21]",nbo_N390_edge144328
[O][=C][C][=C][N][Branch1][C][Fr][C][Branch1][Ring1][C][=O][C][Branch1][Ring1][C][=O][N][Ring1][O][Fr],O=CC1=CN([Fr])C(C=O)C(C=O)N1[Fr],[:0alkene][C][C][=C][N][Branch][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][:0alkene][pop][:0alkene][pop][FrH0][pop],23,[O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N],sod,6.116455545,"[12, 21]",sod_N461_edge7267
[N][C][C][C][Branch1][=C][C][C][Branch1][Ring1][C][N][Branch1][Ring1][C][Fr][C][C][Fr][N][C][N],NCCC(CC(CN)(C[Fr])CC[Fr])NCN,[:0methyl_amine][Ring1][C][C][Branch][:0methyl_amine][Ring1][N][pop][pop][C][C][Branch][C][C][FrH0][pop][Branch][C][FrH0][pop][:1methyl_amine][pop],23,[O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][=Branch2],srs,5.585321018,"[15, 19]",srs_N60_edge101327
[N][C][=Branch1][C][=O][C][=C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Fr],NC(=O)C1=C=C([Fr])C=CN1[Fr],[:0amide][Ring1][C][=C][=C][Branch][C][=C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop],17,[Fr][C][O][Co][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][=Branch2],ana,5.828879912,"[10, 15]",ana_N398_edge122581
[N][#C][O][C][=Branch1][Ring1][=C][Fr][C][=C][Branch1][Ring2][O][C][#N][C][Branch1][Ring2][C][#C][Fr][=C][Ring1][#Branch2][O][C][#N],N#COC(=C[Fr])C1=C(OC#N)C(C#C[Fr])=C1OC#N,[:0O_nitrile][C][C][=C][Branch][C][=Branch][=C][Branch][C][Branch][:0O_nitrile][pop][=C][FrH0][pop][Ring1][Ring2][pop][:0O_nitrile][pop][:1alkyne][Ring1][FrH0][pop][pop],26,[Fr][C][O][Dy][Branch2][Ring2][O][O][C][Branch1][C][Fr][O][Dy][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1],crs,5.675009594,"[14, 23]",crs_N152_edge193186
[O][C][Branch1][=Branch2][C][Branch1][C][Br][C][C][C][Fr][C][Branch1][C][S][O][Fr],OC(C(Br)CCC[Fr])C(S)O[Fr],[O][C][Branch][C][Branch][O][FrH0][pop][S][pop][C][Branch][C][C][C][FrH0][pop][Br],18,[Fr][C][O][Co][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][Ring2][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C],lvt,6.400326363,"[6, 15]",lvt_N317_edge137750
