seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
crb_N68_edge54441,[:0alkene][C][C][N][N][Branch][N][C][Branch][C][Branch][FrH0][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][crb],[:0alkene][C][C][N][N][Branch][N][C][Branch][C][Branch][FrH0][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop],0.682,[N][:1alkyne][:0alkene][:3pyridine][=Branch][:1pyridine][:1benzenealcohol][:0benzenealcohol][:0O_nitrile][N][FrH0][pop][Ring2][:1alkyne][:4pyridine][:2pyridine][Ring2][:3imidazole][Ring1][FrH0][pop][pop][=N][:0benzene][:0imidazole][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][crb],[N][:1alkyne][:0alkene][:3pyridine][=Branch][:1pyridine][:1benzenealcohol][:0benzenealcohol][:0O_nitrile][N][FrH0][pop][Ring2][:1alkyne][:4pyridine][:2pyridine][Ring2][:3imidazole][Ring1][FrH0][pop][pop][=N][:0benzene][:0imidazole],NC#Cc1cnccc1-c1cnccc1-c1c(O)cc(C#Cc2ccnc(-c3c[nH]c([Fr])n3)c2-c2ccccc2)cc1N[Fr],0.849,crb_N68_ecf0b974,ecf0b974
qtz_N192_edge36766,[Br][N][C][Branch][N][N][C][Branch][FrH0][pop][Branch][Br][pop][Ring1][Branch][pop][Branch][FrH0][pop][Br][.][Fr][C][O][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch2][Branch1][O][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][N][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][qtz],[Br][N][C][Branch][N][N][C][Branch][FrH0][pop][Branch][Br][pop][Ring1][Branch][pop][Branch][FrH0][pop][Br],0.7565,[:0O_nitrile][C][:4benzenediol][Ring2][:0pyridine][Ring1][:1alkyne][Ring1][:4benzenealcohol][Ring1][:1alkyne][Ring1][:1methyl_amine][Ring1][:0pyridine][Ring1][FrH0][pop][pop][pop][pop][Ring1][:4pyridine][Ring1][FrH0][pop][pop][pop][pop][Ring1][N][:1pyridine][pop][pop][pop][.][Fr][C][O][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch2][Branch1][O][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][N][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][qtz],[:0O_nitrile][C][:4benzenediol][Ring2][:0pyridine][Ring1][:1alkyne][Ring1][:4benzenealcohol][Ring1][:1alkyne][Ring1][:1methyl_amine][Ring1][:0pyridine][Ring1][FrH0][pop][pop][pop][pop][Ring1][:4pyridine][Ring1][FrH0][pop][pop][pop][pop][Ring1][N][:1pyridine][pop][pop][pop],N#COc1ccc(O)c(-c2nccc(Nc3cccnc3)c2C#Cc2cccc(-c3cccc([Fr])n3)c2OC#CCNc2ncccc2[Fr])c1O,0.7705,qtz_N192_011540da,011540da
pcu_N691_edge182609,[FrH0][C][Branch][C][=C][Branch][C][Branch][C][S][C][=Branch][=C][Branch][C][:0methyl][pop][:0methyl][pop][FrH0][pop][=Ring1][->][=Branch][pop][:0methyl][pop][=Ring1][->][Branch][.][O][=C][Branch1][C][Fr][O][Tb][O][C][Branch1][C][Fr][O][Tb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[FrH0][C][Branch][C][=C][Branch][C][Branch][C][S][C][=Branch][=C][Branch][C][:0methyl][pop][:0methyl][pop][FrH0][pop][=Ring1][->][=Branch][pop][:0methyl][pop][=Ring1][->][Branch],0.399,[:1benzenealcohol][:1benzenealcohol][:3pyrimidine][=C][:1carboxylic_acid][=C][FrH0][:2benzenediol][=C][S][S][=Ring1][=Ring1][:2imidazole][:=0methyl_amine][:2imidazole][:2imidazole][=N][=N][O][=N][:0amide][:1alkyne][O][Cl][=N][:1alkyne][:1alkyne][:0pyridine][FrH0][:=1methyl_amine][:=1methyl_amine][:0pyridine][:=1methyl_amine][:0pyridine][:1pyridine][=Ring2][:5benzenealcohol][.][O][=C][Branch1][C][Fr][O][Tb][O][C][Branch1][C][Fr][O][Tb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[:1benzenealcohol][:1benzenealcohol][:3pyrimidine][=C][:1carboxylic_acid][=C][FrH0][:2benzenediol][=C][S][S][=Ring1][=Ring1][:2imidazole][:=0methyl_amine][:2imidazole][:2imidazole][=N][=N][O][=N][:0amide][:1alkyne][O][Cl][=N][:1alkyne][:1alkyne][:0pyridine][FrH0][:=1methyl_amine][:=1methyl_amine][:0pyridine][:=1methyl_amine][:0pyridine][:1pyridine][=Ring2][:5benzenealcohol],O=C(NNON=Nc1nc(C#C[Fr])n(-c2ncccc2-c2ccccn2)c1-c1nc[nH]c1S#Sc1cc(-c2ccccc2O)nc(C(=O)O[Fr])n1)OCl,0.697,pcu_N691_0d33e3e3,0d33e3e3
rob_N173_edge199095,[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][C][C][=Branch][=C][Branch][C][=Branch][=C][Ring1][N][Ring1][=Branch][pop][:1methyl_amine][pop][:1methyl_amine][pop][FrH0][pop][FrH0][pop][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][rob],[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][C][C][=Branch][=C][Branch][C][=Branch][=C][Ring1][N][Ring1][=Branch][pop][:1methyl_amine][pop][:1methyl_amine][pop][FrH0][pop][FrH0][pop],0.142,[:4pyridine][F][:1benzenediol][Cl][:=0amide][Ring1][=C][=Branch][:3pyridine][Ring2][:1alkyne][P][:2imidazole][:1pyridine][pop][O][N][FrH0][:2imidazole][Ring1][:1alkyne][=N][O][O][pop][pop][#C][:=1methyl_amine][:=1methyl_amine][FrH0][FrH0][:1benzenediol][:3benzenediol][:1pyridine][:=1methyl_amine][:3imidazole][:=1methyl_amine][Cl][=O][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][rob],[:4pyridine][F][:1benzenediol][Cl][:=0amide][Ring1][=C][=Branch][:3pyridine][Ring2][:1alkyne][P][:2imidazole][:1pyridine][pop][O][N][FrH0][:2imidazole][Ring1][:1alkyne][=N][O][O][pop][pop][#C][:=1methyl_amine][:=1methyl_amine][FrH0][FrH0][:1benzenediol][:3benzenediol][:1pyridine][:=1methyl_amine][:3imidazole][:=1methyl_amine][Cl][=O],O=C(Nc1c(Oc2ccccn2)cc(O)cc1-c1cnccc1-c1c[nH]c(Cl)n1)C(C=CN[Fr])c1ccc(C#Cc2cncn2N[Fr])nc1,0.199,rob_N173_8aa01423,8aa01423
pcu_N489_edge55492,[FrH0][C][C][N][Branch][N][Branch][FrH0][pop][N][Branch][O][C][pop][S][Ring1][N][pop][O][C][.][Fr][C][C][=C][C][N][Branch1][Ring2][C][=Ring1][=Branch1][Cu][Branch1][=C][N][C][=Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][pcu],[FrH0][C][C][N][Branch][N][Branch][FrH0][pop][N][Branch][O][C][pop][S][Ring1][N][pop][O][C],0.5015,[:0methyl][C][:1alkyne][Ring1][:0benzenediol][->][:1pyridine][#C][:1carboxylic_acid][Ring1][FrH0][pop][pop][N][:4pyridine][N][pop][Branch][:1benzenealcohol][#Branch][Cl][=C][:0pyrimidine][:1pyridine][:3pyridine][:1pyridine][:1methyl_amine][Ring1][:=0amide][Ring1][FrH0][:5benzenealcohol][N][N][:3imidazole][:5benzenealcohol][:1pyridine][:1benzenediol][:3imidazole][.][Fr][C][C][=C][C][N][Branch1][Ring2][C][=Ring1][=Branch1][Cu][Branch1][=C][N][C][=Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][pcu],[:0methyl][C][:1alkyne][Ring1][:0benzenediol][->][:1pyridine][#C][:1carboxylic_acid][Ring1][FrH0][pop][pop][N][:4pyridine][N][pop][Branch][:1benzenealcohol][#Branch][Cl][=C][:0pyrimidine][:1pyridine][:3pyridine][:1pyridine][:1methyl_amine][Ring1][:=0amide][Ring1][FrH0][:5benzenealcohol][N][N][:3imidazole][:5benzenealcohol][:1pyridine][:1benzenediol][:3imidazole],CCC#Cc1c(O)cccc1Oc1cnc(-c2cccc(-c3cc(-c4nccc(-c5cc(-c6c[nH]c(-c7cnccc7-c7c[nH]cn7)n6)cnc5CN=NC(=O)[Fr])n4)cc(O)c3Cl)n2)cc1C(=O)O[Fr],0.708,pcu_N489_6cc8bf06,6cc8bf06
cds_N153_edge62150,[FrH0][N][C][Branch][N][Branch][C][pop][N][C][Branch][FrH0][pop][C][Ring1][O][pop][C][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],[FrH0][N][C][Branch][N][Branch][C][pop][N][C][Branch][FrH0][pop][C][Ring1][O][pop][C],0.4515,[->][:1benzenealcohol][->][:2pyrimidine][:3benzenediol][:3benzenediol][S][:0alkene][=N][:0alkene][O][O][P][FrH0][pop][pop][:2benzenealcohol][:1pyridine][=C][:=1methyl_amine][=N][N][FrH0][:1alkyne][Ring1][=N][Ring1][:1pyridine][:=1methyl_amine][:=1methyl_amine][:5benzenealcohol][:0benzenediol][:2imidazole][:2imidazole][:1alkyne][=O][F][:0pyrimidine][:5benzenediol][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],[->][:1benzenealcohol][->][:2pyrimidine][:3benzenediol][:3benzenediol][S][:0alkene][=N][:0alkene][O][O][P][FrH0][pop][pop][:2benzenealcohol][:1pyridine][=C][:=1methyl_amine][=N][N][FrH0][:1alkyne][Ring1][=N][Ring1][:1pyridine][:=1methyl_amine][:=1methyl_amine][:5benzenealcohol][:0benzenediol][:2imidazole][:2imidazole][:1alkyne][=O][F][:0pyrimidine][:5benzenediol],O=Cc1c(O)cc(O)c(OOP[Fr])c1-c1nc(-c2c(NCNOc3ccccc3-c3[nH]cnc3C#CF)ccnc2CNN[Fr])ncc1-c1ccccc1O,0.5185,cds_N153_41713bda,41713bda
pcu_N35_edge76181,[FrH0][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][pop][S][C][pop][=Ring1][->][O][.][Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][pcu],[FrH0][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][pop][S][C][pop][=Ring1][->][O],0.1945,[:0amide][=O][C][:0amide][#C][:1benzenediol][:0pyrimidine][FrH0][FrH0][pop][pop][Ring1][:4pyridine][C][FrH0][:3benzenediol][:2imidazole][:2imidazole][:1pyridine][:=1methyl_amine][:1pyridine][:5benzenealcohol][N][:3benzenealcohol][:1pyridine][N][N][:5benzenealcohol][:0benzenediol][:2imidazole][:0pyridine][:5benzenediol][:3imidazole][F][N][:4pyridine][.][Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][pcu],[:0amide][=O][C][:0amide][#C][:1benzenediol][:0pyrimidine][FrH0][FrH0][pop][pop][Ring1][:4pyridine][C][FrH0][:3benzenediol][:2imidazole][:2imidazole][:1pyridine][:=1methyl_amine][:1pyridine][:5benzenealcohol][N][:3benzenealcohol][:1pyridine][N][N][:5benzenealcohol][:0benzenediol][:2imidazole][:0pyridine][:5benzenediol][:3imidazole][F][N][:4pyridine],O=C(C[Fr])NCNC(=O)Oc1cc(O)ccc1[Fr],0.766,pcu_N35_3a4b4faa,3a4b4faa
unc_N304_edge76266,[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][Branch][C][Branch][:1methyl_amine][pop][Branch][FrH0][pop][Ring1][Branch][pop][:1methyl_amine][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][Branch][C][Branch][:1methyl_amine][pop][Branch][FrH0][pop][Ring1][Branch][pop][:1methyl_amine][pop][FrH0][pop],0.6695,[:0methyl_amine][Ring1][C][=C][C][Branch][FrH0][pop][:3imidazole][Ring1][:1methyl_amine][Ring1][C][Branch][FrH0][O][:1methyl_amine][pop][pop][pop][:5benzenediol][.][O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],[:0methyl_amine][Ring1][C][=C][C][Branch][FrH0][pop][:3imidazole][Ring1][:1methyl_amine][Ring1][C][Branch][FrH0][O][:1methyl_amine][pop][pop][pop][:5benzenediol],NCC=CC([Fr])c1c[nH]c(CNC([Fr])OCN)n1,0.859,unc_N304_3383a6ea,3383a6ea
cds_N409_edge116973,[FrH0][C][C][=C][C][Branch][C][FrH0][pop][C][Branch][S][:0methyl][pop][:0propyl][.][Fr][C][O][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],[FrH0][C][C][=C][C][Branch][C][FrH0][pop][C][Branch][S][:0methyl][pop][:0propyl],0.568,[:5benzenealcohol][:5benzenealcohol][:0pyrimidine][:1pyridine][:0pyrimidine][Cl][Ring2][Ring2][:1benzenediol][=C][FrH0][pop][N][Ring1][:1alkyne][FrH0][pop][:5benzenediol][:0pyrimidine][:0benzenediol][:3imidazole][:1pyridine][:1benzenealcohol][:1pyridine][:5benzenediol][:0methyl_amine][FrH0][S][:1pyridine][:1alkyne][:0pyridine][:0pyridine][:1pyridine][:3imidazole][:4benzenealcohol][.][Fr][C][O][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],[:5benzenealcohol][:5benzenealcohol][:0pyrimidine][:1pyridine][:0pyrimidine][Cl][Ring2][Ring2][:1benzenediol][=C][FrH0][pop][N][Ring1][:1alkyne][FrH0][pop][:5benzenediol][:0pyrimidine][:0benzenediol][:3imidazole][:1pyridine][:1benzenealcohol][:1pyridine][:5benzenediol][:0methyl_amine][FrH0][S][:1pyridine][:1alkyne][:0pyridine][:0pyridine][:1pyridine][:3imidazole][:4benzenealcohol],Oc1ccc(Oc2cccc(Oc3cnccc3-c3ncccc3-c3cnccc3-c3ccccc3O)c2[Fr])c(-c2nc(-c3ccnc(-c4cccc(O)c4-c4nccc(-c5ncc([Fr])cn5)n4)n3)c[nH]2)c1,0.8815,cds_N409_97cc6ce7,97cc6ce7
sxb_N560_edge215337,[O][O][C][=C][C][=Branch][=C][Branch][:4benzenediol][Ring1][O][pop][Ring2][O][pop][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][sxb],[O][O][C][=C][C][=Branch][=C][Branch][:4benzenediol][Ring1][O][pop][Ring2][O][pop][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][FrH0],0.514,[:3pyridine][=N][:1alkyne][:0pyrimidine][=N][FrH0][pop][pop][:1pyridine][:0benzenediol][:0phosphoric_acid][:1alkyne][:3benzenediol][:2imidazole][N][:1pyridine][:5benzenealcohol][:1benzenediol][pop][pop][:0pyridine][:=1methyl_amine][:1pyridine][:3pyridine][:=1methyl_amine][:1benzenediol][:1pyridine][pop][:=1methyl_amine][:=1methyl_amine][:1benzenediol][:1benzenealcohol][:1benzenealcohol][C][FrH0][=N][N][F][:5benzenealcohol][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][sxb],[:3pyridine][=N][:1alkyne][:0pyrimidine][=N][FrH0][pop][pop][:1pyridine][:0benzenediol][:0phosphoric_acid][:1alkyne][:3benzenediol][:2imidazole][N][:1pyridine][:5benzenealcohol][:1benzenediol][pop][pop][:0pyridine][:=1methyl_amine][:1pyridine][:3pyridine][:=1methyl_amine][:1benzenediol][:1pyridine][pop][:=1methyl_amine][:=1methyl_amine][:1benzenediol][:1benzenealcohol][:1benzenealcohol][C][FrH0][=N][N][F][:5benzenealcohol],Oc1cccc(Oc2ccncc2-n2cnc(CNc3cccnc3Oc3cc(O)cc(CNc4cc(O)c(NF)cc4C[Fr])c3)c2C#COc2cccc(O)c2-c2ncccc2C#CN[Fr])c1,0.784,sxb_N560_2789bbc7,2789bbc7
