seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
sxb_N108_edge70207,[FrH0][C][=C][C][Branch][C][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne][.][Fr][C][=N][N][Zn][N][N][Branch1][=Branch2][N][=C][Branch1][C][Fr][N][Ring1][=Branch1][Zn][Branch2][Ring2][=Branch2][N][N][Branch1][=Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][Zn][Branch1][=N][N][N][=C][Branch1][C][Fr][N][N][Ring1][=C][Ring1][=Branch1][N][N][=C][Branch1][C][Fr][N][N][Ring2][Ring1][Ring2][Ring1][=Branch1][Branch1][=C][N][N][Ring2][Ring1][=N][N][=C][Branch1][C][Fr][N][Ring1][=Branch1][N][Ring2][Ring2][Ring1][N][Ring2][Ring2][=Branch1][&&][sxb],[FrH0][C][=C][C][Branch][C][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne],0.3765,[:0pyrimidine][C][=C][C][:2pyrimidine][C][:1carboxylic_acid][=O][FrH0][:5benzenealcohol][=Ring1][Ring1][Cl][:0benzenediol][:1alkyne][:1benzenealcohol][=Ring1][:5benzenediol][N][:=1methyl_amine][:1pyridine][FrH0][:=1methyl_amine][Cl][N][:0imidazole][:4pyridine][:0pyridine][:0benzenediol][:3imidazole][=O][.][Fr][C][=N][N][Zn][N][N][Branch1][=Branch2][N][=C][Branch1][C][Fr][N][Ring1][=Branch1][Zn][Branch2][Ring2][=Branch2][N][N][Branch1][=Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][Zn][Branch1][=N][N][N][=C][Branch1][C][Fr][N][N][Ring1][=C][Ring1][=Branch1][N][N][=C][Branch1][C][Fr][N][N][Ring2][Ring1][Ring2][Ring1][=Branch1][Branch1][=C][N][N][Ring2][Ring1][=N][N][=C][Branch1][C][Fr][N][Ring1][=Branch1][N][Ring2][Ring2][Ring1][N][Ring2][Ring2][=Branch1][&&][sxb],[:0pyrimidine][C][=C][C][:2pyrimidine][C][:1carboxylic_acid][=O][FrH0][:5benzenealcohol][=Ring1][Ring1][Cl][:0benzenediol][:1alkyne][:1benzenealcohol][=Ring1][:5benzenediol][N][:=1methyl_amine][:1pyridine][FrH0][:=1methyl_amine][Cl][N][:0imidazole][:4pyridine][:0pyridine][:0benzenediol][:3imidazole][=O],C#CC1=NC2=NC(C(=O)O[Fr])=C1C2Cc1nc([Fr])c(Cl)c(-c2nccn2-c2ncccc2-c2c[nH]cn2)n1,0.453,sxb_N108_c75ba1ef,c75ba1ef
sxb_N702_edge81229,[FrH0][C][=C][Branch][N][Branch][C][C][N][Branch][:2pyridine][pop][Ring1][=Branch][pop][FrH0][pop][:2pyridine][.][O][=C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][Branch1][C][Fr][C][Ring1][Branch2][N][C][=C][Branch1][C][Fr][C][=C][Branch1][C][Fr][C][Ring1][Branch2][&&][sxb],[FrH0][C][=C][Branch][N][Branch][C][C][N][Branch][:2pyridine][pop][Ring1][=Branch][pop][FrH0][pop][:2pyridine],0.2215,[:0nitrile][:0nitrile][:0pyrimidine][:0O_nitrile][:0O_nitrile][Ring1][:=1methyl_amine][Ring1][:3pyridine][=O][:2imidazole][->][:3pyridine][=Branch][:1carboxylic_acid][:1carboxylic_acid][:1carboxylic_acid][O][O][O][FrH0][:5benzenealcohol][:5benzenealcohol][:5benzenediol][:1pyridine][:1pyridine][N][:5benzenealcohol][Ring1][FrH0][:3benzenediol][N][:1pyridine][:1pyridine][:5benzenediol][:3benzenealcohol][:1pyridine][:1pyridine][=Ring2][.][O][=C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][Branch1][C][Fr][C][Ring1][Branch2][N][C][=C][Branch1][C][Fr][C][=C][Branch1][C][Fr][C][Ring1][Branch2][&&][sxb],[:0nitrile][:0nitrile][:0pyrimidine][:0O_nitrile][:0O_nitrile][Ring1][:=1methyl_amine][Ring1][:3pyridine][=O][:2imidazole][->][:3pyridine][=Branch][:1carboxylic_acid][:1carboxylic_acid][:1carboxylic_acid][O][O][O][FrH0][:5benzenealcohol][:5benzenealcohol][:5benzenediol][:1pyridine][:1pyridine][N][:5benzenealcohol][Ring1][FrH0][:3benzenediol][N][:1pyridine][:1pyridine][:5benzenediol][:3benzenealcohol][:1pyridine][:1pyridine][=Ring2],N#COc1cc(-c2[nH]cnc2-c2c(C(=O)OC(=O)OOO[Fr])ccnc2-c2cnccc2NOc2cccc(Nc3cnccc3Oc3cccc(O)c3-c3cccnc3)c2[Fr])nc(C#N)n1,0.56,sxb_N702_ca8c9e88,ca8c9e88
crs_N560_edge29487,[:0isocyanate][C][C][Branch][:0methyl_amine][Ring1][N][Branch][N][Ring1][Branch][pop][FrH0][pop][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][crs],[:0isocyanate][C][C][Branch][:0methyl_amine][Ring1][N][Branch][N][Ring1][Branch][pop][FrH0][pop][pop][FrH0][pop],0.5485,[:0alkene][:1benzenediol][:1benzenealcohol][=Branch][C][:2benzenediol][S][Ring1][:1benzenediol][#Branch][:0benzenealcohol][#Branch][FrH0][=N][Ring2][:1methyl_amine][Ring1][:1benzenediol][pop][pop][Branch][:1alkyne][=O][:1benzenealcohol][N][:1benzenediol][:2imidazole][:5benzenediol][Ring2][FrH0][:5benzenealcohol][N][=N][N][:1benzenediol][N][=N][:1benzenealcohol][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][crs],[:0alkene][:1benzenediol][:1benzenealcohol][=Branch][C][:2benzenediol][S][Ring1][:1benzenediol][#Branch][:0benzenealcohol][#Branch][FrH0][=N][Ring2][:1methyl_amine][Ring1][:1benzenediol][pop][pop][Branch][:1alkyne][=O][:1benzenealcohol][N][:1benzenediol][:2imidazole][:5benzenediol][Ring2][FrH0][:5benzenealcohol][N][=N][N][:1benzenediol][N][=N][:1benzenealcohol],O=Cc1cccc(OCc2c(C#Cc3cc(O)ccc3Oc3cc(O)ccc3Oc3ccc(N=NNOc4cc(O)ccc4Nc4cccc(O)c4)c(O[Fr])c3)cc3oc4cccc(O[Fr])c4c3c2O)c1,0.68,crs_N560_0dfa1d71,0dfa1d71
reo_N262_edge206242,[Br][C][=C][Branch][C][C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][Branch][pop][=C][Ring1][N][pop][C][O][FrH0][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][reo],[Br][C][=C][Branch][C][C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][Branch][pop][=C][Ring1][N][pop][C][O][FrH0],0.537,[:0methyl][C][:0pyridine][:1carboxylic_acid][:1benzenealcohol][:1carboxylic_acid][:1alkyne][pop][:2pyrimidine][:1benzenediol][:1pyridine][=Ring1][C][:4benzenealcohol][Ring2][:1methyl_amine][:0pyrimidine][C][O][FrH0][pop][pop][Ring1][:2imidazole][=C][:3imidazole][:5benzenealcohol][:2imidazole][:0amide][:2imidazole][pop][:=1methyl_amine][FrH0][pop][:0benzenediol][:1benzenediol][:0pyridine][:3imidazole][:=1methyl_amine][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][reo],[:0methyl][C][:0pyridine][:1carboxylic_acid][:1benzenealcohol][:1carboxylic_acid][:1alkyne][pop][:2pyrimidine][:1benzenediol][:1pyridine][=Ring1][C][:4benzenealcohol][Ring2][:1methyl_amine][:0pyrimidine][C][O][FrH0][pop][pop][Ring1][:2imidazole][=C][:3imidazole][:5benzenealcohol][:2imidazole][:0amide][:2imidazole][pop][:=1methyl_amine][FrH0][pop][:0benzenediol][:1benzenediol][:0pyridine][:3imidazole][:=1methyl_amine],C#Cc1c(-c2cccnc2CC)cc(O)c(-c2[nH]cnc2-c2c[nH]c(-c3c(-c4cnc[nH]4)nc([Fr])n3Oc3cc(O)ccc3-c3c[nH]cn3)n2)c1Oc1ccc(O[Fr])c(O)c1,0.554,reo_N262_023a01e5,023a01e5
lvt_N214_edge52463,[FrH0][C][N][Branch][N][Branch][:0propyl][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][N][Branch][FrH0][pop][N][Ring1][=N][pop][:0propyl][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][lvt],[FrH0][C][N][Branch][N][Branch][:0propyl][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][N][Branch][FrH0][pop][N][Ring1][=N][pop][:0propyl],0.4035,[:1pyridine][:2pyrimidine][:0alkene][:1alkyne][:1benzenealcohol][:0amide][:1pyridine][FrH0][:=0amide][:1pyridine][:1pyridine][:1pyridine][:1benzenediol][:0imidazole][#C][=C][->][:1pyridine][:2imidazole][Cl][:5benzenediol][O][pop][F][:2imidazole][=N][Cl][F][:5benzenediol][:2imidazole][=O][FrH0][:1benzenediol][:1pyridine][:1pyridine][:3pyridine][=N][:1alkyne][=O][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][lvt],[:1pyridine][:2pyrimidine][:0alkene][:1alkyne][:1benzenealcohol][:0amide][:1pyridine][FrH0][:=0amide][:1pyridine][:1pyridine][:1pyridine][:1benzenediol][:0imidazole][#C][=C][->][:1pyridine][:2imidazole][Cl][:5benzenediol][O][pop][F][:2imidazole][=N][Cl][F][:5benzenediol][:2imidazole][=O][FrH0][:1benzenediol][:1pyridine][:1pyridine][:3pyridine][=N][:1alkyne][=O],C#Cc1cncc(-c2ccncc2Oc2cccc(Oc3nc(Cl)c(-c4ncc(C=Cc5ccc(O)cc5Oc5ccncc5-c5ccnc(C=O)c5NC(=O)[Fr])c(Cl)c4O)[nH]3)c2O[Fr])c1,0.8485,lvt_N214_6dd3ec19,6dd3ec19
ecu_N585_edge108048,[:0phosphoric_acid][C][C][Branch][O][FrH0][pop][Branch][C][O][pop][C][=C][C][=C][FrH0][pop][.][Fr][C][=C][C][Branch1][C][Fr][C][=C][Branch1][Ring2][C][Ring1][#Branch1][Si][Branch1][#C][C][=C][C][Branch1][C][Fr][C][=C][Branch1][C][Fr][C][Ring1][Branch2][Branch1][#C][C][=C][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][=C][Ring1][Branch2][C][=C][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][=C][Ring1][Branch2][&&][ecu],[:0phosphoric_acid][C][C][Branch][O][FrH0][pop][Branch][C][O][pop][C][=C][C][=C][FrH0][pop],0.424,[C][:0pyridine][:5benzenealcohol][:3imidazole][:4benzenealcohol][FrH0][pop][pop][Cl][=N][:2imidazole][F][:5benzenediol][:5benzenediol][:2imidazole][:=1methyl_amine][:5benzenealcohol][Ring1][:3imidazole][:0pyridine][:3pyridine][=C][:1benzenediol][:3benzenealcohol][:1pyridine][:1pyridine][:2imidazole][:3imidazole][FrH0][F][:#1methyl_amine][:0pyridine][:1alkyne][:3imidazole][:5benzenealcohol][:1benzenealcohol][F][:5benzenediol][=N][.][Fr][C][=C][C][Branch1][C][Fr][C][=C][Branch1][Ring2][C][Ring1][#Branch1][Si][Branch1][#C][C][=C][C][Branch1][C][Fr][C][=C][Branch1][C][Fr][C][Ring1][Branch2][Branch1][#C][C][=C][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][=C][Ring1][Branch2][C][=C][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][=C][Ring1][Branch2][&&][ecu],[C][:0pyridine][:5benzenealcohol][:3imidazole][:4benzenealcohol][FrH0][pop][pop][Cl][=N][:2imidazole][F][:5benzenediol][:5benzenediol][:2imidazole][:=1methyl_amine][:5benzenealcohol][Ring1][:3imidazole][:0pyridine][:3pyridine][=C][:1benzenediol][:3benzenealcohol][:1pyridine][:1pyridine][:2imidazole][:3imidazole][FrH0][F][:#1methyl_amine][:0pyridine][:1alkyne][:3imidazole][:5benzenealcohol][:1benzenealcohol][F][:5benzenediol][=N],Cc1nccc(Nc2[nH]cnc2Oc2cccc(O)c2-c2[nH]cnc2Oc2ccccc2-c2c[nH]c(-c3cnccc3Oc3cc(O)ccc3-c3cnccc3-c3[nH]c(CNC#COc4cccc(N)c4F)nc3[Fr])n2)c1-c1c[nH]c([Fr])n1,0.657,ecu_N585_b70940cf,b70940cf
bcg_N337_edge194069,[FrH0][C][=C][O][C][Branch][C][Branch][C][Branch][:1alkyne][Ring1][FrH0][pop][pop][=C][Ring1][=N][pop][Ring1][Ring2][pop][Branch][C][pop][C][.][O][=C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][O][C][Branch1][C][Fr][=O][&&][bcg],[FrH0][C][=C][O][C][Branch][C][Branch][C][Branch][:1alkyne][Ring1][FrH0][pop][pop][=C][Ring1][=N][pop][Ring1][Ring2][pop][Branch][C][pop][C],0.4085,[:3pyrimidine][:3pyridine][:3benzenediol][=C][:=1methyl_amine][:1benzenealcohol][:0pyrimidine][:0pyrimidine][S][FrH0][pop][pop][Cl][:5benzenediol][:2imidazole][S][Cl][Cl][Cl][:1benzenediol][pop][#C][:0pyridine][pop][pop][:0methyl_amine][:1benzenealcohol][:1benzenealcohol][:1benzenealcohol][N][N][N][FrH0][=O][N][:0benzenediol][:0pyridine][:1pyridine][:0benzenediol][.][O][=C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][O][C][Branch1][C][Fr][=O][&&][bcg],[:3pyrimidine][:3pyridine][:3benzenediol][=C][:=1methyl_amine][:1benzenealcohol][:0pyrimidine][:0pyrimidine][S][FrH0][pop][pop][Cl][:5benzenediol][:2imidazole][S][Cl][Cl][Cl][:1benzenediol][pop][#C][:0pyridine][pop][pop][:0methyl_amine][:1benzenealcohol][:1benzenealcohol][:1benzenealcohol][N][N][N][FrH0][=O][N][:0benzenediol][:0pyridine][:1pyridine][:0benzenediol],Oc1ccc(-c2cc(O)cc(Nc3c(O)cccc3Oc3cccnc3)c2NN[Fr])c(-c2ccnc(-c3cc(O)c(CNc4nccc(S[Fr])n4)c(Oc4c(Cl)ncn4Cl)c3)n2)c1,0.614,bcg_N337_5e2335f9,5e2335f9
hex_N372_edge57269,[FrH0][C][C][C][Branch][C][Branch][FrH0][pop][N][Branch][O][C][pop][C][Ring1][N][pop][O][C][.][Fr][C][O][Co][Branch1][Ring2][O][Ring1][Ring2][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],[FrH0][C][C][C][Branch][C][Branch][FrH0][pop][N][Branch][O][C][pop][C][Ring1][N][pop][O][C],0.2975,[:3pyrimidine][:1benzenealcohol][C][=C][FrH0][:0O_nitrile][:0carboxylic_acid][Ring2][:5benzenediol][:5benzenediol][:3pyrimidine][:2pyridine][:2pyridine][:0amide][:1pyrimidine][N][:3imidazole][Ring1][:0pyridine][:1pyridine][:1pyridine][:2imidazole][:1pyridine][=C][:0amide][:0amide][N][FrH0][=O][:2imidazole][:1pyridine][:=1methyl_amine][=N][:3imidazole][=C][:3imidazole][:0pyridine][:1alkyne][=Branch][.][Fr][C][O][Co][Branch1][Ring2][O][Ring1][Ring2][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],[:3pyrimidine][:1benzenealcohol][C][=C][FrH0][:0O_nitrile][:0carboxylic_acid][Ring2][:5benzenediol][:5benzenediol][:3pyrimidine][:2pyridine][:2pyridine][:0amide][:1pyrimidine][N][:3imidazole][Ring1][:0pyridine][:1pyridine][:1pyridine][:2imidazole][:1pyridine][=C][:0amide][:0amide][N][FrH0][=O][:2imidazole][:1pyridine][:=1methyl_amine][=N][:3imidazole][=C][:3imidazole][:0pyridine][:1alkyne][=Branch],C#Cc1nc(-c2nc(Nc3ccncc3-c3ccnc(NC(=O)N[Fr])c3-c3ccncc3-c3cccnc3-c3nc(-c4nccc(-c5cnccc5-c5nccc(-c6c(O)cccc6OC(=O)Oc6ccnc(C=C[Fr])n6)n5)n4)c[nH]3)c[nH]2)c[nH]1,0.752,hex_N372_e6959ad2,e6959ad2
pcu_N162_edge61008,[:0alkene][C][C][Branch][C][Branch][C][C][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][:0alkene][pop][.][Fr][C][=C][C][=C][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Co][Branch2][Ring1][=Branch2][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][N][Ring1][#Branch2][C][=C][C][Branch1][C][Fr][C][=Ring1][#Branch1][Branch2][Ring1][#Branch2][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][N][Ring2][Ring1][Branch2][C][=C][C][Branch1][C][Fr][C][=Ring1][#Branch1][N][Ring2][Ring2][=Branch1][C][=C][Ring2][Ring2][#Branch2][&&][pcu],[:0alkene][C][C][Branch][C][Branch][C][C][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][:0alkene][pop],0.5755,[:0alkene][C][C][:1benzenediol][:1carboxylic_acid][:3pyridine][:3benzenediol][S][FrH0][pop][pop][=C][:5benzenediol][=N][FrH0][N][pop][:3imidazole][:1alkyne][Ring1][:1benzenediol][N][pop][:0nitrile][F][:1benzenealcohol][:1pyridine][.][Fr][C][=C][C][=C][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Co][Branch2][Ring1][=Branch2][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][N][Ring1][#Branch2][C][=C][C][Branch1][C][Fr][C][=Ring1][#Branch1][Branch2][Ring1][#Branch2][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][N][Ring2][Ring1][Branch2][C][=C][C][Branch1][C][Fr][C][=Ring1][#Branch1][N][Ring2][Ring2][=Branch1][C][=C][Ring2][Ring2][#Branch2][&&][pcu],[:0alkene][C][C][:1benzenediol][:1carboxylic_acid][:3pyridine][:3benzenediol][S][FrH0][pop][pop][=C][:5benzenediol][=N][FrH0][N][pop][:3imidazole][:1alkyne][Ring1][:1benzenediol][N][pop][:0nitrile][F][:1benzenealcohol][:1pyridine],O=CCOc1cc(OOc2cc(C#COc3cc(O)c(-c4cccnc4)c(F)c3)cc(O[Fr])c2)ccc1-c1cccnc1S[Fr],0.6765,pcu_N162_e0580d32,e0580d32
rob_N151_edge172876,[N][S][=C][Branch][C][Branch][C][Branch][N][Branch][C][Ring1][=Branch][pop][FrH0][pop][=S][pop][Branch][N][pop][N][pop][FrH0][.][Fr][C][C][=C][N][Zn][Branch2][Ring1][O][N][C][=Branch1][#Branch2][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][=C][C][Branch1][C][Fr][=C][C][N][Ring1][#C][Ring1][#Branch1][Branch2][Ring1][=Branch1][N][C][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][C][=Ring2][Ring1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][N][Ring2][Ring1][P][C][=C][C][Branch1][C][Fr][C][=Ring1][#Branch1][&&][rob],[N][S][=C][Branch][C][Branch][C][Branch][N][Branch][C][Ring1][=Branch][pop][FrH0][pop][=S][pop][Branch][N][pop][N][pop][FrH0],0.509,[:1benzenealcohol][=C][=C][=Ring1][:1pyridine][=N][:1carboxylic_acid][:0pyrimidine][FrH0][:=1methyl_amine][:5benzenediol][:=1methyl_amine][=N][:0imidazole][:0imidazole][#N][:0methyl_amine][:0methyl_amine][F][:1alkyne][#C][:2imidazole][Ring1][:4benzenealcohol][:0pyrimidine][N][:=1methyl_amine][:0pyrimidine][:=1methyl_amine][Branch][FrH0][:=0amide][:2imidazole][:1pyridine][:0pyridine][:5benzenediol][:1pyridine][:1alkyne][F][.][Fr][C][C][=C][N][Zn][Branch2][Ring1][O][N][C][=Branch1][#Branch2][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][=C][C][Branch1][C][Fr][=C][C][N][Ring1][#C][Ring1][#Branch1][Branch2][Ring1][=Branch1][N][C][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][C][=Ring2][Ring1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][N][Ring2][Ring1][P][C][=C][C][Branch1][C][Fr][C][=Ring1][#Branch1][&&][rob],[:1benzenealcohol][=C][=C][=Ring1][:1pyridine][=N][:1carboxylic_acid][:0pyrimidine][FrH0][:=1methyl_amine][:5benzenediol][:=1methyl_amine][=N][:0imidazole][:0imidazole][#N][:0methyl_amine][:0methyl_amine][F][:1alkyne][#C][:2imidazole][Ring1][:4benzenealcohol][:0pyrimidine][N][:=1methyl_amine][:0pyrimidine][:=1methyl_amine][Branch][FrH0][:=0amide][:2imidazole][:1pyridine][:0pyridine][:5benzenediol][:1pyridine][:1alkyne][F],O=C(NC1Oc2cccc1c2CNc1nc(-c2[nH]cnc2-c2cccc(-c3ncccc3-c3cnccc3F)c2ON=CN=CN[Fr])cn1NNCF)O[Fr],0.7225,rob_N151_4250004d,4250004d
