MOFname,linker-SMILES,RDKitLinkerSanity
00958972.2016.1250260_1436516_clean,['c1cc(ccn1)CNC(=O)Nc1cccnc1'],True
00958972.2016.1250260_1436519_clean,['n1cccc(NC(=O)NCc2cccnc2)c1'],True
ABAVIJ_clean,['c1cnccc1C(=O)[O]'],True
ABAYIO_clean,['c1(C(=O)[O])cc(C(=O)[O])cc(C(=O)[O])c1'],True
ABAYOU_clean,['C(=O)(c1cc(C(=O)[O])cc(C(=O)[O])c1)[O]'],True
ABEFUL_clean,['c1cc(ccc1S([O])([O])[O])/C/1=c/2\\cc/c(=C(/C3=N/C(=C(/c4ccc(cc4)S([O])([O])[O])\\c4ccc(/C(=C\\5/C=CC1=N5)/c1ccc(cc1)S([O])([O])[O])[n]4)/C=C3)\\c1ccc(cc1)S([O])([O])[O])/[n]2'],True
ABESUX_clean,['[O]P(=O)([O])[O]'],True
ABETAE_clean,['[O]P(=O)([O])[O]'],True
ABETIN_clean,['c1cc(ccn1)c1cc(c2ccncc2)c(c2ccncc2)cc1c1ccncc1'],True
ABEXEM_clean,"['O=C([O])c1ncnc(c1)C(=O)[O]', 'O=C(C(=O)[O])[O]']",True
ABEXEN_clean,"['O=C([O])c1ccc(cc1)c1ccc(C(=O)[O])cc1', 'O=C(c1ccc(C(=O)[O])s1)[O]']",True
ABEXIQ_clean,"['[O]C(=O)c1ncnc(c1)C(=O)[O]', 'O=C(C(=O)[O])[O]']",True
ABEXOW_clean,"['O=C([O])c1ncnc(c1)C(=O)[O]', 'O=C(C(=O)[O])[O]']",True
ABEXUC_clean,"['O=C([O])c1ncnc(c1)C(=O)[O]', '[O]C(=O)C(=O)[O]']",True
ABEYAJ_clean,"['O=C([O])c1ncnc(c1)C(=O)[O]', '[O]C(=O)C(=O)[O]']",True
ABEYEN_clean,"['O=C([O])c1ncnc(c1)C(=O)[O]', 'O=C(C(=O)[O])[O]']",True
ABEYIR_clean,"['[O]C(=O)c1ncnc(c1)C(=O)[O]', 'O=C(C(=O)[O])[O]']",True
ABIXOZ_clean,['P(=O)([O])([O])[O]'],True
ABIYIV_clean,"['c1cc(ccn1)c1ccncc1', 'c1ccccn1', 'n1c[n]c(c1C(=O)[O])C(=O)[O]']",True
ABULOB_clean,['[O]P(=O)[O]'],True
ABUWOJ_clean,['c1cc(C(=O)[O])ccc1C(=O)[O]'],True
ac403674p_si_001_clean,['c1cnccc1CN[C@@H](CC(C)C)C(=O)[O]'],True
ACAJIY_clean,['C1=N[N]N(CCCn2ncnn2)[N]1'],True
ACAJIZ_clean,"['C(=O)(CCCC(=O)[O])[O]', 'c1cc(ccn1)CCc1ccncc1']",True
ACAJOF_clean,"['C(=O)(CCCC(=O)[O])[O]', 'c1cc(ccn1)CCCc1ccncc1']",True
ACAKUM_clean,['C(=O)(c1cc(c2cn(c3cc(C(=O)[O])cc(C(=O)O)c3)nn2)cc(C(=O)[O])c1)[O]'],True
ACALIB_clean,['c1(cc(C(=O)[O])cc(C(=O)[O])c1)n1cc(c2cc(C(=O)[O])cc(c2)C(=O)O)nn1'],True
ACIBIY_clean,['C(=O)[O]'],True
ACIBOE_clean,['c1(cc(cc(c1)C(=O)[O])C(=O)[O])C(=O)[O]'],True
ACMPCD_SL,"['P(=O)(OC[C]1[C@@H]([C@@H]([C@@H](n2c(=O)nc(cc2)N)O1)O)O)([O])[O]', 'P(=O)(OC[C@H]1[C@@H]([C@@H]([C@@H](n2c(=O)nc(cc2)N)O1)O)O)([O])[O]']",True
ACOCOM_clean,['[C@@H]12[C@H]3[C@H]4[C@@H]1[C@@]12[C@@H]2[C@H]5[C@@H]([C@H]12)[C@@]345.[C@@H]12[C@H]3[C@H]4[C@@H]1[C@@]12[C@@H]2[C@H]5[C@@H]([C@H]12)[C@@]345.[O]C(=O)c1cc2c3cc(C(=O)[O])ccc3[n]c2cc1.O=C([O])c1cc2c3cc(C(=O)[O])ccc3[n]c2cc1'],True
ACOCUS_clean,['[C@@H]12[C@H]3[C@H]4[C@@H]1[C@@]12[C@@H]2[C@H]5[C@@H]([C@H]12)[C@]345.O=C([O])c1cc2c3cc(C(=O)[O])ccc3[n]c2cc1.[C@@H]12[C@H]3[C@H]4[C@@H]1[C@@]12[C@@H]2[C@H]5[C@@H]([C@H]12)[C@]345.C(=O)(c1cc2c(cc1)[n]c1c2cc(C(=O)[O])cc1)[O]'],True
ACODAZ_clean,['[C@@H]12[C@H]3[C@H]4[C@@H]1[C@@]12[C@@H]2[C@H]5[C@@H]([C@H]12)[C@@]345.[C@@H]12[C@H]3[C@H]4[C@@H]1[C@@]12[C@@H]2[C@H]5[C@@H]([C@H]12)[C@@]345.C(=O)(c1cc2c(cc1)[n]c1c2cc(C(=O)[O])cc1)[O].C(=O)(c1cc2c(cc1)[n]c1c2cc(C(=O)[O])cc1)[O]'],True
ACODON_clean,"['P(=O)(c1ccc(cc1)C(=O)[O])(c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O]', '[O]C=O']",True
ACODUT_clean,['[C]1/C=C\\[CH][C]2[C@@]([CH]/C=C\\[C]1[C])([C@]12[C@H]2[CH][CH][CH][CH][C@@H]12)c1cc([C@]23[C]([CH]/C=C\\[C][C](/C=C\\[CH]2)[C])[C@@]23[C@H]3[CH][CH][CH][CH][C@@H]23)cc([C@]23[CH]/C=C\\[C]([C]/C=C\\[CH][C]2[C@@]23[C@H]3[CH][CH][CH][CH][C@@H]23)[C])c1.[C](=O)[O].[C](=O)[O].[C](=O)[O]'],True
ACOGAB_clean,['n1ccc(NC(=O)N2CCN(CCN(C(=O)Nc3ccncc3)CCN(C(=O)Nc3ccncc3)CC2)C(=O)Nc2ccncc2)cc1'],True
ACOGEF_clean,['N1(CCN(CCN(CCN(CC1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1'],True
