seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
unc_N256_edge41279,[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0],0.818904742,[:0propyl][C][C][C][Branch][:0methyl][pop][C][Branch][:0methyl][pop][:0benzenediol][Ring1][C][Branch][:4benzenealcohol][pop][:3pyridine][=Branch][FrH0][pop][pop][Ring1][:4benzenealcohol][pop][:5benzenediol][:=0methyl_amine][FrH0][pop][pop][:1methyl_amine][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[:0propyl][C][C][C][Branch][:0methyl][pop][C][Branch][:0methyl][pop][:0benzenediol][Ring1][C][Branch][:4benzenealcohol][pop][:3pyridine][=Branch][FrH0][pop][pop][Ring1][:4benzenealcohol][pop][:5benzenediol][:=0methyl_amine][FrH0][pop][pop][:1methyl_amine][FrH0],CCCCC(CC)C(CC)c1c(O)c([Fr])c(NC)c(-c2ccccc2O)c1OC(c1ccccc1O)c1cnccc1[Fr],1.011837457,unc_N256_0ff6312d,0ff6312d
cag_N158_edge136329,[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P],0.852598782,[:0propyl][C][:0pyridine][:0propyl][N][Branch][:0propyl][pop][:1methyl_amine][Ring1][FrH0][pop][pop][:5benzenediol][FrH0][pop][:0propyl][:0alkene][pop][pop][->][#Branch][:0propyl][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[:0propyl][C][:0pyridine][:0propyl][N][Branch][:0propyl][pop][:1methyl_amine][Ring1][FrH0][pop][pop][:5benzenediol][FrH0][pop][:0propyl][:0alkene][pop][pop][->][#Branch][:0propyl],CCCc1ncc(C=O)c([Fr])c1N(CCC)CN[Fr],1.043879827,cag_N158_6081f892,6081f892
srs_N315_edge85513,[:0alkene][C][C][=C][Branch][C][Branch][C][Ring1][Ring2][pop][=C][=C][FrH0][pop][FrH0][pop][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],[:0alkene][C][C][=C][Branch][C][Branch][C][Ring1][Ring2][pop][=C][=C][FrH0][pop][FrH0][pop],0.804180091,[:0carboxylic_acid][:1methyl_amine][:0benzenediol][:1methyl_amine][FrH0][pop][:0propyl][:4pyridine][O][:1methyl_amine][:0benzenediol][C][:1benzenediol][:0alkene][C][O][:1imidazole][Branch][:1methyl_amine][Ring1][C][:4benzenealcohol][O][:1methyl_amine][:0nitrile][FrH0][:0phosphoric_acid][pop][pop][:0methyl][pop][pop][pop][pop][N][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],[:0carboxylic_acid][:1methyl_amine][:0benzenediol][:1methyl_amine][FrH0][pop][:0propyl][:4pyridine][O][:1methyl_amine][:0benzenediol][C][:1benzenediol][:0alkene][C][O][:1imidazole][Branch][:1methyl_amine][Ring1][C][:4benzenealcohol][O][:1methyl_amine][:0nitrile][FrH0][:0phosphoric_acid][pop][pop][:0methyl][pop][pop][pop][pop][N],O=COc1c(O)ccc(-c2cccc(CNCOc3cc(O)ccc3COn3ccnc3CNCc3ccccc3OCN[Fr])n2)c1O[Fr],0.961376251,srs_N315_bc9b205e,bc9b205e
utp_N246_edge172936,[:0alkene][C][C][N][Branch][C][Branch][C][Branch][C][=Branch][=S][Branch][:0alkene][pop][Ring1][=Branch][pop][FrH0][pop][Branch][:0alkene][pop][:0alkene][pop][=S][pop][FrH0][pop][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][utp],[:0alkene][C][C][N][Branch][C][Branch][C][Branch][C][=Branch][=S][Branch][:0alkene][pop][Ring1][=Branch][pop][FrH0][pop][Branch][:0alkene][pop][:0alkene][pop][=S][pop][FrH0][pop],0.791115584,[:0propyl][C][C][:0benzene][Ring2][FrH0][pop][Ring1][:0methyl][pop][Ring1][:5benzenediol][=Branch][O][C][C][:0benzenediol][Ring1][FrH0][:0methyl][Ring1][:0propyl][pop][Ring1][:1benzenediol][pop][pop][:4benzenediol][:3pyridine][:1methyl_amine][:0sulfonic_acid][C][F][pop][pop][pop][:4benzenealcohol][Branch][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][utp],[:0propyl][C][C][:0benzene][Ring2][FrH0][pop][Ring1][:0methyl][pop][Ring1][:5benzenediol][=Branch][O][C][C][:0benzenediol][Ring1][FrH0][:0methyl][Ring1][:0propyl][pop][Ring1][:1benzenediol][pop][pop][:4benzenediol][:3pyridine][:1methyl_amine][:0sulfonic_acid][C][F][pop][pop][pop][:4benzenealcohol][Branch],CCCCc1cc([Fr])c(CC)c(Oc2cc(O)cc(OCCc3c(O)cc(Oc4cccc(O)c4)cc3O[Fr])c2-c2cccnc2OS(=O)F)c1,0.935723945,utp_N246_590d5047,590d5047
sod_N184_edge164700,[FrH0][C][=C][Branch][C][Branch][S][C][pop][C][=Branch][=C][=C][C][FrH0][pop][C][Ring1][=C][pop][S][C][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][sod],[FrH0][C][=C][Branch][C][Branch][S][C][pop][C][=Branch][=C][=C][C][FrH0][pop][C][Ring1][=C][pop][S][C],0.863509228,[:0propyl][C][C][C][:2pyridine][Branch][C][:1benzenealcohol][=Branch][C][:0propyl][pop][:1methyl_amine][C][C][C][FrH0][:0propyl][pop][Ring1][C][:0benzenediol][:3pyrimidine][Ring2][O][C][pop][:1benzenealcohol][FrH0][pop][pop][:0propyl][:0pyridine][:3imidazole][=N][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][N][C][Ring1][=Branch1][&&][sod],[:0propyl][C][C][C][:2pyridine][Branch][C][:1benzenealcohol][=Branch][C][:0propyl][pop][:1methyl_amine][C][C][C][FrH0][:0propyl][pop][Ring1][C][:0benzenediol][:3pyrimidine][Ring2][O][C][pop][:1benzenealcohol][FrH0][pop][pop][:0propyl][:0pyridine][:3imidazole][=N],CCCCCc1ccnc(Cc2cc(Cc3c(O)ccc([Fr])c3O)c(-c3ncccc3N)c(OCCCC)c2CCC[Fr])c1,1.024280743,sod_N184_22184e7b,22184e7b
lvt_N447_edge50011,[FrH0][C][Branch][S][N][C][Branch][C][FrH0][pop][Branch][C][pop][C][pop][=Ring1][->][Branch][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],[FrH0][C][Branch][S][N][C][Branch][C][FrH0][pop][Branch][C][pop][C][pop][=Ring1][->][Branch],0.906110022,[:0propyl][C][:4benzenediol][Ring1][FrH0][pop][Ring1][:4benzenealcohol][Ring1][N][C][Branch][C][:2imidazole][:0methyl][:0methyl_amine][pop][Branch][N][:1imidazole][O][FrH0][pop][pop][pop][:1methyl_amine][:0propyl][:0propyl][Ring2][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],[:0propyl][C][:4benzenediol][Ring1][FrH0][pop][Ring1][:4benzenealcohol][Ring1][N][C][Branch][C][:2imidazole][:0methyl][:0methyl_amine][pop][Branch][N][:1imidazole][O][FrH0][pop][pop][pop][:1methyl_amine][:0propyl][:0propyl][Ring2],CCCNCC(Cc1[nH]c(Nn2cnc([Fr])c2)nc1NC)NOc1ccccc1-c1c(O)ccc(CCC)c1O[Fr],1.015423102,lvt_N447_f9c097d7,f9c097d7
unc_N328_edge24285,[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][C][=C][Branch][O][FrH0][pop][P][Branch][C][pop][C][.][Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][unc],[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][C][=C][Branch][O][FrH0][pop][P][Branch][C][pop][C],0.965172846,[:0propyl][N][:1methyl_amine][Ring1][:1alkyne][Ring1][C][Branch][O][FrH0][pop][:2benzenediol][Branch][C][C][FrH0][pop][:0methyl][:1methyl_amine][:0methyl][:0methyl][:1methyl_amine][:1pyridine][Ring2][:4benzenealcohol][pop][:#1methyl_amine][:1amide][pop][pop][pop][pop][:0benzenediol][.][Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][unc],[:0propyl][N][:1methyl_amine][Ring1][:1alkyne][Ring1][C][Branch][O][FrH0][pop][:2benzenediol][Branch][C][C][FrH0][pop][:0methyl][:1methyl_amine][:0methyl][:0methyl][:1methyl_amine][:1pyridine][Ring2][:4benzenealcohol][pop][:#1methyl_amine][:1amide][pop][pop][pop][pop][:0benzenediol],CCCCNC#CC(O[Fr])c1c(O)c(CNCC)c(OCC[Fr])c(C(N)=O)c1-c1ccccc1O,1.036258652,unc_N328_77be71dc,77be71dc
cds_N173_edge125012,[P][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][C][Branch][FrH0][pop][Branch][P][pop][P][pop][P][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],[P][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][C][Branch][FrH0][pop][Branch][P][pop][P][pop][P],0.603816601,[:0methyl][C][C][Branch][:5benzenealcohol][:4benzenediol][O][C][F][pop][:0sulfonic_acid][:0carboxylic_acid][:4benzenediol][N][pop][pop][:0amide][:0propyl][Ring1][:3imidazole][Ring1][:3imidazole][:0amide][:2benzenediol][:3pyrimidine][:4benzenealcohol][:0isocyanate][FrH0][:2pyridine][:5benzenealcohol][:0pyridine][:0imidazole][:0benzenediol][:4benzenealcohol][:0benzenealcohol][:0benzenealcohol][:2imidazole][FrH0][:4pyridine][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],[:0methyl][C][C][Branch][:5benzenealcohol][:4benzenediol][O][C][F][pop][:0sulfonic_acid][:0carboxylic_acid][:4benzenediol][N][pop][pop][:0amide][:0propyl][Ring1][:3imidazole][Ring1][:3imidazole][:0amide][:2benzenediol][:3pyrimidine][:4benzenealcohol][:0isocyanate][FrH0][:2pyridine][:5benzenealcohol][:0pyridine][:0imidazole][:0benzenediol][:4benzenealcohol][:0benzenealcohol][:0benzenealcohol][:2imidazole][FrH0][:4pyridine],CCCOc1c(-c2c(O)cc(O)cc2-c2cccc(Oc3ccccc3-c3nccn3-c3ccccc3Oc3c(O)cccc3[Fr])c2O[Fr])cc(CCC)c(OC(N)=O)c1OCF,0.872670074,cds_N173_8c06f0aa,8c06f0aa
ths_N415_edge62104,[FrH0][C][N][:0methyl_amine][Ring1][N][Branch][C][Branch][:0benzene][pop][Ring1][=Branch][pop][FrH0][pop][.][Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],[FrH0][C][N][:0methyl_amine][Ring1][N][Branch][C][Branch][:0benzene][pop][Ring1][=Branch][pop][FrH0][pop],0.865777357,[:0propyl][:5benzenealcohol][:5benzenealcohol][:0propyl][:5benzenealcohol][pop][Ring2][:1methyl_amine][:4benzenediol][:3imidazole][:0O_nitrile][C][FrH0][pop][pop][:0propyl][:1methyl_amine][pop][FrH0][:4benzenediol][:0amide][FrH0][C][C][Ring2][:0methyl_amine][:0benzenediol][Ring1][N][:0benzenealcohol][.][Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],[:0propyl][:5benzenealcohol][:5benzenealcohol][:0propyl][:5benzenealcohol][pop][Ring2][:1methyl_amine][:4benzenediol][:3imidazole][:0O_nitrile][C][FrH0][pop][pop][:0propyl][:1methyl_amine][pop][FrH0][:4benzenediol][:0amide][FrH0][C][C][Ring2][:0methyl_amine][:0benzenediol][Ring1][N][:0benzenealcohol],CCCOc1c(Oc2ccccc2)cc(CNc2c[nH]c(C[Fr])n2)cc1-c1ccc(O)c(Cc2ccccc2O)c1O[Fr],0.951481982,ths_N415_42bf18df,42bf18df
nbo_N715_edge50153,[FrH0][N][C][=C][Branch][C][Branch][FrH0][pop][C][Ring1][=Branch][pop][S][C][.][N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][nbo],[FrH0][N][C][=C][Branch][C][Branch][FrH0][pop][C][Ring1][=Branch][pop][S][C],0.825197071,[:0propyl][:4benzenediol][:4benzenealcohol][Ring2][SH2][N][:1benzenealcohol][=C][C][:0pyridine][:0benzenediol][:0methyl_amine][:5benzenealcohol][Ring1][:1methyl_amine][C][FrH0][pop][pop][pop][pop][:1alkyne][FrH0][:=0methyl_amine][pop][:0methyl][:0pyridine][:0methyl][:3pyrimidine][.][N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][nbo],[:0propyl][:4benzenediol][:4benzenealcohol][Ring2][SH2][N][:1benzenealcohol][=C][C][:0pyridine][:0benzenediol][:0methyl_amine][:5benzenealcohol][Ring1][:1methyl_amine][C][FrH0][pop][pop][pop][pop][:1alkyne][FrH0][:=0methyl_amine][pop][:0methyl][:0pyridine][:0methyl][:3pyrimidine],CCCc1c(-c2ncccc2-c2ccncn2)cc([Fr])c([SH2]Nc2ccc(Cc3ncccc3NCC[Fr])c(O)c2)c1O,0.907413726,nbo_N715_006689d7,006689d7
