seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
nbo-a_N245_edge111738,[Cl][S][=C][Branch][C][Branch][N][Branch][C][Branch][Cl][pop][Branch][Cl][pop][Ring1][Branch][pop][FrH0][pop][Branch][Cl][pop][Cl][pop][FrH0][.][Fr][C][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][&&][nbo-a],[Cl][S][=C][Branch][C][Branch][N][Branch][C][Branch][Cl][pop][Branch][Cl][pop][Ring1][Branch][pop][FrH0][pop][Branch][Cl][pop][Cl][pop][FrH0],0.569280544,[:0amide][Ring1][C][C][FrH0][:2pyridine][:5benzenealcohol][:1methyl_amine][Ring1][C][C][C][:1methyl_amine][O][FrH0][pop][:3pyridine][pop][:0propyl][:0carboxylic_acid][:3pyridine][=C][:0pyridine][:1methyl_amine][:5benzenediol][.][Fr][C][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][&&][nbo-a],[:0amide][Ring1][C][C][FrH0][:2pyridine][:5benzenealcohol][:1methyl_amine][Ring1][C][C][C][:1methyl_amine][O][FrH0][pop][:3pyridine][pop][:0propyl][:0carboxylic_acid][:3pyridine][=C][:0pyridine][:1methyl_amine][:5benzenediol],O=C(CC[Fr])NOc1cccc(CCN[Fr])c1,0.916563909385496,nbo-a_N245_fdb5c788,fdb5c788
cag_N583_edge157119,[F][C][=Branch][=C][C][=C][Branch][C][=C][Ring1][Ring2][pop][FrH0][pop][FrH0][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][cag],[F][C][=Branch][=C][C][=C][Branch][C][=C][Ring1][Ring2][pop][FrH0][pop][FrH0],0.728213115,[:0methyl][:3benzenediol][C][Branch][FrH0][pop][:1methyl_amine][C][:0phosphoric_acid][:0imidazole][FrH0][pop][pop][C][:0benzenealcohol][:0benzenealcohol][:5benzenealcohol][:1benzenealcohol][:2imidazole][:3pyridine][:5benzenealcohol][:2pyridine][pop][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][cag],[:0methyl][:3benzenediol][C][Branch][FrH0][pop][:1methyl_amine][C][:0phosphoric_acid][:0imidazole][FrH0][pop][pop][C][:0benzenealcohol][:0benzenealcohol][:5benzenealcohol][:1benzenealcohol][:2imidazole][:3pyridine][:5benzenealcohol][:2pyridine][pop],CCC([Fr])CNOP(=O)(O)O[Fr],0.971648386538824,cag_N583_8d9b930c,8d9b930c
pcu_N555_edge82273,[FrH0][C][C][N][Branch][C][Branch][C][=C][Branch][:1imidazole][pop][Ring1][=Branch][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Tb][Branch2][Ring2][C][O][C][Branch1][C][Fr][O][Tb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[FrH0][C][C][N][Branch][C][Branch][C][=C][Branch][:1imidazole][pop][Ring1][=Branch][pop][:1imidazole][pop][FrH0],0.747890347,[pop][Ring1][:1methyl_amine][Ring1][C][C][FrH0][pop][:0carboxylic_acid][FrH0][FrH0][:1methyl_amine][pop][:0methyl][:3benzenediol][:3pyrimidine][:=1methyl_amine][:3benzenediol][:0pyridine][:3benzenediol][:#1methyl_amine][:2imidazole][:0methyl][:0pyridine][:2imidazole][:0propyl][:2pyrimidine][:4benzenediol][:1pyrimidine][.][O][=C][Branch1][C][Fr][O][Tb][Branch2][Ring2][C][O][C][Branch1][C][Fr][O][Tb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[pop][Ring1][:1methyl_amine][Ring1][C][C][FrH0][pop][:0carboxylic_acid][FrH0][FrH0][:1methyl_amine][pop][:0methyl][:3benzenediol][:3pyrimidine][:=1methyl_amine][:3benzenediol][:0pyridine][:3benzenediol][:#1methyl_amine][:2imidazole][:0methyl][:0pyridine][:2imidazole][:0propyl][:2pyrimidine][:4benzenediol][:1pyrimidine],[Fr]CCCN[Fr],0.8215584871221804,pcu_N555_22d0c7af,22d0c7af
sod_N262_edge200549,[:0methyl_amine][Ring1][C][=C][N][Branch][C][=C][Branch][C][=C][Branch][C][N][Branch][C][Branch][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][sod],[:0methyl_amine][Ring1][C][=C][N][Branch][C][=C][Branch][C][=C][Branch][C][N][Branch][C][Branch][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop],0.981115837,[:0propyl][C][:0methyl_amine][Ring1][C][Branch][C][=C][FrH0][:0methyl_amine][C][C][:1methyl_amine][Ring1][FrH0][pop][pop][pop][N][N][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][sod],[:0propyl][C][:0methyl_amine][Ring1][C][Branch][C][=C][FrH0][:0methyl_amine][C][C][:1methyl_amine][Ring1][FrH0][pop][pop][pop][N][N],CCCNCC(C=C[Fr])NCCCN[Fr],0.966370812360864,sod_N262_023fb822,023fb822
pcu_N480_edge58907,[FrH0][N][:1methyl_amine][Ring1][C][Branch][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne][pop][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[FrH0][N][:1methyl_amine][Ring1][C][Branch][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne][pop],0.900013583,[:0propyl][:3benzenealcohol][C][Branch][:0methyl_amine][Ring1][FrH0][pop][pop][:0methyl_amine][:0propyl][C][C][C][C][O][FrH0][pop][pop][pop][:4pyridine][:0methyl][FrH0][:1benzenealcohol][:0carboxylic_acid][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[:0propyl][:3benzenealcohol][C][Branch][:0methyl_amine][Ring1][FrH0][pop][pop][:0methyl_amine][:0propyl][C][C][C][C][O][FrH0][pop][pop][pop][:4pyridine][:0methyl][FrH0][:1benzenealcohol][:0carboxylic_acid],CCCC(NC[Fr])NCCCCCO[Fr],1.0331599594174032,pcu_N480_65a45960,65a45960
nbo_N263_edge83122,[Cl][C][=C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][Cl][pop][Cl][pop][Cl][pop][Cl][pop][FrH0][.][S][Mn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][S][&&][nbo],[Cl][C][=C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][Cl][pop][Cl][pop][Cl][pop][Cl][pop][FrH0],0.758142812,[:0methyl_amine][C][:0pyridine][Branch][FrH0][pop][:4benzenealcohol][:2benzenediol][O][pop][Ring1][FrH0][pop][Ring1][Cl][pop][Ring1][C][pop][Ring1][:1methyl_amine][:=0amide][pop][:0methyl_amine][.][S][Mn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][S][&&][nbo],[:0methyl_amine][C][:0pyridine][Branch][FrH0][pop][:4benzenealcohol][:2benzenediol][O][pop][Ring1][FrH0][pop][Ring1][Cl][pop][Ring1][C][pop][Ring1][:1methyl_amine][:=0amide][pop][:0methyl_amine],CNc1ccc([Fr])c(-c2cc([Fr])c(OCl)c(C)c2OCN)n1,0.9317043487408688,nbo_N263_51394e35,51394e35
sxb_N569_edge61497,[N][C][C][Branch][C][Branch][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][N][pop][Ring1][=Branch][pop][N][pop][FrH0][pop][Branch][N][pop][N][pop][N][.][O][S][Branch1][C][Fr][Branch1][C][O][O][Cd][Branch1][#Branch2][O][S][Branch1][C][Fr][Branch1][C][O][O][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][&&][sxb],[N][C][C][Branch][C][Branch][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][N][pop][Ring1][=Branch][pop][N][pop][FrH0][pop][Branch][N][pop][N][pop][N],0.975884864,[C][C][Branch][C][FrH0][pop][C][Branch][:1methyl_amine][:1pyridine][:0methyl_amine][Ring1][C][Branch][:1benzenediol][pop][Branch][:0benzene][pop][N][Branch][FrH0][pop][:1methyl_amine][pop][:0propyl][.][O][S][Branch1][C][Fr][Branch1][C][O][O][Cd][Branch1][#Branch2][O][S][Branch1][C][Fr][Branch1][C][O][O][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][&&][sxb],[C][C][Branch][C][FrH0][pop][C][Branch][:1methyl_amine][:1pyridine][:0methyl_amine][Ring1][C][Branch][:1benzenediol][pop][Branch][:0benzene][pop][N][Branch][FrH0][pop][:1methyl_amine][pop][:0propyl],CC(C[Fr])CCNNCC(Oc1cccc(O)c1)(c1ccccc1)N([Fr])CN,1.0202462459105577,sxb_N569_9511240a,9511240a
nbo_N317_edge211214,[S][C][=C][Branch][C][=C][Branch][FrH0][pop][Ring1][Ring2][pop][:3pyridine][Ring2][FrH0][pop][Ring1][S][pop][Ring1][S][pop][.][Fr][C][O][Co][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][Ring2][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][nbo],[S][C][=C][Branch][C][=C][Branch][FrH0][pop][Ring1][Ring2][pop][:3pyridine][Ring2][FrH0][pop][Ring1][S][pop][Ring1][S][pop],0.763490298,[:0benzenediol][C][pop][:5benzenealcohol][:4benzenealcohol][:1alkyne][:1methyl_amine][:0pyrimidine][FrH0][:0methyl][:1alkyne][C][:=0amide][:0pyridine][FrH0][:5benzenealcohol][pop][O][:1alkyne][:4benzenealcohol][:0propyl][:1amide][pop][:0propyl][pop][#N][:=0amide][.][Fr][C][O][Co][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][Ring2][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][nbo],[:0benzenediol][C][pop][:5benzenealcohol][:4benzenealcohol][:1alkyne][:1methyl_amine][:0pyrimidine][FrH0][:0methyl][:1alkyne][C][:=0amide][:0pyridine][FrH0][:5benzenealcohol][pop][O][:1alkyne][:4benzenealcohol][:0propyl][:1amide][pop][:0propyl][pop][#N][:=0amide],CCCC#Cc1cc(NC=O)c(O)cc1Oc1cccc(C=NC(=O)[Fr])c1OCN[Fr],0.7793263727678429,nbo_N317_ede14196,ede14196
utp_N137_edge100842,[S][C][=C][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][S][pop][Ring1][Branch][pop][S][pop][C][Branch][C][Branch][FrH0][pop][S][pop][S][.][Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Co][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Co][Ring1][O][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][&&][utp],[S][C][=C][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][S][pop][Ring1][Branch][pop][S][pop][C][Branch][C][Branch][FrH0][pop][S][pop][S],0.664389094,[:0propyl][C][C][N][Branch][C][C][FrH0][pop][:1carboxylic_acid][C][:4pyridine][Ring1][C][FrH0][pop][pop][:0methyl_amine][:3imidazole][:3pyrimidine][:4benzenealcohol][:4benzenediol][:2benzenediol][:=1methyl_amine][#N][=O][:2pyridine][:3pyridine][:1benzenediol][.][Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Co][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Co][Ring1][O][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][&&][utp],[:0propyl][C][C][N][Branch][C][C][FrH0][pop][:1carboxylic_acid][C][:4pyridine][Ring1][C][FrH0][pop][pop][:0methyl_amine][:3imidazole][:3pyrimidine][:4benzenealcohol][:4benzenediol][:2benzenediol][:=1methyl_amine][#N][=O][:2pyridine][:3pyridine][:1benzenediol],CCCCN(CC[Fr])C(=O)Oc1cccc(C[Fr])n1,0.924714581987053,utp_N137_7cc40516,7cc40516
lon_N383_edge22020,[FrH0][C][C][C][=C][=N][C][Branch][:2pyrimidine][pop][FrH0][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][lon],[FrH0][C][C][C][=C][=N][C][Branch][:2pyrimidine][pop][FrH0],0.894180306,[Branch][C][:3pyrimidine][C][Branch][FrH0][pop][:0benzene][=Branch][C][FrH0][:2imidazole][:3benzenealcohol][:0methyl_amine][pop][pop][:0pyridine][:1methyl_amine][:0benzenediol][:2imidazole][:0methyl][C][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][lon],[Branch][C][:3pyrimidine][C][Branch][FrH0][pop][:0benzene][=Branch][C][FrH0][:2imidazole][:3benzenealcohol][:0methyl_amine][pop][pop][:0pyridine][:1methyl_amine][:0benzenediol][:2imidazole][:0methyl][C],Cc1nc([Fr])nc(C[Fr])c1-c1cccc(O)c1,0.8683934706402704,lon_N383_f9697eaf,f9697eaf
