,seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
0,nbo-a_N245_edge111738,[Cl][S][=C][Branch][C][Branch][N][Branch][C][Branch][Cl][pop][Branch][Cl][pop][Ring1][Branch][pop][FrH0][pop][Branch][Cl][pop][Cl][pop][FrH0][.][Fr][C][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][&&][nbo-a],[Cl][S][=C][Branch][C][Branch][N][Branch][C][Branch][Cl][pop][Branch][Cl][pop][Ring1][Branch][pop][FrH0][pop][Branch][Cl][pop][Cl][pop][FrH0],0.569280544,[:0propyl][C][C][Branch][:1methyl_amine][:3imidazole][C][Branch][C][C][FrH0][P][:0methyl_amine][Ring1][O][N][FrH0][pop][:0methyl][:0propyl][:0propyl][:1pyrimidine][#Branch][:0pyrimidine][:4benzenealcohol][:0propyl][:1benzenediol][:3benzenediol][:3pyridine][:0benzene][.][Fr][C][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][&&][nbo-a],[:0propyl][C][C][Branch][:1methyl_amine][:3imidazole][C][Branch][C][C][FrH0][P][:0methyl_amine][Ring1][O][N][FrH0][pop][:0methyl][:0propyl][:0propyl][:1pyrimidine][#Branch][:0pyrimidine][:4benzenealcohol][:0propyl][:1benzenediol][:3benzenediol][:3pyridine][:0benzene],CCCC(CCC)CNC(CC[Fr])PNCON[Fr],0.890355653,nbo-a_N245_f762f538,f762f538
1,cag_N583_edge157119,[F][C][=Branch][=C][C][=C][Branch][C][=C][Ring1][Ring2][pop][FrH0][pop][FrH0][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][cag],[F][C][=Branch][=C][C][=C][Branch][C][=C][Ring1][Ring2][pop][FrH0][pop][FrH0],0.728213115,[:0amide][Ring1][S][:0benzenealcohol][Ring1][:4benzenediol][=Branch][C][FrH0][pop][Branch][C][:1methyl_amine][Ring1][:5benzenealcohol][Ring1][C][FrH0][pop][:0methyl][:1amide][:1alkyne][O][pop][pop][pop][pop][:0propyl][:4pyridine][:0amide][pop][:0benzenediol][:0benzenediol][:3benzenediol][:4benzenealcohol][:2pyridine][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][cag],[:0amide][Ring1][S][:0benzenealcohol][Ring1][:4benzenediol][=Branch][C][FrH0][pop][Branch][C][:1methyl_amine][Ring1][:5benzenealcohol][Ring1][C][FrH0][pop][:0methyl][:1amide][:1alkyne][O][pop][pop][pop][pop][:0propyl][:4pyridine][:0amide][pop][:0benzenediol][:0benzenediol][:3benzenediol][:4benzenealcohol][:2pyridine],NC(=O)Sc1c(O)cccc1-c1cc(C[Fr])c(O)c(-c2ccc(-c3c(O)cccc3Oc3ccccc3O)cn2)c1OCCNOc1cccc(C(=O)NO)c1C[Fr],0.910140205,cag_N583_dce712cb,dce712cb
2,pcu_N555_edge82273,[FrH0][C][C][N][Branch][C][Branch][C][=C][Branch][:1imidazole][pop][Ring1][=Branch][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Tb][Branch2][Ring2][C][O][C][Branch1][C][Fr][O][Tb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[FrH0][C][C][N][Branch][C][Branch][C][=C][Branch][:1imidazole][pop][Ring1][=Branch][pop][:1imidazole][pop][FrH0],0.747890347,[:0propyl][C][:1methyl_amine][:1amide][C][:0benzenealcohol][FrH0][C][O][FrH0][pop][:5benzenediol][O][C][:1methyl_amine][Ring1][:0benzenediol][Ring2][:1methyl_amine][pop][C][:1alkyne][Ring1][C][C][FrH0][pop][:0benzenealcohol][pop][pop][pop][:0methyl_amine][pop][Branch][.][O][=C][Branch1][C][Fr][O][Tb][Branch2][Ring2][C][O][C][Branch1][C][Fr][O][Tb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[:0propyl][C][:1methyl_amine][:1amide][C][:0benzenealcohol][FrH0][C][O][FrH0][pop][:5benzenediol][O][C][:1methyl_amine][Ring1][:0benzenediol][Ring2][:1methyl_amine][pop][C][:1alkyne][Ring1][C][C][FrH0][pop][:0benzenealcohol][pop][pop][pop][:0methyl_amine][pop][Branch],CCCCNCc1c(O)ccc(OCCNc2c(O)cc(C#CCC[Fr])c(CN)c2O)c1CO[Fr],0.937005425,pcu_N555_1ac5c9f3,1ac5c9f3
3,sod_N262_edge200549,[:0methyl_amine][Ring1][C][=C][N][Branch][C][=C][Branch][C][=C][Branch][C][N][Branch][C][Branch][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][sod],[:0methyl_amine][Ring1][C][=C][N][Branch][C][=C][Branch][C][=C][Branch][C][N][Branch][C][Branch][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop][:1methyl_amine][pop][Ring1][Branch][pop][FrH0][pop],0.981115837,[:0propyl][C][:4benzenealcohol][:1methyl_amine][C][C][C][FrH0][:0methyl][:0benzene][pop][Branch][:0methyl][pop][Ring1][C][C][=C][Branch][:1methyl_amine][pop][C][C][Branch][N][:0methyl_amine][Ring1][FrH0][pop][pop][O][:1methyl_amine][pop][pop][:0benzene][:0benzenediol][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][sod],[:0propyl][C][:4benzenealcohol][:1methyl_amine][C][C][C][FrH0][:0methyl][:0benzene][pop][Branch][:0methyl][pop][Ring1][C][C][=C][Branch][:1methyl_amine][pop][C][C][Branch][N][:0methyl_amine][Ring1][FrH0][pop][pop][O][:1methyl_amine][pop][pop][:0benzene][:0benzenediol],CCCc1c(CC)cc(CC=C(CN)CC(NNC[Fr])OCN)c(-c2ccccc2)c1OCCC[Fr],1.058929801,sod_N262_f92e0fcc,f92e0fcc
4,pcu_N480_edge58907,[FrH0][N][:1methyl_amine][Ring1][C][Branch][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne][pop][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[FrH0][N][:1methyl_amine][Ring1][C][Branch][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne][pop],0.900013583,[:0propyl][C][:1benzenediol][=Branch][:1benzenealcohol][=Branch][FrH0][pop][:0methyl][C][=C][Branch][C][=C][Branch][:0amide][pop][O][N][:1sulfonic_acid][Ring1][C][FrH0][pop][:1methyl_amine][:1pyridine][pop][pop][pop][:0methyl_amine][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[:0propyl][C][:1benzenediol][=Branch][:1benzenealcohol][=Branch][FrH0][pop][:0methyl][C][=C][Branch][C][=C][Branch][:0amide][pop][O][N][:1sulfonic_acid][Ring1][C][FrH0][pop][:1methyl_amine][:1pyridine][pop][pop][pop][:0methyl_amine],CCCOc1cccc(Oc2cccc(O[Fr])c2C=C(C=C(NC=O)ONS(=O)OC[Fr])c2cccnc2)c1,0.941410863,pcu_N480_ea67bba8,ea67bba8
5,nbo_N263_edge83122,[Cl][C][=C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][Cl][pop][Cl][pop][Cl][pop][Cl][pop][FrH0][.][S][Mn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][S][&&][nbo],[Cl][C][=C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][Cl][pop][Cl][pop][Cl][pop][Cl][pop][FrH0],0.758142812,[:0propyl][C][:5benzenealcohol][=Branch][C][Branch][FrH0][pop][N][pop][Ring1][C][C][Branch][:1methyl_amine][pop][C][Branch][C][pop][N][:=0methyl_amine][Ring1][FrH0][:0methyl_amine][pop][pop][.][S][Mn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][S][&&][nbo],[:0propyl][C][:5benzenealcohol][=Branch][C][Branch][FrH0][pop][N][pop][Ring1][C][C][Branch][:1methyl_amine][pop][C][Branch][C][pop][N][:=0methyl_amine][Ring1][FrH0][:0methyl_amine][pop][pop],CCCOc1cccc(C(N)[Fr])c1CC(CN)C(C)N=NC[Fr],1.062531796,nbo_N263_391b6c08,391b6c08
6,sxb_N569_edge61497,[N][C][C][Branch][C][Branch][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][N][pop][Ring1][=Branch][pop][N][pop][FrH0][pop][Branch][N][pop][N][pop][N][.][O][S][Branch1][C][Fr][Branch1][C][O][O][Cd][Branch1][#Branch2][O][S][Branch1][C][Fr][Branch1][C][O][O][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][&&][sxb],[N][C][C][Branch][C][Branch][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][N][pop][Ring1][=Branch][pop][N][pop][FrH0][pop][Branch][N][pop][N][pop][N],0.975884864,[:0propyl][C][N][:2benzenealcohol][:0propyl][:2benzenediol][:0nitrile][C][C][Branch][:0propyl][pop][C][Branch][C][pop][FrH0][pop][=Branch][C][pop][Ring1][:1carboxylic_acid][C][:2benzenediol][:1pyridine][FrH0][:1methyl_amine][pop][pop][pop][:0methyl_amine][:4benzenealcohol][SH2][.][O][S][Branch1][C][Fr][Branch1][C][O][O][Cd][Branch1][#Branch2][O][S][Branch1][C][Fr][Branch1][C][O][O][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][&&][sxb],[:0propyl][C][N][:2benzenealcohol][:0propyl][:2benzenediol][:0nitrile][C][C][Branch][:0propyl][pop][C][Branch][C][pop][FrH0][pop][=Branch][C][pop][Ring1][:1carboxylic_acid][C][:2benzenediol][:1pyridine][FrH0][:1methyl_amine][pop][pop][pop][:0methyl_amine][:4benzenealcohol][SH2],CCCNc1ccc(O)cc1-c1c(OC)cc(Oc2ccccc2O)c(C(=O)Oc2c(O)cc(O)cc2[Fr])c1CC(CCC)C(C)[Fr],0.993368794,sxb_N569_72fa254d,72fa254d
7,nbo_N317_edge211214,[S][C][=C][Branch][C][=C][Branch][FrH0][pop][Ring1][Ring2][pop][:3pyridine][Ring2][FrH0][pop][Ring1][S][pop][Ring1][S][pop][.][Fr][C][O][Co][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][Ring2][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][nbo],[S][C][=C][Branch][C][=C][Branch][FrH0][pop][Ring1][Ring2][pop][:3pyridine][Ring2][FrH0][pop][Ring1][S][pop][Ring1][S][pop],0.763490298,[pop][:0propyl][:3imidazole][C][:3benzenealcohol][:0methyl][FrH0][F][:1alkyne][:0methyl][=Ring1][:0propyl][:=0methyl_amine][:1amide][:=0amide][C][:3pyrimidine][:4benzenediol][FrH0][pop][pop][=O][C][pop][:0benzenealcohol][:0methyl_amine][:1methyl_amine][:0propyl][:0methyl][:0alkene][:0propyl][:1amide][:1pyridine][:5benzenediol][:4benzenealcohol][:0benzene][.][Fr][C][O][Co][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][Ring2][O][Ring1][=Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][nbo],[pop][:0propyl][:3imidazole][C][:3benzenealcohol][:0methyl][FrH0][F][:1alkyne][:0methyl][=Ring1][:0propyl][:=0methyl_amine][:1amide][:=0amide][C][:3pyrimidine][:4benzenediol][FrH0][pop][pop][=O][C][pop][:0benzenealcohol][:0methyl_amine][:1methyl_amine][:0propyl][:0methyl][:0alkene][:0propyl][:1amide][:1pyridine][:5benzenediol][:4benzenealcohol][:0benzene],C#COc1c(NC(=O)c2ccnc([Fr])n2)cc(NCCCC)c(CCCC)c1[Fr],0.965535498,nbo_N317_64c8f602,64c8f602
8,utp_N137_edge100842,[S][C][=C][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][S][pop][Ring1][Branch][pop][S][pop][C][Branch][C][Branch][FrH0][pop][S][pop][S][.][Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Co][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Co][Ring1][O][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][&&][utp],[S][C][=C][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][S][pop][Ring1][Branch][pop][S][pop][C][Branch][C][Branch][FrH0][pop][S][pop][S],0.664389094,[C][C][C][Branch][C][pop][Branch][FrH0][O][C][C][FrH0][:0amide][C][pop][:0methyl][C][FrH0][:2benzenediol][SH2][pop][:0propyl][:5benzenediol][:2benzenealcohol][:0amide][:4benzenediol][:0propyl][:3pyridine][C][pop][C][:5benzenediol][:1benzenealcohol][:3imidazole][N][O][Ring2][C][:2pyridine][.][Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Co][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Co][Ring1][O][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][&&][utp],[C][C][C][Branch][C][pop][Branch][FrH0][O][C][C][FrH0][:0amide][C][pop][:0methyl][C][FrH0][:2benzenediol][SH2][pop][:0propyl][:5benzenediol][:2benzenealcohol][:0amide][:4benzenediol][:0propyl][:3pyridine][C][pop][C][:5benzenediol][:1benzenealcohol][:3imidazole][N][O][Ring2][C][:2pyridine],CCC(C)([Fr])OCC[Fr],0.786956691,utp_N137_937d6059,937d6059
9,lon_N383_edge22020,[FrH0][C][C][C][=C][=N][C][Branch][:2pyrimidine][pop][FrH0][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][lon],[FrH0][C][C][C][=C][=N][C][Branch][:2pyrimidine][pop][FrH0],0.894180306,[:0propyl][C][C][:2pyridine][Ring2][:0propyl][pop][Branch][N][:2benzenealcohol][:0pyrimidine][#Branch][FrH0][:1pyridine][->][Ring1][:1methyl_amine][pop][pop][:1benzenediol][FrH0][:2benzenediol][pop][:0methyl_amine][F][:0propyl][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][lon],[:0propyl][C][C][:2pyridine][Ring2][:0propyl][pop][Branch][N][:2benzenealcohol][:0pyrimidine][#Branch][FrH0][:1pyridine][->][Ring1][:1methyl_amine][pop][pop][:1benzenediol][FrH0][:2benzenediol][pop][:0methyl_amine][F][:0propyl],CCCCc1cc([Fr])nc(CCC)c1Nc1ccc(O)cc1[Fr],0.979258396,lon_N383_2eafe934,2eafe934
