seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
unc_N256_edge41279,[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0],0.818904742,[Cl][:2pyrimidine][Ring2][FrH0][pop][Ring1][N][FrH0][pop][Ring2][Br][pop][Cl][Br][Br][:0carboxylic_acid][:0propyl][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[Cl][:2pyrimidine][Ring2][FrH0][pop][Ring1][N][FrH0][pop][Ring2][Br][pop][Cl][Br][Br][:0carboxylic_acid][:0propyl],Clc1c(Br)nc([Fr])nc1N[Fr],0.581054887,unc_N256_181b0bf8,181b0bf8
cag_N158_edge136329,[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P],0.852598782,[:3benzenealcohol][=C][#Branch][FrH0][O][O][=S][:1amide][C][=Branch][FrH0][Br][Branch][Br][Br][Br][#Branch][#Branch][=O][Br][Br][Br][pop][:0sulfonic_acid][Br][:0propyl][Br][=Ring2][Ring1][:=0amide][=S][:0carboxylic_acid][Br][pop][Branch][:=0amide][:1imidazole][:2benzenealcohol][:0carboxylic_acid][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[:3benzenealcohol][=C][#Branch][FrH0][O][O][=S][:1amide][C][=Branch][FrH0][Br][Branch][Br][Br][Br][#Branch][#Branch][=O][Br][Br][Br][pop][:0sulfonic_acid][Br][:0propyl][Br][=Ring2][Ring1][:=0amide][=S][:0carboxylic_acid][Br][pop][Branch][:=0amide][:1imidazole][:2benzenealcohol][:0carboxylic_acid],O=C(N[Fr])SOc1c([Fr])c(Br)c(Br)c(Br)c1OOBr,0.56747176,cag_N158_494fc404,494fc404
utp_N246_edge172936,[:0alkene][C][C][N][Branch][C][Branch][C][Branch][C][=Branch][=S][Branch][:0alkene][pop][Ring1][=Branch][pop][FrH0][pop][Branch][:0alkene][pop][:0alkene][pop][=S][pop][FrH0][pop][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][utp],[:0alkene][C][C][N][Branch][C][Branch][C][Branch][C][=Branch][=S][Branch][:0alkene][pop][Ring1][=Branch][pop][FrH0][pop][Branch][:0alkene][pop][:0alkene][pop][=S][pop][FrH0][pop],0.791115584,[:0alkene][:0alkene][#Branch][:3imidazole][:1methyl_amine][FrH0][:=1methyl_amine][:0imidazole][=Branch][=S][pop][Br][Branch][=N][:2pyrimidine][Branch][=O][pop][=S][Branch][FrH0][pop][=S][Br][Br][SH2][Branch][:0carboxylic_acid][:0sulfonic_acid][Br][Cl][Br][:1methyl_amine][:0propyl][:0carboxylic_acid][:0methyl][=S][:0methyl][:0pyridine][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][utp],[:0alkene][:0alkene][#Branch][:3imidazole][:1methyl_amine][FrH0][:=1methyl_amine][:0imidazole][=Branch][=S][pop][Br][Branch][=N][:2pyrimidine][Branch][=O][pop][=S][Branch][FrH0][pop][=S][Br][Br][SH2][Branch][:0carboxylic_acid][:0sulfonic_acid][Br][Cl][Br][:1methyl_amine][:0propyl][:0carboxylic_acid][:0methyl][=S][:0methyl][:0pyridine],CCCc1c(C=O)nc([Fr])n1-c1nc(OC(=O)Br)c(Nc2c(O)nc(Br)nc2[Fr])n1S,0.670719019,utp_N246_aba82da7,aba82da7
lvt_N447_edge50011,[FrH0][C][Branch][S][N][C][Branch][C][FrH0][pop][Branch][C][pop][C][pop][=Ring1][->][Branch][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],[FrH0][C][Branch][S][N][C][Branch][C][FrH0][pop][Branch][C][pop][C][pop][=Ring1][->][Branch],0.906110022,[F][:3benzenediol][Ring2][Br][pop][Ring1][S][N][Branch][Br][pop][FrH0][pop][Ring1][FrH0][pop][Ring1][Br][pop][Ring2][Br][pop][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][lvt],[F][:3benzenediol][Ring2][Br][pop][Ring1][S][N][Branch][Br][pop][FrH0][pop][Ring1][FrH0][pop][Ring1][Br][pop][Ring2][Br][pop],Fc1c(Br)c(OBr)c(SN(Br)[Fr])c(O[Fr])c1Br,0.583358969,lvt_N447_c18f40a2,c18f40a2
unc_N328_edge24285,[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][C][=C][Branch][O][FrH0][pop][P][Branch][C][pop][C][.][Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][unc],[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][C][=C][Branch][O][FrH0][pop][P][Branch][C][pop][C],0.965172846,[:0phosphoric_acid][Ring2][:3pyridine][:0amide][:0imidazole][Ring1][S][:1methyl_amine][Ring1][FrH0][pop][pop][pop][Ring1][FrH0][pop][Ring1][Br][pop][Ring2][P][:1imidazole][Cl][pop][pop][SH2][Br][Br][Br][:0carboxylic_acid][:3pyridine][Br][:0methyl][.][Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][unc],[:0phosphoric_acid][Ring2][:3pyridine][:0amide][:0imidazole][Ring1][S][:1methyl_amine][Ring1][FrH0][pop][pop][pop][Ring1][FrH0][pop][Ring1][Br][pop][Ring2][P][:1imidazole][Cl][pop][pop][SH2][Br][Br][Br][:0carboxylic_acid][:3pyridine][Br][:0methyl],O=C(Br)OOP(=O)(OBr)Oc1c(-c2nccn2SCN[Fr])nc([Fr])c(Br)c1Pn1ccnc1,0.690775208,unc_N328_8799af3f,8799af3f
cds_N173_edge125012,[P][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][C][Branch][FrH0][pop][Branch][P][pop][P][pop][P][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],[P][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][C][Branch][FrH0][pop][Branch][P][pop][P][pop][P],0.603816601,[P][pop][=Ring1][:0sulfonic_acid][Branch][#Branch][:0sulfonic_acid][#N][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][=S][Branch][FrH0][pop][Branch][P][Br][P][Br][P][Branch][S][=S][=S][Br][S][:1methyl_amine][:0O_nitrile][Cl][->][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][cds],[P][pop][=Ring1][:0sulfonic_acid][Branch][#Branch][:0sulfonic_acid][#N][Branch][FrH0][pop][Ring1][Branch][pop][P][pop][Branch][O][=S][Branch][FrH0][pop][Branch][P][Br][P][Br][P][Branch][S][=S][=S][Br][S][:1methyl_amine][:0O_nitrile][Cl][->],O=S([Fr])OPP(OS([Fr])(PBr)PBr)P(SCNCl)[SH]=S=[SH]Br,0.496742665,cds_N173_83335f90,83335f90
ths_N415_edge62104,[FrH0][C][N][:0methyl_amine][Ring1][N][Branch][C][Branch][:0benzene][pop][Ring1][=Branch][pop][FrH0][pop][.][Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],[FrH0][C][N][:0methyl_amine][Ring1][N][Branch][C][Branch][:0benzene][pop][Ring1][=Branch][pop][FrH0][pop],0.865777357,[Br][:0methyl_amine][Ring1][N][=S][=Branch][=C][S][Branch][Br][pop][Branch][Br][pop][FrH0][pop][=P][FrH0][pop][.][Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][ths],[Br][:0methyl_amine][Ring1][N][=S][=Branch][=C][S][Branch][Br][pop][Branch][Br][pop][FrH0][pop][=P][FrH0][pop],BrNCN=S(=CS(Br)(Br)[Fr])=P[Fr],0.535732443,ths_N415_02f94048,02f94048
nbo_N715_edge50153,[FrH0][N][C][=C][Branch][C][Branch][FrH0][pop][C][Ring1][=Branch][pop][S][C][.][N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][nbo],[FrH0][N][C][=C][Branch][C][Branch][FrH0][pop][C][Ring1][=Branch][pop][S][C],0.825197071,[:0imidazole][:0pyrimidine][=Ring1][S][=Ring2][:=1methyl_amine][Ring1][N][FrH0][Branch][=S][:0sulfonic_acid][Br][=P][FrH0][:3pyrimidine][#C][Br][Branch][Branch][Br][Br][:0carboxylic_acid][Branch][:0methyl][Br][Branch][=Ring1][:0benzenealcohol][FrH0][:3pyridine][:5benzenediol][:0propyl][.][N][N][C][Branch1][C][Fr][N][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][Branch1][C][Fr][N][Branch2][Ring2][N][C][Branch1][C][Fr][N][Ring1][#Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][Ring2][Ring2][#Branch1][C][Ring2][Ring2][O][Fr][N][&&][nbo],[:0imidazole][:0pyrimidine][=Ring1][S][=Ring2][:=1methyl_amine][Ring1][N][FrH0][Branch][=S][:0sulfonic_acid][Br][=P][FrH0][:3pyrimidine][#C][Br][Branch][Branch][Br][Br][:0carboxylic_acid][Branch][:0methyl][Br][Branch][=Ring1][:0benzenealcohol][FrH0][:3pyridine][:5benzenediol][:0propyl],O=[SH](Oc1c(Br)ncn1CNN[Fr])=P[Fr],0.725912243,nbo_N715_99d4bff3,99d4bff3
bnn_N383_edge107618,[:0isocyanate][C][C][=C][Branch][N][Branch][C][=C][Branch][C][Branch][:0isocyanate][pop][Branch][:0isocyanate][pop][Ring1][=Branch][pop][FrH0][pop][:0isocyanate][pop][FrH0][pop][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][bnn],[:0isocyanate][C][C][=C][Branch][N][Branch][C][=C][Branch][C][Branch][:0isocyanate][pop][Branch][:0isocyanate][pop][Ring1][=Branch][pop][FrH0][pop][:0isocyanate][pop][FrH0][pop],0.86561484,[O][=N][:2benzenediol][Branch][Br][pop][Ring2][S][#C][FrH0][pop][Ring2][:4benzenediol][Ring1][N][:0phosphoric_acid][pop][Branch][Br][pop][Ring1][Br][pop][Ring1][Br][pop][Ring1][Br][pop][pop][Ring1][FrH0][pop][FrH0][Br][:3pyridine][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][bnn],[O][=N][:2benzenediol][Branch][Br][pop][Ring2][S][#C][FrH0][pop][Ring2][:4benzenediol][Ring1][N][:0phosphoric_acid][pop][Branch][Br][pop][Ring1][Br][pop][Ring1][Br][pop][Ring1][Br][pop][pop][Ring1][FrH0][pop][FrH0][Br][:3pyridine],O=Nc1c(OS#C[Fr])c(Br)c(OBr)c([Fr])c1-c1c(Br)c(Br)c(OBr)c(Br)c1ONOP(=O)(O)O,0.530069978,bnn_N383_941ca55d,941ca55d
utk_N485_edge49280,[:0nitrile][C][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][.][Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utk],[:0nitrile][C][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop],0.884466531,[O][=P][Branch][O][FrH0][S][:5benzenediol][Ring1][Br][pop][Ring1][Branch][FrH0][=C][Br][Br][S][pop][Branch][F][:1sulfonic_acid][S][Br][:1imidazole][Br][Br][Br][:2benzenealcohol][FrH0][=Ring2][:0carboxylic_acid][O][=Ring2][Ring2][:0carboxylic_acid][:1amide][Cl][:0pyridine][:0carboxylic_acid][.][Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utk],[O][=P][Branch][O][FrH0][S][:5benzenediol][Ring1][Br][pop][Ring1][Branch][FrH0][=C][Br][Br][S][pop][Branch][F][:1sulfonic_acid][S][Br][:1imidazole][Br][Br][Br][:2benzenealcohol][FrH0][=Ring2][:0carboxylic_acid][O][=Ring2][Ring2][:0carboxylic_acid][:1amide][Cl][:0pyridine][:0carboxylic_acid],O=[PH](O[Fr])SOc1c(Br)c(F)c(S)c(O[Fr])c1Br,0.675120598,utk_N485_32d338b5,32d338b5
