seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
unc_N256_edge41279,[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0],0.818904742,[:0propyl][C][C][C][Branch][:0methyl][pop][C][Branch][:0methyl][pop][:0benzenediol][Ring1][C][Branch][:4benzenealcohol][pop][:3pyridine][=Branch][FrH0][pop][pop][Ring1][:4benzenealcohol][pop][:5benzenediol][:=0methyl_amine][FrH0][pop][pop][:1methyl_amine][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[:0propyl][C][C][C][Branch][:0methyl][pop][C][Branch][:0methyl][pop][:0benzenediol][Ring1][C][Branch][:4benzenealcohol][pop][:3pyridine][=Branch][FrH0][pop][pop][Ring1][:4benzenealcohol][pop][:5benzenediol][:=0methyl_amine][FrH0][pop][pop][:1methyl_amine][FrH0],CCCCC(CC)C(CC)c1c(O)c([Fr])c(NC)c(-c2ccccc2O)c1OC(c1ccccc1O)c1cnccc1[Fr],1.011837457,unc_N256_0ff6312d,0ff6312d
cag_N158_edge136329,[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P],0.852598782,[:0propyl][C][:0pyridine][:0propyl][N][Branch][:0propyl][pop][:1methyl_amine][Ring1][FrH0][pop][pop][:5benzenediol][FrH0][pop][:0propyl][:0alkene][pop][pop][->][#Branch][:0propyl][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[:0propyl][C][:0pyridine][:0propyl][N][Branch][:0propyl][pop][:1methyl_amine][Ring1][FrH0][pop][pop][:5benzenediol][FrH0][pop][:0propyl][:0alkene][pop][pop][->][#Branch][:0propyl],CCCc1ncc(C=O)c([Fr])c1N(CCC)CN[Fr],1.043879827,cag_N158_6081f892,6081f892
utk_N485_edge49280,[:0nitrile][C][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][.][Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utk],[:0nitrile][C][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop],0.884466531,[:0propyl][C][:2pyridine][=Branch][N][pop][Ring2][:4benzenediol][C][:0methyl_amine][pop][C][O][pop][Ring1][FrH0][pop][pop][O][FrH0][:1benzenealcohol][pop][Branch][:3benzenediol][:0propyl][.][Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utk],[:0propyl][C][:2pyridine][=Branch][N][pop][Ring2][:4benzenediol][C][:0methyl_amine][pop][C][O][pop][Ring1][FrH0][pop][pop][O][FrH0][:1benzenealcohol][pop][Branch][:3benzenediol][:0propyl],CCCc1c(N)cnc([Fr])c1-c1ccc(O[Fr])c(O)c1ONC,0.965827947,utk_N485_851f301f,851f301f
dmp_N346_edge201431,[:0phosphoric_acid][C][:1alkyne][Ring1][C][C][:0benzene][Ring1][FrH0][pop][Branch][FrH0][pop][Ring1][Ring1][O][pop][pop][pop][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][dmp],[:0phosphoric_acid][C][:1alkyne][Ring1][C][C][:0benzene][Ring1][FrH0][pop][Branch][FrH0][pop][Ring1][Ring1][O][pop][pop][pop],0.76270888,[C][C][C][:2benzenediol][C][:5benzenealcohol][pop][N][:3benzenealcohol][=Branch][FrH0][pop][:0methyl][:0propyl][pop][pop][:0benzenealcohol][:2pyridine][Branch][:0methyl][pop][:1methyl_amine][C][C][O][:1benzenediol][#Branch][FrH0][pop][:1methyl_amine][pop][pop][:1pyrimidine][:0methyl][:0carboxylic_acid][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][dmp],[C][C][C][:2benzenediol][C][:5benzenealcohol][pop][N][:3benzenealcohol][=Branch][FrH0][pop][:0methyl][:0propyl][pop][pop][:0benzenealcohol][:2pyridine][Branch][:0methyl][pop][:1methyl_amine][C][C][O][:1benzenediol][#Branch][FrH0][pop][:1methyl_amine][pop][pop][:1pyrimidine][:0methyl][:0carboxylic_acid],CCCc1c([Fr])cc(O)cc1-c1c(Oc2c(CC)cnc(CC)c2CCOOc2cccc(O)c2[Fr])cc(O)c(CCC)c1Oc1ccccc1,0.934002603,dmp_N346_7b9644d0,7b9644d0
bnn_N583_edge11550,[:0alkene][C][C][=C][Branch][C][Branch][:5benzenealcohol][Branch][FrH0][pop][Ring2][Ring1][O][pop][pop][Branch][:0alkene][pop][:0alkene][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][bnn],[:0alkene][C][C][=C][Branch][C][Branch][:5benzenealcohol][Branch][FrH0][pop][Ring2][Ring1][O][pop][pop][Branch][:0alkene][pop][:0alkene][pop][FrH0][pop],0.790268267,[:0propyl][C][:0methyl_amine][C][:0benzene][:1pyridine][FrH0][pop][Ring2][:1methyl_amine][pop][:3benzenealcohol][C][Branch][:0propyl][pop][Branch][:0propyl][pop][:5benzenealcohol][:4pyridine][FrH0][pop][Branch][:1methyl_amine][pop][:4benzenediol][:1alkyne][:3benzenediol][pop][pop][:3pyridine][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][bnn],[:0propyl][C][:0methyl_amine][C][:0benzene][:1pyridine][FrH0][pop][Ring2][:1methyl_amine][pop][:3benzenealcohol][C][Branch][:0propyl][pop][Branch][:0propyl][pop][:5benzenealcohol][:4pyridine][FrH0][pop][Branch][:1methyl_amine][pop][:4benzenediol][:1alkyne][:3benzenediol][pop][pop][:3pyridine],C#Cc1c(CN)ccc([Fr])c1OC(CCC)(CCC)c1cc(CNCCC)c([Fr])cc1CN,0.975440482,bnn_N583_d48c3be9,d48c3be9
lvt_N45_edge135526,[P][C][=C][Branch][N][=C][Branch][C][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][P][pop][Branch][P][pop][P][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Co][Branch1][Ring2][O][Ring1][Branch2][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][Ring2][&&][lvt],[P][C][=C][Branch][N][=C][Branch][C][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][P][pop][Branch][P][pop][P][pop][Ring1][Ring2][pop][FrH0],0.770288558,[:0propyl][C][C][C][:2benzenealcohol][Branch][C][:1methyl_amine][:0methyl][C][FrH0][pop][pop][#Branch][:1pyrimidine][:2pyridine][:3benzenealcohol][:1benzenealcohol][O][C][pop][C][:1methyl_amine][pop][:0propyl][C][:1alkyne][Ring1][FrH0][pop][:0methyl][pop][pop][:0propyl][O][:2pyridine][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Co][Branch1][Ring2][O][Ring1][Branch2][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][Ring2][&&][lvt],[:0propyl][C][C][C][:2benzenealcohol][Branch][C][:1methyl_amine][:0methyl][C][FrH0][pop][pop][#Branch][:1pyrimidine][:2pyridine][:3benzenealcohol][:1benzenealcohol][O][C][pop][C][:1methyl_amine][pop][:0propyl][C][:1alkyne][Ring1][FrH0][pop][:0methyl][pop][pop][:0propyl][O][:2pyridine],CCCCCc1cc(Oc2ccncc2)c(OCCNC[Fr])c(-c2ncncc2-c2ccc(CC#C[Fr])c(OCN)c2OC)c1,0.979419699,lvt_N45_cc3aab53,cc3aab53
dmp_N447_edge164724,[FrH0][C][=C][C][=C][Branch][C][Branch][:1imidazole][pop][Ring1][Branch][pop][:1alkyne][Ring1][C][Branch][:1imidazole][pop][FrH0][pop][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][dmp],[FrH0][C][=C][C][=C][Branch][C][Branch][:1imidazole][pop][Ring1][Branch][pop][:1alkyne][Ring1][C][Branch][:1imidazole][pop][FrH0][pop],0.930226347,[:0methyl][C][C][:=0methyl_amine][:0methyl_amine][:3pyridine][Ring2][:1methyl_amine][pop][Ring2][C][C][:2benzenealcohol][:2benzenealcohol][pop][:1methyl_amine][:1benzenediol][:1methyl_amine][:0amide][C][FrH0][pop][pop][pop][pop][:1benzenealcohol][:1pyridine][C][:1amide][C][FrH0][:0sulfonic_acid][pop][pop][:5benzenediol][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][dmp],[:0methyl][C][C][:=0methyl_amine][:0methyl_amine][:3pyridine][Ring2][:1methyl_amine][pop][Ring2][C][C][:2benzenealcohol][:2benzenealcohol][pop][:1methyl_amine][:1benzenediol][:1methyl_amine][:0amide][C][FrH0][pop][pop][pop][pop][:1benzenealcohol][:1pyridine][C][:1amide][C][FrH0][:0sulfonic_acid][pop][pop][:5benzenediol],CCC=NCc1c(CCc2ccc(O)c(Oc3cc(O)ccc3NC(=O)[Fr])c2)cc(CN)nc1-c1cnccc1C(=O)N[Fr],1.008043825,dmp_N447_40047a6f,40047a6f
ths_N125_edge50444,[FrH0][N][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][Branch][S][C][pop][Ring1][O][pop][S][C][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][ths],[FrH0][N][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][Branch][S][C][pop][Ring1][O][pop][S][C],0.819250293,[FrH0][C][:4benzenediol][:0benzenediol][:1pyridine][=Branch][:0methyl][SH2][Branch][:1methyl_amine][pop][:1benzenealcohol][:0methyl][:0propyl][pop][:1pyridine][:1methyl_amine][:0imidazole][:=1methyl_amine][Ring1][FrH0][:0carboxylic_acid][pop][pop][pop][:0imidazole][:0methyl_amine][:0imidazole][:0nitrile][:4benzenealcohol][:0benzenediol][:5benzenealcohol][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][ths],[FrH0][C][:4benzenediol][:0benzenediol][:1pyridine][=Branch][:0methyl][SH2][Branch][:1methyl_amine][pop][:1benzenealcohol][:0methyl][:0propyl][pop][:1pyridine][:1methyl_amine][:0imidazole][:=1methyl_amine][Ring1][FrH0][:0carboxylic_acid][pop][pop][pop][:0imidazole][:0methyl_amine][:0imidazole][:0nitrile][:4benzenealcohol][:0benzenediol][:5benzenealcohol],CCc1nc(CC)c(Oc2c(C[Fr])ccc(ONCC#N)c2CN=CN[Fr])cc1CN,0.940496419,ths_N125_7de5babd,7de5babd
qtz_N256_edge212453,[F][C][=C][C][=Branch][=C][Branch][:0benzene][Ring2][F][pop][Ring1][FrH0][pop][Ring1][F][pop][Ring1][F][pop][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][qtz],[F][C][=C][C][=Branch][=C][Branch][:0benzene][Ring2][F][pop][Ring1][FrH0][pop][Ring1][F][pop][Ring1][F][pop][pop][Ring1][Ring2][pop][FrH0],0.759490938,[:0methyl][C][:0imidazole][:0propyl][:0methyl_amine][Ring1][:0pyrimidine][C][FrH0][pop][pop][pop][C][:1benzenealcohol][:5benzenediol][:1methyl_amine][O][C][C][FrH0][pop][:0benzenediol][pop][:2benzenediol][:1alkyne][:0propyl][:0benzenediol][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][qtz],[:0methyl][C][:0imidazole][:0propyl][:0methyl_amine][Ring1][:0pyrimidine][C][FrH0][pop][pop][pop][C][:1benzenealcohol][:5benzenediol][:1methyl_amine][O][C][C][FrH0][pop][:0benzenediol][pop][:2benzenediol][:1alkyne][:0propyl][:0benzenediol][FrH0],CCc1nc(C#Cc2c(O)cccc2O)c(-c2cc(O)ccc2CNCC[Fr])n1NCc1nccc([Fr])n1,0.960000832,qtz_N256_921cccec,921cccec
eta_N606_edge82508,[S][=C][C][=C][Branch][C][Branch][C][Branch][N][Branch][C][Ring1][=Branch][pop][FrH0][pop][C][=S][pop][Branch][C][=S][pop][FrH0][pop][C][=S][.][Fr][C][=C][C][=C][N][Branch2][Ring1][#Branch2][Co][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][C][Ring2][Ring1][Branch1][&&][eta],[S][=C][C][=C][Branch][C][Branch][C][Branch][N][Branch][C][Ring1][=Branch][pop][FrH0][pop][C][=S][pop][Branch][C][=S][pop][FrH0][pop][C][=S],0.800496286,[:0propyl][C][:0benzene][Ring1][FrH0][:0methyl_amine][Ring2][:0methyl][:1benzenediol][:1methyl_amine][:1alkyne][Ring1][pop][->][:1methyl_amine][C][C][C][N][FrH0][:0methyl][pop][pop][Ring1][:0methyl][pop][N][.][Fr][C][=C][C][=C][N][Branch2][Ring1][#Branch2][Co][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][C][Ring2][Ring1][Branch1][&&][eta],[:0propyl][C][:0benzene][Ring1][FrH0][:0methyl_amine][Ring2][:0methyl][:1benzenediol][:1methyl_amine][:1alkyne][Ring1][pop][->][:1methyl_amine][C][C][C][N][FrH0][:0methyl][pop][pop][Ring1][:0methyl][pop][N],C#Cc1cc([Fr])c(CCC)cc1CCCN[Fr],1.025333183,eta_N606_321e21f0,321e21f0
