seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
rob_N613_edge149721,[P][C][S][=Branch][=C][Branch][N][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][Ring1][=Branch][pop][P][pop][FrH0][pop][P][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Ni][Branch1][Ring2][N][=C][Fr][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][rob],[P][C][S][=Branch][=C][Branch][N][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][Ring1][=Branch][pop][P][pop][FrH0][pop][P],0.832748549,[P][:1pyrimidine][SH2][FrH0][pop][:0nitrile][Branch][Branch][=S][Br][pop][Br][FrH0][:0benzenealcohol][Br][Br][pop][Ring1][P][pop][Br][Br][pop][:=0amide][C][:2imidazole][=Ring2][=C][:=1methyl_amine][:0sulfonic_acid][Br][Br][:0pyrimidine][:0phosphoric_acid][:5benzenealcohol][O][:0pyridine][:3pyridine][:5benzenediol][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Ni][Branch1][Ring2][N][=C][Fr][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][rob],[P][:1pyrimidine][SH2][FrH0][pop][:0nitrile][Branch][Branch][=S][Br][pop][Br][FrH0][:0benzenealcohol][Br][Br][pop][Ring1][P][pop][Br][Br][pop][:=0amide][C][:2imidazole][=Ring2][=C][:=1methyl_amine][:0sulfonic_acid][Br][Br][:0pyrimidine][:0phosphoric_acid][:5benzenealcohol][O][:0pyridine][:3pyridine][:5benzenediol],Pc1nc([Fr])nc(SBr)c1[Fr],0.764890801,rob_N613_1bf6a082_opt,1bf6a082
neb_N256_edge55275,[:0nitrile][C][C][=N][C][Branch][C][Branch][C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][:0nitrile][pop][:0nitrile][pop][Branch][:0nitrile][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][neb],[:0nitrile][C][C][=N][C][Branch][C][Branch][C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][:0nitrile][pop][:0nitrile][pop][Branch][:0nitrile][pop][FrH0][pop],0.850996612,[S][:0benzenediol][#Branch][FrH0][pop][Ring2][Br][pop][Ring1][:4benzenediol][Ring1][Br][pop][Ring1][:3pyrimidine][pop][Ring1][FrH0][pop][Branch][Br][=N][pop][Ring1][Br][pop][Ring1][S][=P][pop][:0O_nitrile][:0alkene][:0methyl][F][P][:0propyl][Cl][:0phosphoric_acid][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][neb],[S][:0benzenediol][#Branch][FrH0][pop][Ring2][Br][pop][Ring1][:4benzenediol][Ring1][Br][pop][Ring1][:3pyrimidine][pop][Ring1][FrH0][pop][Branch][Br][=N][pop][Ring1][Br][pop][Ring1][S][=P][pop][:0O_nitrile][:0alkene][:0methyl][F][P][:0propyl][Cl][:0phosphoric_acid],P=[SH]c1cc(-c2cc(Br)c(O[Fr])c(-c3ccncn3)c2OBr)c(OBr)c(S)c1O[Fr],0.625533171,neb_N256_150fb6ae_opt,150fb6ae
pcu_N529_edge136367,[O][O][C][C][=C][Branch][C][=C][Branch][N][Ring1][=Branch][Ring1][Branch][pop][FrH0][pop][C][Branch][O][O][pop][Branch][O][O][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][P][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][S][O][P][Branch1][C][Fr][Branch1][Branch1][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch2][O][Ring2][Ring1][#Branch1][&&][pcu],[O][O][C][C][=C][Branch][C][=C][Branch][N][Ring1][=Branch][Ring1][Branch][pop][FrH0][pop][C][Branch][O][O][pop][Branch][O][O][pop][FrH0],0.829009718,[:0pyrimidine][SH2][#N][#N][#C][Branch][=Ring2][Branch][Branch][FrH0][Branch][:0sulfonic_acid][Br][:0sulfonic_acid][Branch][:4benzenediol][=Ring2][S][Branch][FrH0][Ring2][Branch][Br][Br][FrH0][Cl][Br][Br][:0carboxylic_acid][Ring2][Br][Br][Ring1][pop][#N][:0pyrimidine][:4benzenediol][:2benzenediol][:0carboxylic_acid][.][O][=C][Branch1][C][Fr][O][Zn][O][P][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][S][O][P][Branch1][C][Fr][Branch1][Branch1][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch2][O][Ring2][Ring1][#Branch1][&&][pcu],[:0pyrimidine][SH2][#N][#N][#C][Branch][=Ring2][Branch][Branch][FrH0][Branch][:0sulfonic_acid][Br][:0sulfonic_acid][Branch][:4benzenediol][=Ring2][S][Branch][FrH0][Ring2][Branch][Br][Br][FrH0][Cl][Br][Br][:0carboxylic_acid][Ring2][Br][Br][Ring1][pop][#N][:0pyrimidine][:4benzenediol][:2benzenediol][:0carboxylic_acid],O=COc1cc(OS(=O)OS(=O)c2ccc(OBr)c(Cl)c2O[SH](Br)[Fr])nc(N=NC[Fr])n1,0.689760323,pcu_N529_5dd0c939_opt,5dd0c939
nbo_N500_edge15561,[S][=C][C][Branch][C][Branch][C][Branch][O][FrH0][pop][Branch][C][=S][pop][C][=S][pop][C][=S][pop][O][FrH0][.][S][=C][=N][Fe][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][P][N][C][=Branch1][N][=C][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][Branch1][Ring2][N][=C][=S][N][C][Branch1][C][C][=C][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][#Branch1][C][&&][nbo],[S][=C][C][Branch][C][Branch][C][Branch][O][FrH0][pop][Branch][C][=S][pop][C][=S][pop][C][=S][pop][O][FrH0],0.904647082,[S][O][=S][:1benzenediol][O][FrH0][=P][Br][Branch][Branch][=N][=Branch][=N][:=1methyl_amine][Br][Branch][Br][Cl][Br][=S][:2benzenediol][Branch][FrH0][Br][Br][S][Branch][Br][Br][pop][:0phosphoric_acid][=P][F][Branch][:0carboxylic_acid][Br][:3pyridine][:0methyl][Br][.][S][=C][=N][Fe][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][P][N][C][=Branch1][N][=C][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][Branch1][Ring2][N][=C][=S][N][C][Branch1][C][C][=C][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][#Branch1][C][&&][nbo],[S][O][=S][:1benzenediol][O][FrH0][=P][Br][Branch][Branch][=N][=Branch][=N][:=1methyl_amine][Br][Branch][Br][Cl][Br][=S][:2benzenediol][Branch][FrH0][Br][Br][S][Branch][Br][Br][pop][:0phosphoric_acid][=P][F][Branch][:0carboxylic_acid][Br][:3pyridine][:0methyl][Br],FPc1cc(-c2c(Br)c([Fr])c(OSOS)c(N(Br)N=CNBr)c2OBr)c(OBr)c(Br)c1O[Fr],0.64235022,nbo_N500_3c0534b9_opt,3c0534b9
dmp_N461_edge61057,[FrH0][C][Branch][S][C][pop][C][C][C][Branch][N][Branch][FrH0][pop][C][Ring1][N][pop][S][C][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N][&&][dmp],[FrH0][C][Branch][S][C][pop][C][C][C][Branch][N][Branch][FrH0][pop][C][Ring1][N][pop][S][C],0.862451486,[:0carboxylic_acid][Ring1][#C][=Branch][FrH0][pop][Branch][S][Br][pop][Ring1][N][Branch][Br][pop][FrH0][pop][pop][Ring1][Cl][pop][:0pyridine][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N][&&][dmp],[:0carboxylic_acid][Ring1][#C][=Branch][FrH0][pop][Branch][S][Br][pop][Ring1][N][Branch][Br][pop][FrH0][pop][pop][Ring1][Cl][pop][:0pyridine],O=C(ON(Br)[Fr])C([Fr])SBr,0.542160889,dmp_N461_28b00276_opt,28b00276
lvt_N45_edge135526,[P][C][=C][Branch][N][=C][Branch][C][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][P][pop][Branch][P][pop][P][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Co][Branch1][Ring2][O][Ring1][Branch2][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][Ring2][&&][lvt],[P][C][=C][Branch][N][=C][Branch][C][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][P][pop][Branch][P][pop][P][pop][Ring1][Ring2][pop][FrH0],0.754476494,[P][:3benzenealcohol][Ring2][Br][pop][Ring1][S][P][Branch][Br][pop][FrH0][pop][Ring1][P][pop][Ring1][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Co][Branch1][Ring2][O][Ring1][Branch2][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][Ring2][&&][lvt],[P][:3benzenealcohol][Ring2][Br][pop][Ring1][S][P][Branch][Br][pop][FrH0][pop][Ring1][P][pop][Ring1][FrH0][pop],Pc1cc(OBr)c(SP(Br)[Fr])c(P)c1[Fr],0.66190478,lvt_N45_ad340f99_opt,ad340f99
hex_N209_edge149429,[S][=C][C][C][Branch][N][N][C][=Branch][=S][Branch][C][=S][pop][Ring1][=Branch][pop][FrH0][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][&&][hex],[S][=C][C][C][Branch][N][N][C][=Branch][=S][Branch][C][=S][pop][Ring1][=Branch][pop][FrH0][pop][FrH0],0.777438856,[:=1methyl_amine][=Branch][=S][SH2][#C][FrH0][:=1methyl_amine][:=1methyl_amine][N][N][Branch][FrH0][=Ring2][#Branch][Branch][S][pop][=P][Br][Cl][Cl][Ring1][Ring1][N][Br][C][:0imidazole][Br][Branch][:1imidazole][=P][:4benzenediol][Branch][Br][Br][N][:0benzenediol][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][&&][hex],[:=1methyl_amine][=Branch][=S][SH2][#C][FrH0][:=1methyl_amine][:=1methyl_amine][N][N][Branch][FrH0][=Ring2][#Branch][Branch][S][pop][=P][Br][Cl][Cl][Ring1][Ring1][N][Br][C][:0imidazole][Br][Branch][:1imidazole][=P][:4benzenediol][Branch][Br][Br][N][:0benzenediol],[Fr]C#[SH2][SH]=NC=CNN[Fr],0.78086072,hex_N209_1230fa76_opt,1230fa76
nbo_N153_edge206553,[P][C][=C][C][=C][C][Branch][C][Branch][C][=Branch][=C][Ring1][O][pop][C][O][FrH0][pop][Ring1][Branch][pop][Branch][FrH0][pop][P][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][nbo],[P][C][=C][C][=C][C][Branch][C][Branch][C][=Branch][=C][Ring1][O][pop][C][O][FrH0][pop][Ring1][Branch][pop][Branch][FrH0][pop][P],0.767121671,[=Ring2][:3pyridine][Ring2][:0O_nitrile][#C][Ring2][P][:#1methyl_amine][=C][:1amide][:2pyridine][Ring1][=Branch][S][Ring2][=N][O][FrH0][Br][Br][Br][Branch][Branch][:3imidazole][=Ring2][FrH0][Branch][Branch][:0pyrimidine][Br][pop][P][:0alkene][:0carboxylic_acid][Br][Br][:3pyridine][:5benzenediol][:0phosphoric_acid][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][nbo],[=Ring2][:3pyridine][Ring2][:0O_nitrile][#C][Ring2][P][:#1methyl_amine][=C][:1amide][:2pyridine][Ring1][=Branch][S][Ring2][=N][O][FrH0][Br][Br][Br][Branch][Branch][:3imidazole][=Ring2][FrH0][Branch][Branch][:0pyrimidine][Br][pop][P][:0alkene][:0carboxylic_acid][Br][Br][:3pyridine][:5benzenediol][:0phosphoric_acid],N#COc1cc([PH]#CNC(=O)NS[Fr])nc(-c2nc([Fr])n(-c3ncc(C=O)c(Br)n3)c2OP(=O)(O)O)c1,0.77799691,nbo_N153_5dbbcef6_opt,5dbbcef6
bnn_N572_edge102786,[FrH0][N][N][=N][N][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][=Branch][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],[FrH0][N][N][=N][N][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][=Branch][pop][:1imidazole][pop][FrH0],0.82089272,[FrH0][N][=S][=C][:0amide][:0pyrimidine][=P][:=1methyl_amine][#Branch][:0carboxylic_acid][=N][FrH0][pop][Branch][=Branch][SH2][F][#N][pop][Br][Branch][Branch][Br][#C][->][pop][Branch][=Branch][Br][:1imidazole][#C][pop][Branch][Br][Br][Br][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],[FrH0][N][=S][=C][:0amide][:0pyrimidine][=P][:=1methyl_amine][#Branch][:0carboxylic_acid][=N][FrH0][pop][Branch][=Branch][SH2][F][#N][pop][Br][Branch][Branch][Br][#C][->][pop][Branch][=Branch][Br][:1imidazole][#C][pop][Branch][Br][Br][Br],O=C([Fr])ONC=PC(=O)NC=S=N[Fr],0.755418381,bnn_N572_3788fd15_opt,3788fd15
unc_N393_edge6881,[N][C][C][Branch][C][=C][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][N][pop][N][pop][FrH0][.][Fr][C][Ge][S][Ge][Branch2][Ring1][#Branch2][S][Ge][Branch1][Ring1][C][Fr][Branch1][#C][S][Ge][Branch1][Ring1][C][Fr][Branch1][Ring2][S][Ring1][#Branch2][S][Ring1][=N][S][Ring1][=C][C][Fr][&&][unc],[N][C][C][Branch][C][=C][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][N][pop][N][pop][FrH0],0.762307372,[:0sulfonic_acid][Ring1][:4benzenediol][:4benzenediol][:0sulfonic_acid][=S][#Branch][FrH0][=S][=Ring1][N][=S][=P][Br][Br][=C][FrH0][=Ring2][=Branch][=N][->][Br][F][Br][:=0methyl_amine][Br][->][=Ring1][Branch][=O][Br][Branch][->][#C][:1sulfonic_acid][Br][:1carboxylic_acid][:3benzenediol][:0nitrile][.][Fr][C][Ge][S][Ge][Branch2][Ring1][#Branch2][S][Ge][Branch1][Ring1][C][Fr][Branch1][#C][S][Ge][Branch1][Ring1][C][Fr][Branch1][Ring2][S][Ring1][#Branch2][S][Ring1][=N][S][Ring1][=C][C][Fr][&&][unc],[:0sulfonic_acid][Ring1][:4benzenediol][:4benzenediol][:0sulfonic_acid][=S][#Branch][FrH0][=S][=Ring1][N][=S][=P][Br][Br][=C][FrH0][=Ring2][=Branch][=N][->][Br][F][Br][:=0methyl_amine][Br][->][=Ring1][Branch][=O][Br][Branch][->][#C][:1sulfonic_acid][Br][:1carboxylic_acid][:3benzenediol][:0nitrile],O=S([Fr])OOc1c(N=S=PBr)c(OC[Fr])c(NBr)c(Br)c1S(=O)O,0.576735376,unc_N393_89b64468_opt,89b64468
