seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
unc_N256_edge41279,[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[FrH0][C][=C][Branch][C][=Branch][=C][Branch][:1imidazole][pop][Ring1][Ring2][pop][:1imidazole][pop][FrH0],0.818904742,[Cl][:2pyrimidine][Ring2][FrH0][pop][Ring1][N][FrH0][pop][Ring2][Br][pop][Cl][Br][Br][:0carboxylic_acid][:0propyl][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][unc],[Cl][:2pyrimidine][Ring2][FrH0][pop][Ring1][N][FrH0][pop][Ring2][Br][pop][Cl][Br][Br][:0carboxylic_acid][:0propyl],Clc1c(Br)nc([Fr])nc1N[Fr],0.581054887,unc_N256_181b0bf8,181b0bf8
cag_N158_edge136329,[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[P][C][=C][Branch][C][N][Branch][C][Ring1][Ring1][pop][C][Branch][FrH0][pop][Ring1][=Branch][pop][C][Branch][FrH0][pop][P],0.852598782,[:3benzenealcohol][=C][#Branch][FrH0][O][O][=S][:1amide][C][=Branch][FrH0][Br][Branch][Br][Br][Br][#Branch][#Branch][=O][Br][Br][Br][pop][:0sulfonic_acid][Br][:0propyl][Br][=Ring2][Ring1][:=0amide][=S][:0carboxylic_acid][Br][pop][Branch][:=0amide][:1imidazole][:2benzenealcohol][:0carboxylic_acid][.][Fr][C][C][=C][N][Branch2][Ring2][#Branch1][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][C][C][=Ring2][Ring1][N][&&][cag],[:3benzenealcohol][=C][#Branch][FrH0][O][O][=S][:1amide][C][=Branch][FrH0][Br][Branch][Br][Br][Br][#Branch][#Branch][=O][Br][Br][Br][pop][:0sulfonic_acid][Br][:0propyl][Br][=Ring2][Ring1][:=0amide][=S][:0carboxylic_acid][Br][pop][Branch][:=0amide][:1imidazole][:2benzenealcohol][:0carboxylic_acid],O=C(N[Fr])SOc1c([Fr])c(Br)c(Br)c(Br)c1OOBr,0.56747176,cag_N158_494fc404,494fc404
utk_N485_edge49280,[:0nitrile][C][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop][.][Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utk],[:0nitrile][C][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][FrH0][pop],0.884466531,[O][=P][Branch][O][FrH0][S][:5benzenediol][Ring1][Br][pop][Ring1][Branch][FrH0][=C][Br][Br][S][pop][Branch][F][:1sulfonic_acid][S][Br][:1imidazole][Br][Br][Br][:2benzenealcohol][FrH0][=Ring2][:0carboxylic_acid][O][=Ring2][Ring2][:0carboxylic_acid][:1amide][Cl][:0pyridine][:0carboxylic_acid][.][Fr][C][=C][Branch1][C][C][N][N][Branch2][Ring2][#Branch1][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][N][N][Branch1][=N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Cu][Ring2][Ring1][Branch1][C][Ring2][Ring1][=Branch2][C][&&][utk],[O][=P][Branch][O][FrH0][S][:5benzenediol][Ring1][Br][pop][Ring1][Branch][FrH0][=C][Br][Br][S][pop][Branch][F][:1sulfonic_acid][S][Br][:1imidazole][Br][Br][Br][:2benzenealcohol][FrH0][=Ring2][:0carboxylic_acid][O][=Ring2][Ring2][:0carboxylic_acid][:1amide][Cl][:0pyridine][:0carboxylic_acid],O=[PH](O[Fr])SOc1c(Br)c(F)c(S)c(O[Fr])c1Br,0.675120598,utk_N485_32d338b5,32d338b5
dmp_N346_edge201431,[:0phosphoric_acid][C][:1alkyne][Ring1][C][C][:0benzene][Ring1][FrH0][pop][Branch][FrH0][pop][Ring1][Ring1][O][pop][pop][pop][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][dmp],[:0phosphoric_acid][C][:1alkyne][Ring1][C][C][:0benzene][Ring1][FrH0][pop][Branch][FrH0][pop][Ring1][Ring1][O][pop][pop][pop],0.76270888,[FrH0][S][S][=N][:=1methyl_amine][:=0amide][N][S][FrH0][pop][S][Br][Cl][Br][S][Br][=S][Br][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][dmp],[FrH0][S][S][=N][:=1methyl_amine][:=0amide][N][S][FrH0][pop][S][Br][Cl][Br][S][Br][=S][Br],[Fr]SNNCN=[SH]S[Fr],0.617975722,dmp_N346_f3a12ac1,f3a12ac1
bnn_N583_edge11550,[:0alkene][C][C][=C][Branch][C][Branch][:5benzenealcohol][Branch][FrH0][pop][Ring2][Ring1][O][pop][pop][Branch][:0alkene][pop][:0alkene][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][bnn],[:0alkene][C][C][=C][Branch][C][Branch][:5benzenealcohol][Branch][FrH0][pop][Ring2][Ring1][O][pop][pop][Branch][:0alkene][pop][:0alkene][pop][FrH0][pop],0.790268267,[:=0amide][C][Branch][S][Branch][FrH0][pop][Br][=Branch][FrH0][pop][=Branch][Br][pop][=N][=S][:=0amide][:1methyl_amine][Branch][Br][Br][pop][:0isocyanate][=O][:0sulfonic_acid][:0imidazole][=S][#C][Branch][=Branch][O][=S][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][bnn],[:=0amide][C][Branch][S][Branch][FrH0][pop][Br][=Branch][FrH0][pop][=Branch][Br][pop][=N][=S][:=0amide][:1methyl_amine][Branch][Br][Br][pop][:0isocyanate][=O][:0sulfonic_acid][:0imidazole][=S][#C][Branch][=Branch][O][=S],O=C([Fr])N[SH](Br)[Fr],0.594283689,bnn_N583_b8e42c9d,b8e42c9d
lvt_N45_edge135526,[P][C][=C][Branch][N][=C][Branch][C][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][P][pop][Branch][P][pop][P][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Co][Branch1][Ring2][O][Ring1][Branch2][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][Ring2][&&][lvt],[P][C][=C][Branch][N][=C][Branch][C][Branch][N][C][Branch][FrH0][pop][Branch][P][pop][P][pop][Branch][P][pop][P][pop][Ring1][Ring2][pop][FrH0],0.770288558,[P][:3benzenealcohol][Ring2][Br][pop][Ring1][S][P][Branch][Br][pop][FrH0][pop][Ring1][P][pop][Ring1][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch2][Ring2][=N][O][Co][Branch1][Ring2][O][Ring1][Branch2][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring2][O][Ring2][Ring2][Ring2][&&][lvt],[P][:3benzenealcohol][Ring2][Br][pop][Ring1][S][P][Branch][Br][pop][FrH0][pop][Ring1][P][pop][Ring1][FrH0][pop],Pc1cc(OBr)c(SP(Br)[Fr])c(P)c1[Fr],0.64600956,lvt_N45_ad340f99,ad340f99
dmp_N447_edge164724,[FrH0][C][=C][C][=C][Branch][C][Branch][:1imidazole][pop][Ring1][Branch][pop][:1alkyne][Ring1][C][Branch][:1imidazole][pop][FrH0][pop][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][dmp],[FrH0][C][=C][C][=C][Branch][C][Branch][:1imidazole][pop][Ring1][Branch][pop][:1alkyne][Ring1][C][Branch][:1imidazole][pop][FrH0][pop],0.930226347,[Cl][#N][:4benzenediol][Ring1][FrH0][pop][Ring1][Br][pop][Ring1][Br][Ring1][:0amide][Ring1][Ring1][Ring1][:0alkene][pop][pop][pop][pop][Br][:0methyl_amine][Ring1][:2benzenealcohol][Branch][C][FrH0][pop][Ring1][P][=N][=Ring2][pop][Branch][Br][pop][Ring1][Br][.][Fr][C][=C][N][C][=Branch2][=Branch1][#Branch1][=C][N][Branch1][#Branch2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Co][Ring1][#Branch2][Branch2][Ring1][=Branch2][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][=C][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#C][Ring1][#Branch1][N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Fr][C][N][Ring2][Ring1][Branch2][Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][C][=C][Ring2][Ring2][#Branch2][&&][dmp],[Cl][#N][:4benzenediol][Ring1][FrH0][pop][Ring1][Br][pop][Ring1][Br][Ring1][:0amide][Ring1][Ring1][Ring1][:0alkene][pop][pop][pop][pop][Br][:0methyl_amine][Ring1][:2benzenealcohol][Branch][C][FrH0][pop][Ring1][P][=N][=Ring2][pop][Branch][Br][pop][Ring1][Br],N=Pc1cc(CNc2c(NC=O)c(OBr)c(Br)c(O[Fr])c2NCl)c(Br)c(Br)c1OC[Fr],0.658397275,dmp_N447_c6ece671,c6ece671
ths_N125_edge50444,[FrH0][N][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][Branch][S][C][pop][Ring1][O][pop][S][C][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][ths],[FrH0][N][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][Branch][S][C][pop][Ring1][O][pop][S][C],0.819250293,[Br][:1benzenediol][=Branch][Br][pop][Ring1][FrH0][pop][Ring2][Br][pop][Ring1][FrH0][pop][Ring1][S][Br][pop][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][ths],[Br][:1benzenediol][=Branch][Br][pop][Ring1][FrH0][pop][Ring2][Br][pop][Ring1][FrH0][pop][Ring1][S][Br][pop],BrOc1c(Br)c([Fr])c(SBr)c(OBr)c1[Fr],0.52946917,ths_N125_8513de17,8513de17
qtz_N256_edge212453,[F][C][=C][C][=Branch][=C][Branch][:0benzene][Ring2][F][pop][Ring1][FrH0][pop][Ring1][F][pop][Ring1][F][pop][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][qtz],[F][C][=C][C][=Branch][=C][Branch][:0benzene][Ring2][F][pop][Ring1][FrH0][pop][Ring1][F][pop][Ring1][F][pop][pop][Ring1][Ring2][pop][FrH0],0.759490938,[=S][:0benzene][Ring1][Br][pop][Ring1][FrH0][pop][Ring1][N][Br][pop][Ring1][P][pop][Ring1][FrH0][pop][Br][:1amide][:0carboxylic_acid][pop][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][qtz],[=S][:0benzene][Ring1][Br][pop][Ring1][FrH0][pop][Ring1][N][Br][pop][Ring1][P][pop][Ring1][FrH0][pop][Br][:1amide][:0carboxylic_acid][pop],Pc1c([Fr])c(S)c(Br)c([Fr])c1NBr,0.5326478,qtz_N256_13e94d2f,13e94d2f
eta_N606_edge82508,[S][=C][C][=C][Branch][C][Branch][C][Branch][N][Branch][C][Ring1][=Branch][pop][FrH0][pop][C][=S][pop][Branch][C][=S][pop][FrH0][pop][C][=S][.][Fr][C][=C][C][=C][N][Branch2][Ring1][#Branch2][Co][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][C][Ring2][Ring1][Branch1][&&][eta],[S][=C][C][=C][Branch][C][Branch][C][Branch][N][Branch][C][Ring1][=Branch][pop][FrH0][pop][C][=S][pop][Branch][C][=S][pop][FrH0][pop][C][=S],0.800496286,[=C][=C][C][=S][Branch][:0amide][FrH0][=N][:0imidazole][=N][=C][=Branch][P][Br][pop][FrH0][pop][Br][Branch][pop][Ring1][Br][:=0amide][S][FrH0][Br][=N][Branch][Br][:1imidazole][:1sulfonic_acid][#N][Branch][:0carboxylic_acid][Br][Br][Cl][:1amide][Br][.][Fr][C][=C][C][=C][N][Branch2][Ring1][#Branch2][Co][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][C][Ring2][Ring1][Branch1][&&][eta],[=C][=C][C][=S][Branch][:0amide][FrH0][=N][:0imidazole][=N][=C][=Branch][P][Br][pop][FrH0][pop][Br][Branch][pop][Ring1][Br][:=0amide][S][FrH0][Br][=N][Branch][Br][:1imidazole][:1sulfonic_acid][#N][Branch][:0carboxylic_acid][Br][Br][Cl][:1amide][Br],C=CC=S([Fr])NC(=O)Nc1nc(Br)cn1C([Fr])PBr,0.675257344,eta_N606_7b31c90c,7b31c90c
