seed_mof_name,seed_mof_string,seed_edge_selfies,seed_edge_smiles,seed_targets,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_targets,dreamed_mof_name,linker_hash
unc_N50_edge99328,[S][C][Branch][C][Branch][FrH0][pop][Br][pop][:1methyl_amine][Ring1][C][C][=Branch][=C][Branch][C][FrH0][pop][Br][pop][Br][pop][.][Fr][C][=C][C][=C][Branch2][Ring2][O][O][Al][Branch1][=N][O][C][C][=C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][Branch1][=N][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][S][&&][unc],[S][C][Branch][C][Branch][FrH0][pop][Br][pop][:1methyl_amine][Ring1][C][C][=Branch][=C][Branch][C][FrH0][pop][Br][pop][Br][pop],SC(CNCC(Br)=C(Br)C[Fr])C(Br)[Fr],"[-6.4609613, 0.5256732]",[:0methyl][C][:3pyrimidine][Ring1][:3imidazole][Ring1][N][N][N][Branch][FrH0][pop][:0methyl][pop][Ring1][:0pyrimidine][Ring2][:3pyrimidine][Ring1][:4benzenealcohol][pop][Ring1][:3pyrimidine][Ring1][:0benzenealcohol][Ring1][:0pyrimidine][Ring1][C][pop][pop][pop][pop][pop][pop][Ring1][:0methyl][pop][pop][.][Fr][C][=C][C][=C][Branch2][Ring2][O][O][Al][Branch1][=N][O][C][C][=C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][Branch1][=N][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][=C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][S][&&][unc],[:0methyl][C][:3pyrimidine][Ring1][:3imidazole][Ring1][N][N][N][Branch][FrH0][pop][:0methyl][pop][Ring1][:0pyrimidine][Ring2][:3pyrimidine][Ring1][:4benzenealcohol][pop][Ring1][:3pyrimidine][Ring1][:0benzenealcohol][Ring1][:0pyrimidine][Ring1][C][pop][pop][pop][pop][pop][pop][Ring1][:0methyl][pop][pop],CCc1ccnc(-c2nc(NNN([Fr])CC)n(-c3ncc(-c4cc(-c5ccnc(-c6c(O)cccc6-c6nccc(C)n6)n5)nc(-c5ccccc5O)n4)cn3)c2CC)n1,"[-7.2350064974, 0.6750677930888433]",unc_N50_b29f460a_opt,b29f460a
pcu_N483_edge42526,[FrH0][C][C][N][Branch][C][C][N][Branch][:1imidazole][pop][Ring1][=Branch][pop][FrH0][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][O][Sc][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][pcu],[FrH0][C][C][N][Branch][C][C][N][Branch][:1imidazole][pop][Ring1][=Branch][pop][FrH0],[Fr]C1CN([Fr])CCN1n1ccnc1,"[-9.223068, 0.8950727]",[:0methyl][C][:0benzenediol][#Branch][:0pyrimidine][Ring1][:1imidazole][Ring1][:2pyrimidine][Branch][:2pyrimidine][pop][pop][pop][Ring1][:3imidazole][Ring1][:2imidazole][Ring1][FrH0][pop][pop][Ring1][:3pyrimidine][Ring1][:3pyrimidine][pop][pop][pop][Ring1][Cl][pop][pop][Branch][:2benzenealcohol][Ring1][FrH0][pop][pop][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][O][Sc][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=N][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][O][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][pcu],[:0methyl][C][:0benzenediol][#Branch][:0pyrimidine][Ring1][:1imidazole][Ring1][:2pyrimidine][Branch][:2pyrimidine][pop][pop][pop][Ring1][:3imidazole][Ring1][:2imidazole][Ring1][FrH0][pop][pop][Ring1][:3pyrimidine][Ring1][:3pyrimidine][pop][pop][pop][Ring1][Cl][pop][pop][Branch][:2benzenealcohol][Ring1][FrH0][pop][pop],CCc1c(Oc2nc(Cl)c(-c3cn(-c4ccnc(-c5ccncn5)n4)c(-c4[nH]cnc4[Fr])n3)c(-n3cncc3-c3cncnc3-c3cncnc3)n2)ccc(-c2ccc(O)cc2[Fr])c1O,"[-8.4773859359, 0.7944480977600369]",pcu_N483_cdf805a9_opt,cdf805a9
cag_N34_edge96931,[FrH0][N][C][=C][N][Branch][N][N][Branch][C][Ring1][#Branch][pop][:0benzene][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][cag],[FrH0][N][C][=C][N][Branch][N][N][Branch][C][Ring1][#Branch][pop][:0benzene][pop][FrH0],[Fr]N1C=CN([Fr])NN(c2ccccc2)C1,"[-7.5245337, 0.732541]",[FrH0][:0sulfonic_acid][N][N][N][N][N][:2pyrimidine][Branch][:2pyridine][:0methyl][=S][=P][FrH0][pop][:0propyl][:4benzenealcohol][:3pyrimidine][:0benzenediol][:1imidazole][:0benzenediol][:2imidazole][:2benzenediol][:2imidazole][:2pyridine][:1pyrimidine][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][cag],[FrH0][:0sulfonic_acid][N][N][N][N][N][:2pyrimidine][Branch][:2pyridine][:0methyl][=S][=P][FrH0][pop][:0propyl][:4benzenealcohol][:3pyrimidine][:0benzenediol][:1imidazole][:0benzenediol][:2imidazole][:2benzenediol][:2imidazole][:2pyridine][:1pyrimidine],O=S(NNNNc1cncnc1-c1ccnc(-c2ccccc2Oc2c(O)cccc2Oc2c(O)cccc2Oc2c(O)cc(O)cc2-c2ccncc2)c1[SH]=P[Fr])O[Fr],"[-17.7374822987, 1.4713189471337975]",cag_N34_3dc64a4c_opt,3dc64a4c
pcu_N480_edge58907,[FrH0][N][:1methyl_amine][Ring1][C][Branch][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne][pop][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[FrH0][N][:1methyl_amine][Ring1][C][Branch][N][Branch][FrH0][pop][C][Ring1][#Branch][pop][:1alkyne][pop],C#CC1NCN([Fr])CN1[Fr],"[-11.633582, 1.2783175]",[:0methyl_amine][C][:4benzenediol][N][:0benzenediol][#Branch][N][FrH0][pop][Ring2][:0benzenediol][Branch][:0benzenediol][Branch][FrH0][pop][pop][pop][:2benzenediol][:0benzenediol][pop][pop][Ring2][:1imidazole][:0benzenediol][:2pyridine][pop][=P][P][pop][:4benzenealcohol][:1pyrimidine][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],[:0methyl_amine][C][:4benzenediol][N][:0benzenediol][#Branch][N][FrH0][pop][Ring2][:0benzenediol][Branch][:0benzenediol][Branch][FrH0][pop][pop][pop][:2benzenediol][:0benzenediol][pop][pop][Ring2][:1imidazole][:0benzenediol][:2pyridine][pop][=P][P][pop][:4benzenealcohol][:1pyrimidine],CNc1ccc(On2c(-c3ccncn3)nc(P)c2-c2ccncc2)cc1Oc1c(ON[Fr])ccc(-c2c(O)cccc2O)c1Oc1c(O)cc(-c2c(O)cc([Fr])cc2O)cc1O,"[-16.194717636, 1.6211175653558247]",pcu_N480_4fa66e6b_opt,4fa66e6b
sra_N681_edge108488,[N][O][C][Branch][C][Branch][O][FrH0][pop][C][=C][C][=C][Branch][FrH0][pop][N][pop][Branch][N][pop][N][.][Fr][C][C][=C][N][Ag][Ag][Branch2][Ring2][=Branch1][Ag][Ring1][Ring1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][Branch1][#Branch1][N][Ring1][N][C][=Ring1][S][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][O][Branch1][#C][N][N][Ring2][Ring1][N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][&&][sra],[N][O][C][Branch][C][Branch][O][FrH0][pop][C][=C][C][=C][Branch][FrH0][pop][N][pop][Branch][N][pop][N],NOC(N)(N)C(C=CC=C(N)[Fr])O[Fr],"[-6.462397, 0.60598564]",[:0propyl][C][:0benzenediol][=S][FrH0][pop][:1methyl_amine][Cl][pop][=Ring2][Cl][Branch][FrH0][pop][:0benzenediol][S][#C][pop][Branch][:1imidazole][pop][pop][Ring2][:=0amide][:0benzenediol][FrH0][Cl][:4benzenealcohol][:1pyridine][:0pyridine][:0pyridine][:0pyridine][:1pyridine][N][Cl][.][Fr][C][C][=C][N][Ag][Ag][Branch2][Ring2][=Branch1][Ag][Ring1][Ring1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][Branch1][#Branch1][N][Ring1][N][C][=Ring1][S][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][O][Branch1][#C][N][N][Ring2][Ring1][N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][&&][sra],[:0propyl][C][:0benzenediol][=S][FrH0][pop][:1methyl_amine][Cl][pop][=Ring2][Cl][Branch][FrH0][pop][:0benzenediol][S][#C][pop][Branch][:1imidazole][pop][pop][Ring2][:=0amide][:0benzenediol][FrH0][Cl][:4benzenealcohol][:1pyridine][:0pyridine][:0pyridine][:0pyridine][:1pyridine][N][Cl],C#SOc1c([Fr])c(Cl)c(Cl)c(O[Fr])c1CCC,"[-14.90216749, 1.1744721360422612]",sra_N681_d17783ff_opt,d17783ff
cds_N274_edge204872,[FrH0][C][=C][C][=Branch][=C][:1methyl_amine][Ring1][=C][Branch][C][=C][Ring1][N][Ring1][=Branch][pop][:0benzene][pop][pop][FrH0][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[FrH0][C][=C][C][=Branch][=C][:1methyl_amine][Ring1][=C][Branch][C][=C][Ring1][N][Ring1][=Branch][pop][:0benzene][pop][pop][FrH0],[Fr]C1=CC([Fr])=C2CN=C(c3ccccc3)C=C12,"[-8.553592, 0.83940023]",[FrH0][C][=S][#Branch][:2pyrimidine][S][:1imidazole][#Branch][:0propyl][:0benzenediol][Ring2][:1imidazole][Ring2][:0benzenediol][:3pyrimidine][FrH0][:3pyrimidine][:1pyrimidine][:1pyrimidine][:0propyl][:0propyl][:0propyl][:0propyl][:3benzenealcohol][:=1methyl_amine][:=1methyl_amine][:=1methyl_amine][:1pyrimidine][:1pyrimidine][:2pyridine][:2pyridine][:2pyridine][:2pyridine][:2pyridine][:2pyridine][=O][:=1methyl_amine][:2pyridine][=O][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[FrH0][C][=S][#Branch][:2pyrimidine][S][:1imidazole][#Branch][:0propyl][:0benzenediol][Ring2][:1imidazole][Ring2][:0benzenediol][:3pyrimidine][FrH0][:3pyrimidine][:1pyrimidine][:1pyrimidine][:0propyl][:0propyl][:0propyl][:0propyl][:3benzenealcohol][:=1methyl_amine][:=1methyl_amine][:=1methyl_amine][:1pyrimidine][:1pyrimidine][:2pyridine][:2pyridine][:2pyridine][:2pyridine][:2pyridine][:2pyridine][=O][:=1methyl_amine][:2pyridine][=O],CCCc1nc(CNc2ncncc2-c2ccncc2-c2ccncc2-c2ccncc2OCN=O)nc(-c2ccc(O)c(-c3cn(-c4ncc(CCC)n4-c4ncncc4[SH]=C[Fr])cn3)c2O[Fr])c1CCC,"[-7.7661208545, 0.7247729955098648]",cds_N274_51110eb8_opt,51110eb8
gme_N109_edge98653,[O][O][:4benzenediol][Ring1][O][pop][Ring1][C][C][FrH0][pop][Ring1][O][pop][Ring1][FrH0][pop][.][O][=C][Branch1][C][Fr][O][In][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][gme],[O][O][:4benzenediol][Ring1][O][pop][Ring1][C][C][FrH0][pop][Ring1][O][pop][Ring1][FrH0][pop],OOc1cc([Fr])c(OO)c(CC[Fr])c1OO,"[-8.556642, 0.797618]",[C][S][Branch][FrH0][pop][=S][=P][FrH0][pop][:0methyl][Cl][:0benzenediol][:0benzenediol][FrH0][FrH0][:0propyl][:2benzenediol][:0imidazole][:0pyridine][:0imidazole][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2benzenealcohol][:0pyridine][:1pyrimidine][:2pyrimidine][:2pyrimidine][:1methyl_amine][:2pyridine][:2pyridine][.][O][=C][Branch1][C][Fr][O][In][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][gme],[C][S][Branch][FrH0][pop][=S][=P][FrH0][pop][:0methyl][Cl][:0benzenediol][:0benzenediol][FrH0][FrH0][:0propyl][:2benzenediol][:0imidazole][:0pyridine][:0imidazole][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2benzenealcohol][:0pyridine][:1pyrimidine][:2pyrimidine][:2pyrimidine][:1methyl_amine][:2pyridine][:2pyridine],CS([Fr])=S=P[Fr],"[-12.8541964218, 1.1579318324796364]",gme_N109_b5eb6749_opt,b5eb6749
sra_N492_edge142408,[O][S][C][C][Branch][S][C][S][C][=Branch][=C][C][FrH0][pop][O][pop][C][C][FrH0][.][O][=C][Branch1][C][Fr][O][Be][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][sra],[O][S][C][C][Branch][S][C][S][C][=Branch][=C][C][FrH0][pop][O][pop][C][C][FrH0],OSCC(CC[Fr])SCSC(O)=CC[Fr],"[-5.425385, 0.39747196]",[S][S][C][C][Branch][S][=P][=P][:0methyl][=Branch][:0benzenediol][:0propyl][FrH0][pop][:3pyrimidine][pop][:0benzenediol][=P][FrH0][:1pyrimidine][Ring2][.][O][=C][Branch1][C][Fr][O][Be][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][sra],[S][S][C][C][Branch][S][=P][=P][:0methyl][=Branch][:0benzenediol][:0propyl][FrH0][pop][:3pyrimidine][pop][:0benzenediol][=P][FrH0][:1pyrimidine][Ring2],CCP=[PH]=[SH]C(CSS)c1c(O)cc(P[Fr])cc1O[Fr],"[-9.6383806319, 0.917946668160837]",sra_N492_9d88ae07_opt,9d88ae07
unc_N282_edge17938,[FrH0][O][O][O][C][C][Branch][O][FrH0][pop][:0methyl][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Cu][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][unc],[FrH0][O][O][O][C][C][Branch][O][FrH0][pop][:0methyl],CCC(COOO[Fr])O[Fr],"[-3.3573904, 0.15949129]",[:0propyl][C][:1benzenediol][=Branch][FrH0][pop][Ring1][:0propyl][pop][Ring2][:0benzenediol][Ring1][:3pyrimidine][Ring1][C][=N][C][=N][C][=Branch][=C][Branch][:0pyridine][Ring1][FrH0][pop][Ring2][:1pyrimidine][Ring1][:2pyridine][Ring1][:2benzenealcohol][Ring1][:0methyl][pop][Ring1][:3imidazole][pop][pop][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Cu][Branch1][O][N][C][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][unc],[:0propyl][C][:1benzenediol][=Branch][FrH0][pop][Ring1][:0propyl][pop][Ring2][:0benzenediol][Ring1][:3pyrimidine][Ring1][C][=N][C][=N][C][=Branch][=C][Branch][:0pyridine][Ring1][FrH0][pop][Ring2][:1pyrimidine][Ring1][:2pyridine][Ring1][:2benzenealcohol][Ring1][:0methyl][pop][Ring1][:3imidazole][pop][pop],CCCOc1c(-c2c(O)cccc2Oc2ccnc(C=NC=NC=Cc3ncc(-c4ncncc4-c4ccncc4-c4ccc(O)c(-c5c[nH]cn5)c4CC)cc3[Fr])n2)ccc(O[Fr])c1CCC,"[-8.25324954, 0.8013264458185908]",unc_N282_33794181_opt,33794181
unc_N719_edge37023,[:0isocyanate][C][C][Branch][C][C][Branch][:1methyl_amine][Ring1][Ring1][Ring2][pop][pop][FrH0][pop][FrH0][pop][.][Fr][C][=C][N][Cu][Branch2][Ring1][Branch1][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][Ring1][#Branch2][C][=C][Ring1][=C][N][C][Branch1][=C][C][N][Ring1][#C][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][&&][unc],[:0isocyanate][C][C][Branch][C][C][Branch][:1methyl_amine][Ring1][Ring1][Ring2][pop][pop][FrH0][pop][FrH0][pop],O=C=NC1([Fr])CC([Fr])CN1,"[-7.35111, 0.6314188]",[:1amide][:0benzenediol][FrH0][Ring1][FrH0][pop][Ring1][Cl][pop][Ring2][Cl][pop][Ring1][FrH0][pop][pop][.][Fr][C][=C][N][Cu][Branch2][Ring1][Branch1][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][Ring1][#Branch2][C][=C][Ring1][=C][N][C][Branch1][=C][C][N][Ring1][#C][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][=C][Branch1][C][Fr][C][Ring1][=C][&&][unc],[:1amide][:0benzenediol][FrH0][Ring1][FrH0][pop][Ring1][Cl][pop][Ring2][Cl][pop][Ring1][FrH0][pop][pop],O=C([Fr])N[Fr],"[-9.3425011829, 0.8975809685055891]",unc_N719_7ea0da6d_opt,7ea0da6d
