seed_mof_name,seed_mof_string,seed_edge_selfies,seed_edge_smiles,seed_targets,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_targets,dreamed_mof_name,linker_hash
sra_N34_edge148295,[:0O_nitrile][C][C][Branch][C][=Branch][=C][Branch][C][Branch][C][FrH0][pop][O][pop][O][pop][O][pop][C][C][Branch][FrH0][pop][O][pop][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][sra],[:0O_nitrile][C][C][Branch][C][=Branch][=C][Branch][C][Branch][C][FrH0][pop][O][pop][O][pop][O][pop][C][C][Branch][FrH0][pop][O][pop],N#COC(CC(O)[Fr])C(O)=C(O)C(O)C[Fr],"[-7.0946636, 0.66457623]",[:0sulfonic_acid][S][S][Branch][:1alkyne][:0benzenediol][:0methyl][Branch][:0propyl][:0benzenediol][:0benzenediol][FrH0][S][:0pyridine][:0pyridine][:3pyrimidine][:0benzenediol][:0propyl][=P][=P][:0benzenediol][=P][FrH0][:4benzenealcohol][:3pyrimidine][:3benzenealcohol][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][sra],[:0sulfonic_acid][S][S][Branch][:1alkyne][:0benzenediol][:0methyl][Branch][:0propyl][:0benzenediol][:0benzenediol][FrH0][S][:0pyridine][:0pyridine][:3pyrimidine][:0benzenediol][:0propyl][=P][=P][:0benzenediol][=P][FrH0][:4benzenealcohol][:3pyrimidine][:3benzenealcohol],CCC#C[SH](c1c(O)ccc(-c2ncccc2-c2cc(-c3c(O)ccc(-c4ccncn4)c3O[Fr])nc(CCC)n2)c1O[Fr])S(=O)O,"[-10.2137584619, 1.0382040202989056]",sra_N34_f443cb51,f443cb51
lon_N262_edge63848,[FrH0][N][N][=C][Branch][N][Branch][FrH0][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][=Branch][pop][:0propyl][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lon],[FrH0][N][N][=C][Branch][N][Branch][FrH0][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][=Branch][pop][:0propyl],CCCC1=NN([Fr])C(CCC)(CCC)N1[Fr],"[-12.609358, 1.492682]",[:1benzenediol][:5benzenealcohol][#C][FrH0][:0imidazole][:0propyl][#N][=Ring2][=Ring2][:0benzenediol][FrH0][FrH0][FrH0][Branch][Branch][:0methyl][=S][:0propyl][:0propyl][:0propyl][:2imidazole][:2imidazole][:2imidazole][:2imidazole][:1carboxylic_acid][:1pyridine][:1carboxylic_acid][:1carboxylic_acid][:1carboxylic_acid][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0propyl][:0benzenealcohol][:4benzenealcohol][:1pyridine][=N][:1pyrimidine][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lon],[:1benzenediol][:5benzenealcohol][#C][FrH0][:0imidazole][:0propyl][#N][=Ring2][=Ring2][:0benzenediol][FrH0][FrH0][FrH0][Branch][Branch][:0methyl][=S][:0propyl][:0propyl][:0propyl][:2imidazole][:2imidazole][:2imidazole][:2imidazole][:1carboxylic_acid][:1pyridine][:1carboxylic_acid][:1carboxylic_acid][:1carboxylic_acid][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0propyl][:0benzenealcohol][:4benzenealcohol][:1pyridine][=N][:1pyrimidine],CCCOc1cc([Fr])c(CC)c(OCCC)c1C[Fr],"[-13.3064995297, 1.347406346527405]",lon_N262_df776258,df776258
hex_N507_edge140222,[FrH0][C][=C][C][=C][Branch][C][Branch][FrH0][pop][=N][N][=C][Ring1][#Branch][pop][S][C][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],[FrH0][C][=C][C][=C][Branch][C][Branch][FrH0][pop][=N][N][=C][Ring1][#Branch][pop][S][C],CSc1c(C=C[Fr])cnnc1[Fr],"[-11.67962, 1.1993576]",[:0propyl][C][S][Branch][N][:0nitrile][=Branch][:0pyrimidine][Branch][:1benzenealcohol][:1benzenealcohol][FrH0][Ring2][:0pyridine][Ring1][P][=S][P][pop][#N][=P][=P][:1imidazole][:2pyrimidine][:2benzenealcohol][:0benzenealcohol][:2pyrimidine][P][FrH0][pop][pop][pop][:1imidazole][:2pyridine][:3pyrimidine][:1imidazole][:2pyrimidine][pop][pop][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],[:0propyl][C][S][Branch][N][:0nitrile][=Branch][:0pyrimidine][Branch][:1benzenealcohol][:1benzenealcohol][FrH0][Ring2][:0pyridine][Ring1][P][=S][P][pop][#N][=P][=P][:1imidazole][:2pyrimidine][:2benzenealcohol][:0benzenealcohol][:2pyrimidine][P][FrH0][pop][pop][pop][:1imidazole][:2pyridine][:3pyrimidine][:1imidazole][:2pyrimidine][pop][pop],CCC[SH](NC#N)c1nccc(-c2cc(O)c(-c3nccc(P=Pn4cnc(-c5ccncc5-n5ccnc5)c4-c4ccc(O)cc4-c4cncnc4[Fr])c3P=[SH]P)cc2[Fr])n1,"[-17.3430064788, 1.8600430317419396]",hex_N507_249bcb8a,249bcb8a
pcu_N543_edge172275,[FrH0][C][=C][=C][C][=C][Branch][C][Branch][C][FrH0][pop][=C][Branch][C][pop][Ring1][#Branch][pop][C][.][Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][pcu],[FrH0][C][=C][=C][C][=C][Branch][C][Branch][C][FrH0][pop][=C][Branch][C][pop][Ring1][#Branch][pop][C],CC1=CC(=C=C[Fr])C(C)=C1C[Fr],"[-10.632808, 1.091147]",[FrH0][N][N][FrH0][pop][:1pyrimidine][=O][=Ring2][:=0amide][:0benzenediol][:0benzenediol][=P][pop][pop][pop][:3pyrimidine][:0pyridine][:0imidazole][:2imidazole][:0propyl][:0propyl][:0methyl][:0propyl][:0benzenediol][Cl][:1pyrimidine][:0benzenediol][.][Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][pcu],[FrH0][N][N][FrH0][pop][:1pyrimidine][=O][=Ring2][:=0amide][:0benzenediol][:0benzenediol][=P][pop][pop][pop][:3pyrimidine][:0pyridine][:0imidazole][:2imidazole][:0propyl][:0propyl][:0methyl][:0propyl][:0benzenediol][Cl][:1pyrimidine][:0benzenediol],[Fr]NN[Fr],"[-19.6007940733, 2.2037687783803652]",pcu_N543_80da5d91,80da5d91
rho_N450_edge167270,[:0alkene][C][:0benzene][Ring2][FrH0][pop][Ring1][C][Branch][N][=C][C][Ring1][#Branch][=C][O][pop][=C][O][pop][Ring2][FrH0][pop][pop][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],[:0alkene][C][:0benzene][Ring2][FrH0][pop][Ring1][C][Branch][N][=C][C][Ring1][#Branch][=C][O][pop][=C][O][pop][Ring2][FrH0][pop][pop],O=Cc1cc([Fr])c2c(=CO)ncc(=CO)c2c1[Fr],"[-5.9180093, 0.46561107]",[=S][=S][:1imidazole][Ring2][FrH0][pop][Ring1][:3pyrimidine][:0propyl][:1imidazole][:0benzenealcohol][C][:1imidazole][=Ring2][FrH0][:2pyridine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:1imidazole][Ring2][:2imidazole][pop][pop][:0benzene][:0benzenealcohol][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],[=S][=S][:1imidazole][Ring2][FrH0][pop][Ring1][:3pyrimidine][:0propyl][:1imidazole][:0benzenealcohol][C][:1imidazole][=Ring2][FrH0][:2pyridine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:1imidazole][Ring2][:2imidazole][pop][pop][:0benzene][:0benzenealcohol],Oc1ccccc1-c1cc(-c2ncn(Cc3cncn3-c3nccc(-c4nc([Fr])cn4[SH]=S)n3)c2[Fr])nc(-c2ccncn2)n1,"[-5.9791278313, 0.5534328119297781]",rho_N450_6c99b68f,6c99b68f
eta_N298_edge168444,[:0alkene][C][C][=C][C][Branch][O][C][=C][C][=Branch][=C][Branch][C][Ring1][N][pop][Ring1][Ring2][pop][FrH0][pop][FrH0][pop][.][ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][eta],[:0alkene][C][C][=C][C][Branch][O][C][=C][C][=Branch][=C][Branch][C][Ring1][N][pop][Ring1][Ring2][pop][FrH0][pop][FrH0][pop],O=CC1=CC([Fr])OC2=CC([Fr])=C2C1,"[-1.370617, -0.046632405]",[:0amide][:0pyrimidine][:0benzenediol][:0pyrimidine][FrH0][:0pyrimidine][Ring1][:0propyl][Ring2][:0benzenediol][Ring2][pop][pop][pop][Ring1][:0benzenediol][Ring1][=S][Ring1][:0benzenealcohol][:1imidazole][:1pyrimidine][=S][=S][=S][:1pyrimidine][Branch][:3pyrimidine][:0propyl][:1amide][=P][=P][pop][pop][pop][:1methyl_amine][FrH0][pop][pop][.][ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][eta],[:0amide][:0pyrimidine][:0benzenediol][:0pyrimidine][FrH0][:0pyrimidine][Ring1][:0propyl][Ring2][:0benzenediol][Ring2][pop][pop][pop][Ring1][:0benzenediol][Ring1][=S][Ring1][:0benzenealcohol][:1imidazole][:1pyrimidine][=S][=S][=S][:1pyrimidine][Branch][:3pyrimidine][:0propyl][:1amide][=P][=P][pop][pop][pop][:1methyl_amine][FrH0][pop][pop],O=C(N=P)c1nccc(-c2ncc([Fr])c([SH]=S=[SH]c3cncn3[SH]3Oc4cccc(c4C(=O)Nc4c(O[Fr])ccc(-c5c(O)cccc5O)c4O)O3)n2)n1,"[-5.7512829987, 0.5013771950275259]",eta_N298_660393a9,660393a9
srs_N713_edge77105,[:0carboxylic_acid][Ring1][C][=C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][.][Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],[:0carboxylic_acid][Ring1][C][=C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop],O=C(O)C1=CCC([Fr])CN1[Fr],"[-4.8879566, 0.45019084]",[:0propyl][C][C][C][:1benzenediol][#Branch][FrH0][pop][Ring2][:0benzenediol][#Branch][:0propyl][pop][Ring2][FrH0][pop][Ring1][P][:3pyrimidine][pop][Ring1][:0propyl][pop][pop][pop][.][Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],[:0propyl][C][C][C][:1benzenediol][#Branch][FrH0][pop][Ring2][:0benzenediol][#Branch][:0propyl][pop][Ring2][FrH0][pop][Ring1][P][:3pyrimidine][pop][Ring1][:0propyl][pop][pop][pop],CCCCCOc1c(-c2c(OCCC)cc(CCC)c(Pc3ccncn3)c2O[Fr])ccc(O)c1[Fr],"[-11.7683462097, 1.0670156792974832]",srs_N713_4ca79e79,4ca79e79
nbo_N549_edge133855,[O][C][Branch][C][C][Branch][:1methyl_amine][Ring1][C][Branch][C][C][=C][FrH0][pop][O][pop][pop][O][pop][FrH0][.][S][=C][=N][Co][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][nbo],[O][C][Branch][C][C][Branch][:1methyl_amine][Ring1][C][Branch][C][C][=C][FrH0][pop][O][pop][pop][O][pop][FrH0],OC([Fr])CC(O)CNC(O)CC=C[Fr],"[-6.9708257, 0.5835191]",[:0sulfonic_acid][=S][:2benzenealcohol][:2benzenealcohol][:0benzene][:0O_nitrile][:4benzenediol][:0propyl][#N][:0sulfonic_acid][FrH0][FrH0][#N][#N][:3pyrimidine][:3pyrimidine][:3pyrimidine][:0propyl][FrH0][pop][Ring2][Ring2][:=1methyl_amine][=O][:=1methyl_amine][=S][Ring2][:0benzenediol][=S][:0benzenediol][Ring2][=P][=P][:0benzenealcohol][S][:3pyrimidine][:3pyrimidine][Branch][.][S][=C][=N][Co][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][nbo],[:0sulfonic_acid][=S][:2benzenealcohol][:2benzenealcohol][:0benzene][:0O_nitrile][:4benzenediol][:0propyl][#N][:0sulfonic_acid][FrH0][FrH0][#N][#N][:3pyrimidine][:3pyrimidine][:3pyrimidine][:0propyl][FrH0][pop][Ring2][Ring2][:=1methyl_amine][=O][:=1methyl_amine][=S][Ring2][:0benzenediol][=S][:0benzenediol][Ring2][=P][=P][:0benzenealcohol][S][:3pyrimidine][:3pyrimidine][Branch],O=[SH]Oc1ccc(O)cc1-c1ccccc1-c1ccc(O)c(-c2ccnc(-c3cc(Sc4c(O)ccc(P=Pc5ccccc5Oc5ccncn5)c4O)nc([Fr])n3)n2)c1ONOS(=O)[Fr],"[-46.0975817247, 7.426232977976597]",nbo_N549_affa23b5,affa23b5
bnn_N572_edge155682,[:0nitrile][C][C][Branch][O][FrH0][pop][C][:0benzene][=Branch][C][C][FrH0][pop][pop][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],[:0nitrile][C][C][Branch][O][FrH0][pop][C][:0benzene][=Branch][C][C][FrH0][pop][pop],N#CC(Cc1cccc(CC[Fr])c1)O[Fr],"[-7.39779, 0.60994637]",[:0propyl][C][:5benzenediol][Ring1][:0benzenediol][Ring1][:3pyrimidine][pop][Ring2][:3pyrimidine][Ring2][:0benzenediol][Ring1][FrH0][pop][pop][pop][pop][Ring1][FrH0][pop][Ring2][:3benzenediol][pop][Ring1][:2pyridine][pop][pop][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],[:0propyl][C][:5benzenediol][Ring1][:0benzenediol][Ring1][:3pyrimidine][pop][Ring2][:3pyrimidine][Ring2][:0benzenediol][Ring1][FrH0][pop][pop][pop][pop][Ring1][FrH0][pop][Ring2][:3benzenediol][pop][Ring1][:2pyridine][pop][pop],CCCOc1c(-c2c(O)cc(-c3cc(-c4c(O)cccc4O[Fr])ncn3)cc2Oc2ccncn2)c(O[Fr])cc(-c2cc(O)cc(O)c2)c1-c1ccncc1,"[-23.8241871599, 2.276260639383892]",bnn_N572_6ad18d62,6ad18d62
cds_N472_edge95133,[FrH0][N][N][=C][Branch][C][Branch][C][C][Branch][O][FrH0][pop][Branch][:1alkyne][pop][:1alkyne][pop][=N][Ring1][S][pop][:1alkyne][.][Fr][C][C][=C][N][Ag][Ag][Branch1][#Branch1][N][Ring1][Ring2][C][=Ring1][Branch2][Ag][Branch1][=C][N][N][Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][=C][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][#Branch1][Branch1][#C][N][N][Ring2][Ring1][=N][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][N][N][Ring2][Ring2][Ring2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[FrH0][N][N][=C][Branch][C][Branch][C][C][Branch][O][FrH0][pop][Branch][:1alkyne][pop][:1alkyne][pop][=N][Ring1][S][pop][:1alkyne],C#Cc1nn([Fr])nc1CC(C#C)(C#C)O[Fr],"[-8.115439, 0.6883427]",[FrH0][N][N][=C][Branch][C][Branch][C][:0benzenediol][Branch][O][FrH0][pop][:0benzenediol][:0benzenediol][pop][:1alkyne][pop][=N][:0benzenediol][S][pop][:0propyl][:0benzenediol][:0benzenediol][=P][=P][=P][:0benzenediol][:0benzenediol][:0benzenediol][:0pyrimidine][.][Fr][C][C][=C][N][Ag][Ag][Branch1][#Branch1][N][Ring1][Ring2][C][=Ring1][Branch2][Ag][Branch1][=C][N][N][Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][=C][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][#Branch1][Branch1][#C][N][N][Ring2][Ring1][=N][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][N][N][Ring2][Ring2][Ring2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[FrH0][N][N][=C][Branch][C][Branch][C][:0benzenediol][Branch][O][FrH0][pop][:0benzenediol][:0benzenediol][pop][:1alkyne][pop][=N][:0benzenediol][S][pop][:0propyl][:0benzenediol][:0benzenediol][=P][=P][=P][:0benzenediol][:0benzenediol][:0benzenediol][:0pyrimidine],Oc1cccc(O)c1Oc1cccc(O)c1P=[PH]=POc1cccc(O)c1Oc1cccc(O)c1Oc1cc(O[Fr])c(-c2c(O)cccc2O)c(O)c1CCC=NN[Fr],"[-58.0881687373, 9.925286812054965]",cds_N472_1e27f7a8,1e27f7a8
