,seed_mof_name,seed_mof_string,seed_edge_selfies,seed_edge_smiles,seed_targets,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_targets,dreamed_mof_name
0,sra_N34_edge148295,[:0O_nitrile][C][C][Branch][C][=Branch][=C][Branch][C][Branch][C][FrH0][pop][O][pop][O][pop][O][pop][C][C][Branch][FrH0][pop][O][pop][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][sra],[:0O_nitrile][C][C][Branch][C][=Branch][=C][Branch][C][Branch][C][FrH0][pop][O][pop][O][pop][O][pop][C][C][Branch][FrH0][pop][O][pop],N#COC(CC(O)[Fr])C(O)=C(O)C(O)C[Fr],"[-7.0946636, 0.66457623]",[:0sulfonic_acid][S][S][Branch][:1alkyne][:0benzenediol][:0methyl][Branch][:0propyl][:0benzenediol][:0benzenediol][FrH0][S][:0pyridine][:0pyridine][:3pyrimidine][:0benzenediol][:0propyl][=P][=P][:0benzenediol][=P][FrH0][:4benzenealcohol][:3pyrimidine][:3benzenealcohol][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][sra],[:0sulfonic_acid][S][S][Branch][:1alkyne][:0benzenediol][:0methyl][Branch][:0propyl][:0benzenediol][:0benzenediol][FrH0][S][:0pyridine][:0pyridine][:3pyrimidine][:0benzenediol][:0propyl][=P][=P][:0benzenediol][=P][FrH0][:4benzenealcohol][:3pyrimidine][:3benzenealcohol],CCC#C[SH](c1c(O)ccc(-c2ncccc2-c2cc(-c3c(O)ccc(-c4ccncn4)c3O[Fr])nc(CCC)n2)c1O[Fr])S(=O)O,"[-10.2137584619, 1.0382040202989056]",sra_N34_N#COC(CC(O)[Fr])C(O)=C(O)C(O)C[Fr]
1,lvt_N193_edge202181,[:0alkene][C][:1alkyne][Ring1][C][=C][C][=C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][#Branch][Ring1][=Branch][pop][FrH0][pop][pop][.][O][=C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][lvt],[:0alkene][C][:1alkyne][Ring1][C][=C][C][=C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][#Branch][Ring1][=Branch][pop][FrH0][pop][pop],O=CC#CC1=C2C=C([Fr])C=CC12[Fr],"[-11.03353, 1.1752656]",[:0amide][:0pyrimidine][:0imidazole][:0methyl][:0imidazole][Ring2][FrH0][pop][Ring1][:4benzenealcohol][Ring1][:4benzenealcohol][Ring1][:1benzenediol][#Branch][:0benzenediol][Ring1][:0benzenediol][Ring1][FrH0][pop][pop][pop][pop][pop][pop][pop][pop][:1methyl_amine][Cl][FrH0][S][:1methyl_amine][Cl][FrH0][:1imidazole][:0benzenediol][pop][S][.][O][=C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][=C][C][=C][Branch1][C][Fr][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][lvt],[:0amide][:0pyrimidine][:0imidazole][:0methyl][:0imidazole][Ring2][FrH0][pop][Ring1][:4benzenealcohol][Ring1][:4benzenealcohol][Ring1][:1benzenediol][#Branch][:0benzenediol][Ring1][:0benzenediol][Ring1][FrH0][pop][pop][pop][pop][pop][pop][pop][pop][:1methyl_amine][Cl][FrH0][S][:1methyl_amine][Cl][FrH0][:1imidazole][:0benzenediol][pop][S],O=C(Cl)Nc1nccn1-c1nc(-c2ccccc2Oc2ccccc2OOc2cccc(O)c2-c2c(O)cccc2Oc2c(O)cccc2O[Fr])c([Fr])[nH]1,"[-14.8113507732, 1.2196536353751612]",lvt_N193_O=CC#CC1=C2C=C([Fr])C=CC12[Fr]
2,utp_N125_edge131158,[O][:0methyl_amine][Ring1][C][Branch][C][Branch][O][pop][O][pop][Branch][C][FrH0][pop][C][=C][C][Branch][FrH0][pop][O][pop][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][utp],[O][:0methyl_amine][Ring1][C][Branch][C][Branch][O][pop][O][pop][Branch][C][FrH0][pop][C][=C][C][Branch][FrH0][pop][O][pop],ONCC(C=CC(O)[Fr])(C[Fr])C(O)O,"[-9.242167, 0.9006637]",[O][#C][=S][C][:4benzenediol][:0benzenediol][=P][=P][FrH0][=S][=S][=S][pop][:0methyl][=S][FrH0][:2pyrimidine][=S][:0propyl][:1imidazole][=S][=S][:2imidazole][=S][:2pyrimidine][:3pyrimidine][:0propyl][:0propyl][:1imidazole][Cl][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:4benzenediol][:1imidazole][Ring2][:1imidazole][:3pyrimidine][:2pyrimidine][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][utp],[O][#C][=S][C][:4benzenediol][:0benzenediol][=P][=P][FrH0][=S][=S][=S][pop][:0methyl][=S][FrH0][:2pyrimidine][=S][:0propyl][:1imidazole][=S][=S][:2imidazole][=S][:2pyrimidine][:3pyrimidine][:0propyl][:0propyl][:1imidazole][Cl][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:4benzenediol][:1imidazole][Ring2][:1imidazole][:3pyrimidine][:2pyrimidine],CCCSc1c(OS[Fr])c([SH]=S)c(OP=P[Fr])c(C[SH]=C=O)c1Sc1[nH]cnc1-c1c(CCC)nc(Cl)nc1-c1c(O)cccc1-c1ccc(O)cc1O,"[-11.0835166982, 1.1495907083180814]",utp_N125_ONCC(C=CC(O)[Fr])(C[Fr])C(O)O
3,lon_N262_edge63848,[FrH0][N][N][=C][Branch][N][Branch][FrH0][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][=Branch][pop][:0propyl][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lon],[FrH0][N][N][=C][Branch][N][Branch][FrH0][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][=Branch][pop][:0propyl],CCCC1=NN([Fr])C(CCC)(CCC)N1[Fr],"[-12.609358, 1.492682]",[:1benzenediol][:5benzenealcohol][#C][FrH0][:0imidazole][:0propyl][#N][=Ring2][=Ring2][:0benzenediol][FrH0][FrH0][FrH0][Branch][Branch][:0methyl][=S][:0propyl][:0propyl][:0propyl][:2imidazole][:2imidazole][:2imidazole][:2imidazole][:1carboxylic_acid][:1pyridine][:1carboxylic_acid][:1carboxylic_acid][:1carboxylic_acid][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0propyl][:0benzenealcohol][:4benzenealcohol][:1pyridine][=N][:1pyrimidine][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lon],[:1benzenediol][:5benzenealcohol][#C][FrH0][:0imidazole][:0propyl][#N][=Ring2][=Ring2][:0benzenediol][FrH0][FrH0][FrH0][Branch][Branch][:0methyl][=S][:0propyl][:0propyl][:0propyl][:2imidazole][:2imidazole][:2imidazole][:2imidazole][:1carboxylic_acid][:1pyridine][:1carboxylic_acid][:1carboxylic_acid][:1carboxylic_acid][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0propyl][:0benzenealcohol][:4benzenealcohol][:1pyridine][=N][:1pyrimidine],CCCOc1cc([Fr])c(CC)c(OCCC)c1C[Fr],"[-13.3064995297, 1.347406346527405]",lon_N262_CCCC1=NN([Fr])C(CCC)(CCC)N1[Fr]
4,sod_N233_edge46871,[FrH0][C][Branch][C][C][=C][Branch][N][Ring1][Branch][pop][FrH0][pop][:0propyl][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][#Branch1][O][C][Branch1][C][Fr][O][In][Branch1][Ring2][O][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][&&][sod],[FrH0][C][Branch][C][C][=C][Branch][N][Ring1][Branch][pop][FrH0][pop][:0propyl],CCCC1([Fr])CC=C([Fr])N1,"[-14.873696, 1.4054741]",[S][S][:5benzenealcohol][:2benzenediol][:0isocyanate][:1imidazole][:1methyl_amine][FrH0][Cl][Cl][FrH0][Cl][P][S][S][FrH0][:1imidazole][:1pyrimidine][:3pyrimidine][Ring2][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][=O][:0propyl][:0propyl][:0pyridine][:0pyridine][:=1methyl_amine][:0propyl][:0propyl][:1pyrimidine][:1pyrimidine][:=1methyl_amine][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][#Branch1][O][C][Branch1][C][Fr][O][In][Branch1][Ring2][O][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][&&][sod],[S][S][:5benzenealcohol][:2benzenediol][:0isocyanate][:1imidazole][:1methyl_amine][FrH0][Cl][Cl][FrH0][Cl][P][S][S][FrH0][:1imidazole][:1pyrimidine][:3pyrimidine][Ring2][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][:0propyl][=O][:0propyl][:0propyl][:0pyridine][:0pyridine][:=1methyl_amine][:0propyl][:0propyl][:1pyrimidine][:1pyrimidine][:=1methyl_amine],O=C=Nc1c([Fr])c(Cl)c(Cl)c(SS[Fr])c1OSS,"[-73.3311232944, 18.872409882843925]",sod_N233_CCCC1([Fr])CC=C([Fr])N1
5,hex_N507_edge140222,[FrH0][C][=C][C][=C][Branch][C][Branch][FrH0][pop][=N][N][=C][Ring1][#Branch][pop][S][C][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],[FrH0][C][=C][C][=C][Branch][C][Branch][FrH0][pop][=N][N][=C][Ring1][#Branch][pop][S][C],CSc1c(C=C[Fr])cnnc1[Fr],"[-11.67962, 1.1993576]",[:0propyl][C][S][Branch][N][:0nitrile][=Branch][:0pyrimidine][Branch][:1benzenealcohol][:1benzenealcohol][FrH0][Ring2][:0pyridine][Ring1][P][=S][P][pop][#N][=P][=P][:1imidazole][:2pyrimidine][:2benzenealcohol][:0benzenealcohol][:2pyrimidine][P][FrH0][pop][pop][pop][:1imidazole][:2pyridine][:3pyrimidine][:1imidazole][:2pyrimidine][pop][pop][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],[:0propyl][C][S][Branch][N][:0nitrile][=Branch][:0pyrimidine][Branch][:1benzenealcohol][:1benzenealcohol][FrH0][Ring2][:0pyridine][Ring1][P][=S][P][pop][#N][=P][=P][:1imidazole][:2pyrimidine][:2benzenealcohol][:0benzenealcohol][:2pyrimidine][P][FrH0][pop][pop][pop][:1imidazole][:2pyridine][:3pyrimidine][:1imidazole][:2pyrimidine][pop][pop],CCC[SH](NC#N)c1nccc(-c2cc(O)c(-c3nccc(P=Pn4cnc(-c5ccncc5-n5ccnc5)c4-c4ccc(O)cc4-c4cncnc4[Fr])c3P=[SH]P)cc2[Fr])n1,"[-17.3430064788, 1.8600430317419396]",hex_N507_CSc1c(C=C[Fr])cnnc1[Fr]
6,pcu_N543_edge172275,[FrH0][C][=C][=C][C][=C][Branch][C][Branch][C][FrH0][pop][=C][Branch][C][pop][Ring1][#Branch][pop][C][.][Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][pcu],[FrH0][C][=C][=C][C][=C][Branch][C][Branch][C][FrH0][pop][=C][Branch][C][pop][Ring1][#Branch][pop][C],CC1=CC(=C=C[Fr])C(C)=C1C[Fr],"[-10.632808, 1.091147]",[FrH0][N][N][FrH0][pop][:1pyrimidine][=O][=Ring2][:=0amide][:0benzenediol][:0benzenediol][=P][pop][pop][pop][:3pyrimidine][:0pyridine][:0imidazole][:2imidazole][:0propyl][:0propyl][:0methyl][:0propyl][:0benzenediol][Cl][:1pyrimidine][:0benzenediol][.][Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][pcu],[FrH0][N][N][FrH0][pop][:1pyrimidine][=O][=Ring2][:=0amide][:0benzenediol][:0benzenediol][=P][pop][pop][pop][:3pyrimidine][:0pyridine][:0imidazole][:2imidazole][:0propyl][:0propyl][:0methyl][:0propyl][:0benzenediol][Cl][:1pyrimidine][:0benzenediol],[Fr]NN[Fr],"[-19.6007940733, 2.2037687783803652]",pcu_N543_CC1=CC(=C=C[Fr])C(C)=C1C[Fr]
7,rho_N450_edge167270,[:0alkene][C][:0benzene][Ring2][FrH0][pop][Ring1][C][Branch][N][=C][C][Ring1][#Branch][=C][O][pop][=C][O][pop][Ring2][FrH0][pop][pop][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],[:0alkene][C][:0benzene][Ring2][FrH0][pop][Ring1][C][Branch][N][=C][C][Ring1][#Branch][=C][O][pop][=C][O][pop][Ring2][FrH0][pop][pop],O=Cc1cc([Fr])c2c(=CO)ncc(=CO)c2c1[Fr],"[-5.9180093, 0.46561107]",[=S][=S][:1imidazole][Ring2][FrH0][pop][Ring1][:3pyrimidine][:0propyl][:1imidazole][:0benzenealcohol][C][:1imidazole][=Ring2][FrH0][:2pyridine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:1imidazole][Ring2][:2imidazole][pop][pop][:0benzene][:0benzenealcohol][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],[=S][=S][:1imidazole][Ring2][FrH0][pop][Ring1][:3pyrimidine][:0propyl][:1imidazole][:0benzenealcohol][C][:1imidazole][=Ring2][FrH0][:2pyridine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:1imidazole][Ring2][:2imidazole][pop][pop][:0benzene][:0benzenealcohol],Oc1ccccc1-c1cc(-c2ncn(Cc3cncn3-c3nccc(-c4nc([Fr])cn4[SH]=S)n3)c2[Fr])nc(-c2ccncn2)n1,"[-5.9791278313, 0.5534328119297781]",rho_N450_O=Cc1cc([Fr])c2c(=CO)ncc(=CO)c2c1[Fr]
8,eta_N298_edge168444,[:0alkene][C][C][=C][C][Branch][O][C][=C][C][=Branch][=C][Branch][C][Ring1][N][pop][Ring1][Ring2][pop][FrH0][pop][FrH0][pop][.][ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][eta],[:0alkene][C][C][=C][C][Branch][O][C][=C][C][=Branch][=C][Branch][C][Ring1][N][pop][Ring1][Ring2][pop][FrH0][pop][FrH0][pop],O=CC1=CC([Fr])OC2=CC([Fr])=C2C1,"[-1.370617, -0.046632405]",[:0amide][:0pyrimidine][:0benzenediol][:0pyrimidine][FrH0][:0pyrimidine][Ring1][:0propyl][Ring2][:0benzenediol][Ring2][pop][pop][pop][Ring1][:0benzenediol][Ring1][=S][Ring1][:0benzenealcohol][:1imidazole][:1pyrimidine][=S][=S][=S][:1pyrimidine][Branch][:3pyrimidine][:0propyl][:1amide][=P][=P][pop][pop][pop][:1methyl_amine][FrH0][pop][pop][.][ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][eta],[:0amide][:0pyrimidine][:0benzenediol][:0pyrimidine][FrH0][:0pyrimidine][Ring1][:0propyl][Ring2][:0benzenediol][Ring2][pop][pop][pop][Ring1][:0benzenediol][Ring1][=S][Ring1][:0benzenealcohol][:1imidazole][:1pyrimidine][=S][=S][=S][:1pyrimidine][Branch][:3pyrimidine][:0propyl][:1amide][=P][=P][pop][pop][pop][:1methyl_amine][FrH0][pop][pop],O=C(N=P)c1nccc(-c2ncc([Fr])c([SH]=S=[SH]c3cncn3[SH]3Oc4cccc(c4C(=O)Nc4c(O[Fr])ccc(-c5c(O)cccc5O)c4O)O3)n2)n1,"[-5.7512829987, 0.5013771950275259]",eta_N298_O=CC1=CC([Fr])OC2=CC([Fr])=C2C1
9,srs_N713_edge77105,[:0carboxylic_acid][Ring1][C][=C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][.][Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],[:0carboxylic_acid][Ring1][C][=C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop],O=C(O)C1=CCC([Fr])CN1[Fr],"[-4.8879566, 0.45019084]",[:0propyl][C][C][C][:1benzenediol][#Branch][FrH0][pop][Ring2][:0benzenediol][#Branch][:0propyl][pop][Ring2][FrH0][pop][Ring1][P][:3pyrimidine][pop][Ring1][:0propyl][pop][pop][pop][.][Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],[:0propyl][C][C][C][:1benzenediol][#Branch][FrH0][pop][Ring2][:0benzenediol][#Branch][:0propyl][pop][Ring2][FrH0][pop][Ring1][P][:3pyrimidine][pop][Ring1][:0propyl][pop][pop][pop],CCCCCOc1c(-c2c(OCCC)cc(CCC)c(Pc3ccncn3)c2O[Fr])ccc(O)c1[Fr],"[-11.7683462097, 1.0670156792974832]",srs_N713_O=C(O)C1=CCC([Fr])CN1[Fr]
