seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
nbo-a_N583_edge78106,[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][N][Branch][N][Branch][FrH0][pop][C][=C][Ring1][=N][pop][P][Branch][C][pop][C][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][nbo-a],[FrH0][C][Branch][P][Branch][C][pop][C][pop][C][N][Branch][N][Branch][FrH0][pop][C][=C][Ring1][=N][pop][P][Branch][C][pop][C],4.386873245,[:0imidazole][C][:0phosphoric_acid][Ring1][FrH0][pop][Ring1][SH2][:5benzenediol][:2pyrimidine][:1pyrimidine][Ring1][:4pyridine][pop][pop][Ring2][:3pyrimidine][:0nitrile][:2pyrimidine][Ring2][:2pyrimidine][Branch][SH2][:1benzenealcohol][:4pyridine][FrH0][C][Branch][:1sulfonic_acid][pop][Ring2][=P][=P][Ring2][:0pyrimidine][Ring1][:3pyrimidine][:1benzenediol][:4pyridine][.][O][=C][Branch1][C][Fr][O][In][Branch2][Ring2][=Branch1][O][C][Branch1][C][Fr][O][In][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][O][C][Branch1][C][Fr][=O][&&][nbo-a],[:0imidazole][C][:0phosphoric_acid][Ring1][FrH0][pop][Ring1][SH2][:5benzenediol][:2pyrimidine][:1pyrimidine][Ring1][:4pyridine][pop][pop][Ring2][:3pyrimidine][:0nitrile][:2pyrimidine][Ring2][:2pyrimidine][Branch][SH2][:1benzenealcohol][:4pyridine][FrH0][C][Branch][:1sulfonic_acid][pop][Ring2][=P][=P][Ring2][:0pyrimidine][Ring1][:3pyrimidine][:1benzenediol][:4pyridine],O=S(O)c1cc(OP=Pc2ccnc(-c3ccccn3)n2)cc([SH2]c2ncncc2-c2ncc(-c3nccc(-c4ccc(O[SH2]OP(=O)(O[Fr])Oc5ncc[nH]5)c(-c5ncncc5-c5ccccn5)c4O)n3)cn2)c1[Fr],2.226649761199951,nbo-a_N583_a1e7065b,a1e7065b
pcu_N139_edge85009,[:0O_nitrile][C][C][Branch][N][N][Branch][C][=N][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][:0O_nitrile][pop][.][Fr][C][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring2][Ring1][=Branch2][&&][pcu],[:0O_nitrile][C][C][Branch][N][N][Branch][C][=N][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][:0O_nitrile][pop],4.204864502,[:0nitrile][C][S][#C][:0sulfonic_acid][Ring1][S][SH2][:2pyrimidine][Branch][:0imidazole][Ring1][:3benzenediol][=Branch][SH2][:=0amide][Ring1][FrH0][pop][pop][pop][Ring2][SH2][:0sulfonic_acid][Ring1][:2imidazole][:1sulfonic_acid][:3pyridine][:1benzenealcohol][:3pyridine][:3benzenediol][FrH0][:1pyrimidine][:4pyridine][:2pyrimidine][:3benzenediol][Ring1][:3pyridine][N][.][Fr][C][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Sm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][Ring2][Ring1][=Branch2][&&][pcu],[:0nitrile][C][S][#C][:0sulfonic_acid][Ring1][S][SH2][:2pyrimidine][Branch][:0imidazole][Ring1][:3benzenediol][=Branch][SH2][:=0amide][Ring1][FrH0][pop][pop][pop][Ring2][SH2][:0sulfonic_acid][Ring1][:2imidazole][:1sulfonic_acid][:3pyridine][:1benzenealcohol][:3pyridine][:3benzenediol][FrH0][:1pyrimidine][:4pyridine][:2pyrimidine][:3benzenediol][Ring1][:3pyridine][N],N#CS#COS(=O)S[SH2]c1cncnc1-c1nc([SH2]OS(=O)c2[nH]cnc2-c2cccnc2-c2ccc(-c3cccc(-c4cc(O)cc(O)c4-c4cccnc4)n3)nc2[Fr])cn1-c1cc(O)cc(O[SH2]=NC(=O)[Fr])c1,0.8785970211029053,pcu_N139_9822c0a4,9822c0a4
lvt_N31_edge63317,[O][C][Branch][C][Branch][C][S][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][O][.][Fr][C][O][Tm][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Tm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][O][Ring2][Ring1][=Branch2][&&][lvt],[O][C][Branch][C][Branch][C][S][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][O],4.794265747,[:1alkyne][=Ring1][FrH0][Ring2][SH2][:1sulfonic_acid][FrH0][:4benzenediol][SH2][SH2][FrH0][F][:3imidazole][:3imidazole][Ring2][Ring2][Ring2][:0phosphoric_acid][Ring2][->][->][->][->][=Ring1][Ring2][.][Fr][C][O][Tm][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Tm][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][O][Ring2][Ring1][=Branch2][&&][lvt],[:1alkyne][=Ring1][FrH0][Ring2][SH2][:1sulfonic_acid][FrH0][:4benzenediol][SH2][SH2][FrH0][F][:3imidazole][:3imidazole][Ring2][Ring2][Ring2][:0phosphoric_acid][Ring2][->][->][->][->][=Ring1][Ring2],O=S(Oc1ccc(O)c(-c2c[nH]cn2)c1O[SH2][Fr])[SH2]C#C[Fr],2.933534622192383,lvt_N31_7d585159,7d585159
bcu_N372_edge108623,[S][=C][O][C][Branch][C][Branch][O][FrH0][pop][Branch][C][=C][C][=C][Branch][C][=S][pop][FrH0][pop][C][=S][pop][Branch][C][=S][pop][C][=S][.][Fr][C][O][Co][Branch1][Ring2][O][Ring1][Ring2][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][bcu],[S][=C][O][C][Branch][C][Branch][O][FrH0][pop][Branch][C][=C][C][=C][Branch][C][=S][pop][FrH0][pop][C][=S][pop][Branch][C][=S][pop][C][=S],2.502091408,[:0O_nitrile][C][:0amide][Ring1][C][:1imidazole][Branch][Br][:0carboxylic_acid][pop][Ring2][C][Branch][C][=S][:=0methyl_amine][Branch][C][=S][O][:1methyl_amine][Ring1][:1alkyne][Ring1][FrH0][pop][pop][=Ring1][Ring1][FrH0][:3pyrimidine][S][:0pyrimidine][:3pyrimidine][:3pyrimidine][:3benzenealcohol][:0pyrimidine][:0pyrimidine][.][Fr][C][O][Co][Branch1][Ring2][O][Ring1][Ring2][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][bcu],[:0O_nitrile][C][:0amide][Ring1][C][:1imidazole][Branch][Br][:0carboxylic_acid][pop][Ring2][C][Branch][C][=S][:=0methyl_amine][Branch][C][=S][O][:1methyl_amine][Ring1][:1alkyne][Ring1][FrH0][pop][pop][=Ring1][Ring1][FrH0][:3pyrimidine][S][:0pyrimidine][:3pyrimidine][:3pyrimidine][:3benzenealcohol][:0pyrimidine][:0pyrimidine],N#CONC(=O)Cn1cc(C([Fr])C=S=NCC=[SH]OCNC#C[Fr])nc1Br,2.453281879425049,bcu_N372_95a20c07,95a20c07
qtz_N209_edge174347,[:0sulfonic_acid][Ring1][C][=N][:2pyridine][=Branch][FrH0][pop][Ring2][C][=Branch][=C][Branch][:1sulfonic_acid][pop][Ring1][=N][pop][FrH0][pop][pop][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][&&][qtz],[:0sulfonic_acid][Ring1][C][=N][:2pyridine][=Branch][FrH0][pop][Ring2][C][=Branch][=C][Branch][:1sulfonic_acid][pop][Ring1][=N][pop][FrH0][pop][pop],3.273254156,[:0sulfonic_acid][:1pyridine][C][=N][P][=Branch][FrH0][:1carboxylic_acid][#N][=C][:=0amide][FrH0][->][=C][FrH0][:1sulfonic_acid][:3benzenealcohol][Ring1][=C][Ring2][pop][:2pyrimidine][:4benzenediol][:1sulfonic_acid][:1sulfonic_acid][:1sulfonic_acid][:1sulfonic_acid][:1pyridine][=Ring2][:0benzenealcohol][:1benzenediol][:2benzenealcohol][=Ring1][:4benzenediol][Ring2][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][&&][qtz],[:0sulfonic_acid][:1pyridine][C][=N][P][=Branch][FrH0][:1carboxylic_acid][#N][=C][:=0amide][FrH0][->][=C][FrH0][:1sulfonic_acid][:3benzenealcohol][Ring1][=C][Ring2][pop][:2pyrimidine][:4benzenediol][:1sulfonic_acid][:1sulfonic_acid][:1sulfonic_acid][:1sulfonic_acid][:1pyridine][=Ring2][:0benzenealcohol][:1benzenediol][:2benzenealcohol][=Ring1][:4benzenediol][Ring2],C=[SH](=O)OC=NP([Fr])C(=O)OC=NC(=O)C[Fr],4.001734256744385,qtz_N209_1de1c7dc,1de1c7dc
nbo_N173_edge7720,[O][=C][C][=Branch][:=1methyl_amine][Ring1][=C][Branch][:0benzenediol][Branch][FrH0][pop][pop][Ring1][Branch][pop][pop][FrH0][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][nbo],[O][=C][C][=Branch][:=1methyl_amine][Ring1][=C][Branch][:0benzenediol][Branch][FrH0][pop][pop][Ring1][Branch][pop][pop][FrH0],2.907819271,[:0methyl_amine][C][C][Branch][FrH0][pop][:1carboxylic_acid][Ring1][:4pyridine][Ring1][=O][Ring1][Br][pop][Ring1][FrH0][pop][pop][Ring2][:0phosphoric_acid][pop][:1imidazole][pop][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][nbo],[:0methyl_amine][C][C][Branch][FrH0][pop][:1carboxylic_acid][Ring1][:4pyridine][Ring1][=O][Ring1][Br][pop][Ring1][FrH0][pop][pop][Ring2][:0phosphoric_acid][pop][:1imidazole][pop],CNC([Fr])C(=O)Oc1ccc([Fr])c(O)n1,3.8991291522979736,nbo_N173_9618684b,9618684b
sod_N156_edge129763,[O][O][C][=C][C][=Branch][=C][Branch][:1methyl_amine][Ring1][C][Branch][O][O][pop][Branch][O][O][pop][FrH0][pop][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sod],[O][O][C][=C][C][=Branch][=C][Branch][:1methyl_amine][Ring1][C][Branch][O][O][pop][Branch][O][O][pop][FrH0][pop][pop][Ring1][Ring2][pop][FrH0],3.89040637,[:3pyrimidine][C][#Branch][:0imidazole][SH2][SH2][Ring1][SH2][FrH0][Ring2][SH2][SH2][:=0methyl_amine][:0O_nitrile][:1amide][:0amide][:=0methyl_amine][:0pyridine][:4benzenediol][:0O_nitrile][Br][:0imidazole][SH2][=C][SH2][Ring2][:0imidazole][:0O_nitrile][:1imidazole][Ring2][SH2][SH2][->][:1sulfonic_acid][:2pyrimidine][FrH0][:2pyrimidine][:3benzenediol][.][O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sod],[:3pyrimidine][C][#Branch][:0imidazole][SH2][SH2][Ring1][SH2][FrH0][Ring2][SH2][SH2][:=0methyl_amine][:0O_nitrile][:1amide][:0amide][:=0methyl_amine][:0pyridine][:4benzenediol][:0O_nitrile][Br][:0imidazole][SH2][=C][SH2][Ring2][:0imidazole][:0O_nitrile][:1imidazole][Ring2][SH2][SH2][->][:1sulfonic_acid][:2pyrimidine][FrH0][:2pyrimidine][:3benzenediol],O=C(CN=[SH2][SH2]c1cn([SH2][Fr])c(-c2ncccn2)n1)N=NCc1ccc(O)c([SH2]=C=[SH2]n2cnc([SH2][SH2]S(=O)O[Fr])c2)c1OBr,2.612590312957764,sod_N156_dcde9603,dcde9603
nbo_N448_edge130222,[:0amide][Ring1][C][Branch][C][S][=C][Branch][N][Ring1][Branch][pop][FrH0][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],[:0amide][Ring1][C][Branch][C][S][=C][Branch][N][Ring1][Branch][pop][FrH0][pop][FrH0][pop],3.971300125,[:0O_nitrile][C][:1benzenediol][=Branch][FrH0][pop][Ring1][:0O_nitrile][pop][Ring2][Br][Branch][FrH0][pop][Ring2][Br][pop][Ring1][:0O_nitrile][pop][pop][pop][:0pyridine][Br][S][Br][SH2][:0benzenealcohol][:0benzene][:4benzenediol][:0benzenealcohol][S][S][S][.][O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],[:0O_nitrile][C][:1benzenediol][=Branch][FrH0][pop][Ring1][:0O_nitrile][pop][Ring2][Br][Branch][FrH0][pop][Ring2][Br][pop][Ring1][:0O_nitrile][pop][pop][pop][:0pyridine][Br][S][Br][SH2][:0benzenealcohol][:0benzene][:4benzenediol][:0benzenealcohol][S][S][S],N#COOc1c(Br)c([Fr])c(Br)c(O[Fr])c1OC#N,2.429807662963867,nbo_N448_3cb02b7a,3cb02b7a
eta_N186_edge146662,[O][C][=C][Branch][C][Branch][O][C][=C][Branch][C][Branch][C][Branch][FrH0][pop][O][pop][Branch][O][pop][O][pop][Ring1][=Branch][pop][Branch][O][pop][O][pop][FrH0][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][eta],[O][C][=C][Branch][C][Branch][O][C][=C][Branch][C][Branch][C][Branch][FrH0][pop][O][pop][Branch][O][pop][O][pop][Ring1][=Branch][pop][Branch][O][pop][O][pop][FrH0],3.882718801,[O][S][=C][:1alkyne][:0sulfonic_acid][:1pyridine][:0alkene][C][=C][:3pyrimidine][:3pyrimidine][Branch][=O][Branch][FrH0][pop][=Ring1][pop][Branch][:1alkyne][pop][S][:1alkyne][:2benzenealcohol][:0nitrile][:0nitrile][:2pyrimidine][=Ring1][S][:2pyrimidine][=Ring1][FrH0][:1pyridine][:1pyridine][:1benzenediol][:1sulfonic_acid][:0alkene][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][eta],[O][S][=C][:1alkyne][:0sulfonic_acid][:1pyridine][:0alkene][C][=C][:3pyrimidine][:3pyrimidine][Branch][=O][Branch][FrH0][pop][=Ring1][pop][Branch][:1alkyne][pop][S][:1alkyne][:2benzenealcohol][:0nitrile][:0nitrile][:2pyrimidine][=Ring1][S][:2pyrimidine][=Ring1][FrH0][:1pyridine][:1pyridine][:1benzenediol][:1sulfonic_acid][:0alkene],C#Cc1cnc(O[Fr])nc1C=Cc1c(C#CC=[SH]O)cncc1-c1ccc(O)c(Sc2cnc(-c3cnccc3S(=O)O)nc2[Fr])c1C#N,1.715721607208252,eta_N186_c4649977,c4649977
pcu_N521_edge197323,[O][C][C][Branch][S][Branch][C][C][FrH0][pop][C][C][=C][C][C][O][FrH0][pop][Cl][.][Fr][N][C][=N][N][Branch1][Ring2][C][Ring1][Branch1][Mn][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][N][N][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][&&][pcu],[O][C][C][Branch][S][Branch][C][C][FrH0][pop][C][C][=C][C][C][O][FrH0][pop][Cl],4.049776077,[:0amide][Ring1][Br][pop][Ring1][:3pyridine][Ring2][Cl][pop][Ring1][C][C][S][pop][Ring1][:3pyrimidine][C][FrH0][pop][Ring2][:1sulfonic_acid][Ring1][FrH0][pop][pop][:0benzenediol][=S][=S][.][Fr][N][C][=N][N][Branch1][Ring2][C][Ring1][Branch1][Mn][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][N][N][=C][N][Branch1][C][Fr][C][Ring1][=Branch1][&&][pcu],[:0amide][Ring1][Br][pop][Ring1][:3pyridine][Ring2][Cl][pop][Ring1][C][C][S][pop][Ring1][:3pyrimidine][C][FrH0][pop][Ring2][:1sulfonic_acid][Ring1][FrH0][pop][pop][:0benzenediol][=S][=S],O=C(Br)Nc1cnc(Cl)c(CCS)c1-c1nc([Fr])nc([SH]=S)c1S(=O)O[Fr],2.110546112060547,pcu_N521_df90b581,df90b581
