seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
cds_N657_edge11671_opt,[FrH0][C][=C][Branch][C][Branch][:0propyl][pop][C][=Branch][=C][=C][FrH0][pop][C][=C][Ring1][=N][pop][:0propyl][.][Fr][C][O][Co][Branch2][Ring2][#Branch1][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Ring1][S][Branch1][Branch1][O][Ring2][Ring1][Branch2][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][cds],[FrH0][C][=C][Branch][C][Branch][:0propyl][pop][C][=Branch][=C][=C][FrH0][pop][C][=C][Ring1][=N][pop][:0propyl],2.434344292,[SH2][C][C][=C][Branch][FrH0][pop][SH2][SH2][:1sulfonic_acid][SH2][FrH0][:0phosphoric_acid][:3pyrimidine][:0sulfonic_acid][Cl][:0carboxylic_acid][Cl][:2pyridine][:2imidazole][:0pyrimidine][=O][Br][=O][.][Fr][C][O][Co][Branch2][Ring2][#Branch1][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Ring1][S][Branch1][Branch1][O][Ring2][Ring1][Branch2][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][cds],[SH2][C][C][=C][Branch][FrH0][pop][SH2][SH2][:1sulfonic_acid][SH2][FrH0][:0phosphoric_acid][:3pyrimidine][:0sulfonic_acid][Cl][:0carboxylic_acid][Cl][:2pyridine][:2imidazole][:0pyrimidine][=O][Br][=O],O=S(O[Fr])[SH2][SH2]C([Fr])=CC[SH2],2.971073866,cds_N657_c2fc9ed3_opt,c2fc9ed3
bnn_N254_edge131317_opt,[:0methyl_amine][Ring1][C][Branch][C][Branch][FrH0][pop][P][pop][Branch][C][Branch][P][pop][P][pop][C][=C][C][Branch][FrH0][pop][Branch][P][pop][P][pop][.][Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][bnn],[:0methyl_amine][Ring1][C][Branch][C][Branch][FrH0][pop][P][pop][Branch][C][Branch][P][pop][P][pop][C][=C][C][Branch][FrH0][pop][Branch][P][pop][P][pop],4.603556156,[:0O_nitrile][C][SH2][:3benzenediol][:1pyridine][:2imidazole][SH2][SH2][:0imidazole][Ring1][:1carboxylic_acid][pop][Ring1][C][FrH0][pop][Ring1][Cl][pop][pop][Ring1][Cl][:0methyl][Ring2][Cl][pop][pop][Ring2][FrH0][=Ring1][Ring1][:1pyridine][=Branch][S][S][=Ring1][:3benzenediol][:3pyridine][:4benzenediol][.][Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][bnn],[:0O_nitrile][C][SH2][:3benzenediol][:1pyridine][:2imidazole][SH2][SH2][:0imidazole][Ring1][:1carboxylic_acid][pop][Ring1][C][FrH0][pop][Ring1][Cl][pop][pop][Ring1][Cl][:0methyl][Ring2][Cl][pop][pop][Ring2][FrH0][=Ring1][Ring1][:1pyridine][=Branch][S][S][=Ring1][:3benzenediol][:3pyridine][:4benzenediol],N#CO[SH2]c1cc(O)c([Fr])c(OS#Sc2cccnc2)c1-c1[nH]c(Cl)nc1[SH2]c1nc(Cl)c(C[Fr])n1C(=O)O,2.230043411,bnn_N254_dc530843_opt,dc530843
srs_N60_edge23021_opt,[Br][C][Branch][C][=C][N][Branch][C][Branch][FrH0][pop][Branch][Br][pop][Br][pop][Br][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][=Branch2][&&][srs],[Br][C][Branch][C][=C][N][Branch][C][Branch][FrH0][pop][Branch][Br][pop][Br][pop][Br][pop][FrH0],3.962683916,[:0amide][Ring1][:1pyridine][Ring2][Br][pop][#C][Ring1][:0pyridine][O][O][FrH0][pop][Ring2][O][O][C][C][SH2][FrH0][FrH0][:3benzenediol][=C][:3benzenediol][:3benzenediol][:3benzenediol][:3benzenediol][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][=Branch2][&&][srs],[:0amide][Ring1][:1pyridine][Ring2][Br][pop][#C][Ring1][:0pyridine][O][O][FrH0][pop][Ring2][O][O][C][C][SH2][FrH0][FrH0][:3benzenediol][=C][:3benzenediol][:3benzenediol][:3benzenediol][:3benzenediol],O=C(N=Cc1cc(O)cc(O)c1-c1cc(O)cc(O)c1)c1c(O[Fr])ncc(Br)c1OOCC[SH2][Fr],2.063193083,srs_N60_ab9d1185_opt,ab9d1185
pcu_N274_edge25222_opt,[FrH0][C][=C][Branch][:2pyridine][pop][C][C][O][FrH0][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][pcu],[FrH0][C][=C][Branch][:2pyridine][pop][C][C][O][FrH0],1.95754981,[:0carboxylic_acid][C][:0benzenediol][#Branch][C][:0amide][Ring1][FrH0][pop][pop][Ring2][S][=Branch][=O][pop][:0phosphoric_acid][Ring2][Cl][pop][pop][Ring1][Br][pop][Ring1][O][FrH0][pop][pop][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][pcu],[:0carboxylic_acid][C][:0benzenediol][#Branch][C][:0amide][Ring1][FrH0][pop][pop][Ring2][S][=Branch][=O][pop][:0phosphoric_acid][Ring2][Cl][pop][pop][Ring1][Br][pop][Ring1][O][FrH0][pop][pop],O=COc1c(OCNC(=O)[Fr])cc(O[Fr])c(Br)c1OS(=O)OP(=O)(O)OCl,2.027698517,pcu_N274_cc46f8fb_opt,cc46f8fb
eta_N156_edge111349_opt,[O][C][C][=C][Branch][C][=Branch][=N][N][Branch][FrH0][pop][Ring1][Branch][pop][C][Branch][O][pop][Branch][O][pop][O][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][eta],[O][C][C][=C][Branch][C][=Branch][=N][N][Branch][FrH0][pop][Ring1][Branch][pop][C][Branch][O][pop][Branch][O][pop][O][pop][FrH0],3.823433161,[Br][C][C][O][:1pyridine][:4benzenealcohol][:0O_nitrile][:0O_nitrile][#Branch][SH2][FrH0][SH2][:1alkyne][SH2][:=0amide][=Ring1][SH2][Ring2][pop][SH2][SH2][SH2][SH2][SH2][FrH0][:1sulfonic_acid][SH2][SH2][SH2][SH2][->][SH2][:2benzenealcohol][:1pyridine][:0sulfonic_acid][#C][:1pyridine][:1pyridine][Ring2][.][O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][eta],[Br][C][C][O][:1pyridine][:4benzenealcohol][:0O_nitrile][:0O_nitrile][#Branch][SH2][FrH0][SH2][:1alkyne][SH2][:=0amide][=Ring1][SH2][Ring2][pop][SH2][SH2][SH2][SH2][SH2][FrH0][:1sulfonic_acid][SH2][SH2][SH2][SH2][->][SH2][:2benzenealcohol][:1pyridine][:0sulfonic_acid][#C][:1pyridine][:1pyridine][Ring2],N#COc1c(OCCBr)c([SH2][SH2][Fr])nc(C#CNC(=O)[SH2])c1[SH2][Fr],2.362184048,eta_N156_d3653957_opt,d3653957
cds_N654_edge131556_opt,[O][C][Branch][N][C][=C][C][C][=Branch][=C][Ring1][=Branch][pop][FrH0][pop][Branch][FrH0][pop][O][.][Fr][C][C][=C][N][Branch1][Branch1][N][C][=Ring1][=Branch1][Cu][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Branch1][N][N][N][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][N][N][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[O][C][Branch][N][C][=C][C][C][=Branch][=C][Ring1][=Branch][pop][FrH0][pop][Branch][FrH0][pop][O],2.477221489,[C][:0pyrimidine][Branch][Cl][pop][Ring2][C][=Branch][=C][Branch][FrH0][pop][C][:1amide][pop][:1imidazole][pop][Ring1][C][Branch][O][pop][Branch][O][pop][FrH0][pop][.][Fr][C][C][=C][N][Branch1][Branch1][N][C][=Ring1][=Branch1][Cu][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Branch1][N][N][N][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][N][N][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[C][:0pyrimidine][Branch][Cl][pop][Ring2][C][=Branch][=C][Branch][FrH0][pop][C][:1amide][pop][:1imidazole][pop][Ring1][C][Branch][O][pop][Branch][O][pop][FrH0][pop],Cc1nc(Cl)c(C(O)(O)[Fr])c(C(=C([Fr])CC(N)=O)n2ccnc2)n1,2.147837639,cds_N654_29df29ff_opt,29df29ff
eta_N60_edge119672_opt,[P][C][Branch][N][C][C][=C][Branch][C][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][Branch][FrH0][pop][P][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][=Branch2][&&][eta],[P][C][Branch][N][C][C][=C][Branch][C][Ring1][Branch][Ring1][Ring2][pop][FrH0][pop][Branch][FrH0][pop][P],3.767544746,[:0amide][Cl][FrH0][Cl][FrH0][:0amide][:3pyrimidine][C][:0phosphoric_acid][O][F][pop][C][Branch][Branch][:#1methyl_amine][pop][Ring1][#Branch][:1sulfonic_acid][Ring2][:3benzenealcohol][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][=Branch2][&&][eta],[:0amide][Cl][FrH0][Cl][FrH0][:0amide][:3pyrimidine][C][:0phosphoric_acid][O][F][pop][C][Branch][Branch][:#1methyl_amine][pop][Ring1][#Branch][:1sulfonic_acid][Ring2][:3benzenealcohol],O=C([Fr])N[Fr],4.134277821,eta_N60_4992fbb7_opt,4992fbb7
bnn_N383_edge138386_opt,[O][C][Branch][O][FrH0][pop][C][=C][C][Branch][C][O][FrH0][pop][C][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][bnn],[O][C][Branch][O][FrH0][pop][C][=C][C][Branch][C][O][FrH0][pop][C],5.134921551,[:0O_nitrile][C][S][=Branch][:0imidazole][:1sulfonic_acid][:1imidazole][Branch][:1carboxylic_acid][S][FrH0][=Ring1][SH2][Ring2][C][=C][C][S][SH2][:1carboxylic_acid][Ring1][FrH0][pop][:0imidazole][Ring1][:0nitrile][#N][#N][=Ring1][:1pyridine][Cl][Ring2][:4benzenediol][=Ring1][:3benzenediol][:2benzenealcohol][:2benzenealcohol][Ring2][Ring2][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][bnn],[:0O_nitrile][C][S][=Branch][:0imidazole][:1sulfonic_acid][:1imidazole][Branch][:1carboxylic_acid][S][FrH0][=Ring1][SH2][Ring2][C][=C][C][S][SH2][:1carboxylic_acid][Ring1][FrH0][pop][:0imidazole][Ring1][:0nitrile][#N][#N][=Ring1][:1pyridine][Cl][Ring2][:4benzenediol][=Ring1][:3benzenediol][:2benzenealcohol][:2benzenealcohol][Ring2][Ring2],N#CO[SH](c1ccc(O)cc1)c1ncc(N=N)n1-n1cc(S[SH2]C(=O)O[Fr])nc1C(=O)O[Fr],2.261269093,bnn_N383_226c86c8_opt,226c86c8
acs_N574_edge145442_opt,[F][O][C][Branch][C][Branch][FrH0][pop][Branch][F][pop][F][pop][Branch][C][=Branch][=C][C][Branch][O][FrH0][pop][Branch][Cl][pop][F][pop][F][pop][F][.][Fr][C][=C][C][=C][N][Branch1][Ring2][C][Ring1][=Branch1][Fe][Branch1][=C][N][C][Ring1][=Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][acs],[F][O][C][Branch][C][Branch][FrH0][pop][Branch][F][pop][F][pop][Branch][C][=Branch][=C][C][Branch][O][FrH0][pop][Branch][Cl][pop][F][pop][F][pop][F],2.715071678,[:0methyl][C][:0pyridine][:1sulfonic_acid][C][Branch][SH2][pop][:4benzenediol][Ring1][:0sulfonic_acid][Branch][:1sulfonic_acid][pop][Ring2][O][FrH0][pop][Ring1][Br][pop][pop][Ring2][Br][pop][Ring1][O][FrH0][pop][pop][:3pyrimidine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:4pyridine][=P][:0sulfonic_acid][:1pyridine][.][Fr][C][=C][C][=C][N][Branch1][Ring2][C][Ring1][=Branch1][Fe][Branch1][=C][N][C][Ring1][=Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][acs],[:0methyl][C][:0pyridine][:1sulfonic_acid][C][Branch][SH2][pop][:4benzenediol][Ring1][:0sulfonic_acid][Branch][:1sulfonic_acid][pop][Ring2][O][FrH0][pop][Ring1][Br][pop][pop][Ring2][Br][pop][Ring1][O][FrH0][pop][pop][:3pyrimidine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:3pyrimidine][:4pyridine][=P][:0sulfonic_acid][:1pyridine],CCc1nc(O[Fr])c(Br)cc1C([SH2])c1ccc(OBr)c([Fr])c1OOS(=O)S(=O)O,1.863043547,acs_N574_54085d7e_opt,54085d7e
sxb_N105_edge15331_opt,[:0nitrile][C][C][Branch][C][O][FrH0][pop][C][O][FrH0][pop][.][Fr][C][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][Ring2][Ring1][=Branch2][&&][sxb],[:0nitrile][C][C][Branch][C][O][FrH0][pop][C][O][FrH0][pop],5.351437569,[:1amide][C][S][Branch][:=0methyl_amine][:0pyridine][P][SH2][:0carboxylic_acid][Ring1][:2pyrimidine][Ring2][FrH0][pop][Ring1][Cl][pop][pop][:1alkyne][Ring2][FrH0][=C][Br][:0alkene][:1benzenediol][Cl][=Ring1][->][=Ring1][:0benzenediol][Ring2][:1benzenealcohol][.][Fr][C][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][Ring2][Ring1][=Branch2][&&][sxb],[:1amide][C][S][Branch][:=0methyl_amine][:0pyridine][P][SH2][:0carboxylic_acid][Ring1][:2pyrimidine][Ring2][FrH0][pop][Ring1][Cl][pop][pop][:1alkyne][Ring2][FrH0][=C][Br][:0alkene][:1benzenediol][Cl][=Ring1][->][=Ring1][:0benzenediol][Ring2][:1benzenealcohol],O=C(Br)N[SH]([Fr])NCP[SH2]OC(=O)c1cnc([Fr])nc1Cl,2.914834976,sxb_N105_2a6cee32_opt,2a6cee32
