seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash,seed_mof_name_opt
bnn_N254_edge131317,[:0methyl_amine][Ring1][C][Branch][C][Branch][FrH0][pop][P][pop][Branch][C][Branch][P][pop][P][pop][C][=C][C][Branch][FrH0][pop][Branch][P][pop][P][pop][.][Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][bnn],[:0methyl_amine][Ring1][C][Branch][C][Branch][FrH0][pop][P][pop][Branch][C][Branch][P][pop][P][pop][C][=C][C][Branch][FrH0][pop][Branch][P][pop][P][pop],4.648151875,[:0O_nitrile][C][SH2][:3benzenediol][:1pyridine][:2imidazole][SH2][SH2][:0imidazole][Ring1][:1carboxylic_acid][pop][Ring1][C][FrH0][pop][Ring1][Cl][pop][pop][Ring1][Cl][:0methyl][Ring2][Cl][pop][pop][Ring2][FrH0][=Ring1][Ring1][:1pyridine][=Branch][S][S][=Ring1][:3benzenediol][:3pyridine][:4benzenediol][.][Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][bnn],[:0O_nitrile][C][SH2][:3benzenediol][:1pyridine][:2imidazole][SH2][SH2][:0imidazole][Ring1][:1carboxylic_acid][pop][Ring1][C][FrH0][pop][Ring1][Cl][pop][pop][Ring1][Cl][:0methyl][Ring2][Cl][pop][pop][Ring2][FrH0][=Ring1][Ring1][:1pyridine][=Branch][S][S][=Ring1][:3benzenediol][:3pyridine][:4benzenediol],N#CO[SH2]c1cc(O)c([Fr])c(OS#Sc2cccnc2)c1-c1[nH]c(Cl)nc1[SH2]c1nc(Cl)c(C[Fr])n1C(=O)O,3.0354220867156982,bnn_N254_dc530843,dc530843,bnn_N254_edge131317_opt
pcu_N337_edge178287,[FrH0][C][C][=C][C][=C][Branch][C][=Branch][=C][=C][FrH0][pop][C][=C][Ring1][N][pop][S][C][.][O][=C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][O][C][Branch1][C][Fr][=O][&&][pcu],[FrH0][C][C][=C][C][=C][Branch][C][=Branch][=C][=C][FrH0][pop][C][=C][Ring1][N][pop][S][C],2.697829008,[FrH0][C][C][=C][C][=C][=N][C][SH2][SH2][=C][FrH0][:1sulfonic_acid][->][->][Ring2][=Ring1][:3imidazole][S][=Ring1][=Ring1][=Ring1][FrH0][Ring2][->][->][=C][:3pyridine][#C][=Ring1][:1benzenediol][:2imidazole][:2benzenealcohol][S][:1benzenediol][:0alkene][:0benzenealcohol][S][:4benzenediol][.][O][=C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Lu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch2][O][C][Branch1][C][Fr][=O][&&][pcu],[FrH0][C][C][=C][C][=C][=N][C][SH2][SH2][=C][FrH0][:1sulfonic_acid][->][->][Ring2][=Ring1][:3imidazole][S][=Ring1][=Ring1][=Ring1][FrH0][Ring2][->][->][=C][:3pyridine][#C][=Ring1][:1benzenediol][:2imidazole][:2benzenealcohol][S][:1benzenediol][:0alkene][:0benzenealcohol][S][:4benzenediol],[Fr]C=[SH2][SH2]CN=C=CC=CC[Fr],3.0059168338775635,pcu_N337_9ccbb371,9ccbb371,pcu_N337_edge178287_opt
cds_N127_edge82038,[S][C][C][=C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][.][O][Cd][Branch1][C][O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[S][C][C][=C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0],3.674664736,[:0O_nitrile][C][C][:4benzenediol][Ring1][:1pyrimidine][Branch][:1methyl_amine][Ring1][:0pyrimidine][Ring1][FrH0][pop][Ring1][:0amide][pop][pop][pop][Ring2][:3pyrimidine][Ring1][:3pyridine][Ring2][:0pyrimidine][pop][Ring1][FrH0][pop][pop][pop][pop][Ring1][:1imidazole][Ring1][:0nitrile][pop][pop][pop][.][O][Cd][Branch1][C][O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],[:0O_nitrile][C][C][:4benzenediol][Ring1][:1pyrimidine][Branch][:1methyl_amine][Ring1][:0pyrimidine][Ring1][FrH0][pop][Ring1][:0amide][pop][pop][pop][Ring2][:3pyrimidine][Ring1][:3pyridine][Ring2][:0pyrimidine][pop][Ring1][FrH0][pop][pop][pop][pop][Ring1][:1imidazole][Ring1][:0nitrile][pop][pop][pop],N#COCc1ccc(O)c(-n2cncc2C#N)c1Oc1nc(CNc2ncc(NC=O)c([Fr])n2)ncc1-c1ccnc(-c2cnc(-c3ncccn3)c([Fr])c2)n1,1.8859552145004272,cds_N127_9bce5db7,9bce5db7,cds_N127_edge82038_opt
bnn_N383_edge138386,[O][C][Branch][O][FrH0][pop][C][=C][C][Branch][C][O][FrH0][pop][C][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][bnn],[O][C][Branch][O][FrH0][pop][C][=C][C][Branch][C][O][FrH0][pop][C],3.89309907,[:0O_nitrile][C][S][=Branch][:0imidazole][:1sulfonic_acid][:1imidazole][Branch][:1carboxylic_acid][S][FrH0][=Ring1][SH2][Ring2][C][=C][C][S][SH2][:1carboxylic_acid][Ring1][FrH0][pop][:0imidazole][Ring1][:0nitrile][#N][#N][=Ring1][:1pyridine][Cl][Ring2][:4benzenediol][=Ring1][:3benzenediol][:2benzenealcohol][:2benzenealcohol][Ring2][Ring2][.][O][C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][&&][bnn],[:0O_nitrile][C][S][=Branch][:0imidazole][:1sulfonic_acid][:1imidazole][Branch][:1carboxylic_acid][S][FrH0][=Ring1][SH2][Ring2][C][=C][C][S][SH2][:1carboxylic_acid][Ring1][FrH0][pop][:0imidazole][Ring1][:0nitrile][#N][#N][=Ring1][:1pyridine][Cl][Ring2][:4benzenediol][=Ring1][:3benzenediol][:2benzenealcohol][:2benzenealcohol][Ring2][Ring2],N#CO[SH](c1ccc(O)cc1)c1ncc(N=N)n1-n1cc(S[SH2]C(=O)O[Fr])nc1C(=O)O[Fr],3.039700984954834,bnn_N383_226c86c8,226c86c8,bnn_N383_edge138386_opt
dmp_N628_edge150682,[N][C][Branch][C][Branch][C][FrH0][pop][C][=C][Branch][C][C][FrH0][pop][Br][pop][C][Br][.][Fr][C][=N][Nd][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][dmp],[N][C][Branch][C][Branch][C][FrH0][pop][C][=C][Branch][C][C][FrH0][pop][Br][pop][C][Br],3.853921652,[S][S][:1pyridine][Branch][:0imidazole][Ring1][:0imidazole][Ring1][:0imidazole][Ring1][=O][:0O_nitrile][pop][:1imidazole][:=1methyl_amine][Br][Br][#Branch][:0nitrile][:0sulfonic_acid][:4pyridine][Br][:0nitrile][Br][Ring2][N][Br][#N][:=0amide][Br][FrH0][Ring2][FrH0][:=0methyl_amine][:2imidazole][Cl][FrH0][O][Cl][.][Fr][C][=N][Nd][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][dmp],[S][S][:1pyridine][Branch][:0imidazole][Ring1][:0imidazole][Ring1][:0imidazole][Ring1][=O][:0O_nitrile][pop][:1imidazole][:=1methyl_amine][Br][Br][#Branch][:0nitrile][:0sulfonic_acid][:4pyridine][Br][:0nitrile][Br][Ring2][N][Br][#N][:=0amide][Br][FrH0][Ring2][FrH0][:=0methyl_amine][:2imidazole][Cl][FrH0][O][Cl],N#COOn1c(-n2c(-n3c(-c4c([Fr])ncn4Cl)cnc3-c3ccc(SS)cn3)nc(NBr)c2NC(=O)[Fr])nc(OS(=O)Br)c1CNBr,2.768351554870605,dmp_N628_fb9fae82,fb9fae82,dmp_N628_edge150682_opt
bnn_N35_edge212376,[FrH0][C][Branch][C][=C][C][Branch][C][C][:0methyl][pop][=C][C][Branch][:0methyl][pop][=C][Branch][C][Branch][FrH0][pop][Ring1][Branch][pop][:0methyl][pop][=Ring1][->][=Branch][.][Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][bnn],[FrH0][C][Branch][C][=C][C][Branch][C][C][:0methyl][pop][=C][C][Branch][:0methyl][pop][=C][Branch][C][Branch][FrH0][pop][Ring1][Branch][pop][:0methyl][pop][=Ring1][->][=Branch],2.890756845,[:0propyl][C][C][C][Branch][C][#Branch][C][FrH0][SH2][O][:4benzenediol][SH2][:1sulfonic_acid][pop][=Ring1][:0phosphoric_acid][:3pyrimidine][:0amide][Ring1][FrH0][:0phosphoric_acid][:0pyrimidine][=S][=S][:0sulfonic_acid][:0sulfonic_acid][.][Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][bnn],[:0propyl][C][C][C][Branch][C][#Branch][C][FrH0][SH2][O][:4benzenediol][SH2][:1sulfonic_acid][pop][=Ring1][:0phosphoric_acid][:3pyrimidine][:0amide][Ring1][FrH0][:0phosphoric_acid][:0pyrimidine][=S][=S][:0sulfonic_acid][:0sulfonic_acid],CCCCCC(C[Fr])[SH2]Oc1ccc(O)c(OP(=O)(ONC(=O)[Fr])O[SH]=[SH]O[SH]=O)c1OS(=O)O,2.3728673458099365,bnn_N35_4ef182f1,4ef182f1,bnn_N35_edge212376_opt
hex_N350_edge75151,[:0isocyanate][C][N][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][:0isocyanate][pop][FrH0][pop][.][Fr][C][O][Fe][O][C][Branch1][C][Fr][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Fe][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][N][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring2][Ring1][&&][hex],[:0isocyanate][C][N][N][N][C][Branch][N][=C][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][:0isocyanate][pop][FrH0][pop],2.724211693,[:0sulfonic_acid][Ring1][Ring1][=Branch][:0imidazole][Ring1][:0imidazole][pop][Ring1][FrH0][pop][pop][pop][Ring1][FrH0][pop][:0phosphoric_acid][:0O_nitrile][:0O_nitrile][=O][:0amide][:1benzenediol][:2pyridine][:1alkyne][:=0amide][:3benzenediol][:4benzenealcohol][=S][:1pyridine][:0pyrimidine][.][Fr][C][O][Fe][O][C][Branch1][C][Fr][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Fe][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Fe][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][N][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring2][Ring1][&&][hex],[:0sulfonic_acid][Ring1][Ring1][=Branch][:0imidazole][Ring1][:0imidazole][pop][Ring1][FrH0][pop][pop][pop][Ring1][FrH0][pop][:0phosphoric_acid][:0O_nitrile][:0O_nitrile][=O][:0amide][:1benzenediol][:2pyridine][:1alkyne][:=0amide][:3benzenediol][:4benzenealcohol][=S][:1pyridine][:0pyrimidine],O=S(O[Fr])c1ncc([Fr])n1-c1ncc[nH]1,3.4713988304138184,hex_N350_c70b5e51,c70b5e51,hex_N350_edge75151_opt
cds_N539_edge116131,[FrH0][C][Branch][C][Branch][C][Branch][C][S][pop][C][pop][C][C][C][FrH0][pop][C][.][Fr][C][O][Mn][Branch1][O][O][C][Branch1][C][Fr][O][Mn][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Mn][O][C][Branch1][C][Fr][O][Ring1][S][&&][cds],[FrH0][C][Branch][C][Branch][C][Branch][C][S][pop][C][pop][C][C][C][FrH0][pop][C],3.887368202,[:=0methyl_amine][C][=C][FrH0][=N][C][=C][SH2][=C][SH2][:1sulfonic_acid][:1sulfonic_acid][FrH0][:1sulfonic_acid][:1benzenealcohol][:0nitrile][SH2][:2pyrimidine][:1benzenealcohol][:1benzenealcohol][->][:4benzenediol][=Ring1][:1benzenealcohol][#C][:2pyrimidine][:4benzenealcohol][:1carboxylic_acid][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][=Ring1][S][.][Fr][C][O][Mn][Branch1][O][O][C][Branch1][C][Fr][O][Mn][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Mn][O][C][Branch1][C][Fr][O][Ring1][S][&&][cds],[:=0methyl_amine][C][=C][FrH0][=N][C][=C][SH2][=C][SH2][:1sulfonic_acid][:1sulfonic_acid][FrH0][:1sulfonic_acid][:1benzenealcohol][:0nitrile][SH2][:2pyrimidine][:1benzenealcohol][:1benzenealcohol][->][:4benzenediol][=Ring1][:1benzenealcohol][#C][:2pyrimidine][:4benzenealcohol][:1carboxylic_acid][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][:4benzenealcohol][=Ring1][S],O=S(O[Fr])[SH2]C=[SH2]C=CCN=C[Fr],4.029614448547363,cds_N539_bcd4a31b,bcd4a31b,cds_N539_edge116131_opt
qtz_N346_edge51707,[Cl][C][C][N][Branch][C][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Cl][pop][FrH0][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][qtz],[Cl][C][C][N][Branch][C][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Cl][pop][FrH0],4.664442539,[N][C][=Branch][SH2][#Branch][FrH0][:0imidazole][:0imidazole][Br][F][:0O_nitrile][:0amide][SH2][FrH0][pop][:0O_nitrile][Ring1][Ring1][:1sulfonic_acid][:=0amide][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][qtz],[N][C][=Branch][SH2][#Branch][FrH0][:0imidazole][:0imidazole][Br][F][:0O_nitrile][:0amide][SH2][FrH0][pop][:0O_nitrile][Ring1][Ring1][:1sulfonic_acid][:=0amide],N#COc1c([Fr])nc([SH2]([Fr])C=N)n1Br,3.7712910175323486,qtz_N346_e17fa8bd,e17fa8bd,qtz_N346_edge51707_opt
pcu_N493_edge135444,[O][C][Branch][N][Branch][C][Branch][FrH0][pop][Branch][O][pop][O][pop][O][pop][C][=N][C][=Branch][=C][Ring1][Ring2][pop][FrH0][.][Fr][C][O][Cd][Branch2][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Cd][Branch1][Branch1][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][pcu],[O][C][Branch][N][Branch][C][Branch][FrH0][pop][Branch][O][pop][O][pop][O][pop][C][=N][C][=Branch][=C][Ring1][Ring2][pop][FrH0],4.037792683,[:0O_nitrile][C][:1imidazole][Branch][FrH0][SH2][Branch][:1benzenediol][Branch][:4benzenediol][Ring1][:1carboxylic_acid][Ring1][FrH0][pop][pop][pop][pop][pop][:1benzenealcohol][.][Fr][C][O][Cd][Branch2][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Cd][Branch1][Branch1][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][pcu],[:0O_nitrile][C][:1imidazole][Branch][FrH0][SH2][Branch][:1benzenediol][Branch][:4benzenediol][Ring1][:1carboxylic_acid][Ring1][FrH0][pop][pop][pop][pop][pop][:1benzenealcohol],N#COn1c(Oc2ccc(-c3ccc(O)cc3OC(=O)O[Fr])c(O)c2)cnc1[Fr],3.473006487,pcu_N493_0ea4543d,0ea4543d,pcu_N493_edge135444_opt
