seed_mof_name,seed_mof_string,seed_edge_selfies,seed_target,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_target,dreamed_mof_name,linker_hash
nbo_N486_edge27363,[:0sulfonic_acid][Ring1][C][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][Ring2][pop][Branch][:1sulfonic_acid][pop][:1sulfonic_acid][pop][FrH0][pop][.][Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Cd][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Cd][Ring1][O][Branch1][=N][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][N][N][Branch1][=Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][Cd][Branch1][=C][N][N][=C][Branch1][C][Fr][N][N][Ring2][Ring1][Ring2][Ring1][=Branch1][N][N][Ring2][Ring1][=Branch1][N][=C][Branch1][C][Fr][N][Ring1][=Branch1][&&][nbo],[:0sulfonic_acid][Ring1][C][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][Ring2][pop][Branch][:1sulfonic_acid][pop][:1sulfonic_acid][pop][FrH0][pop],2554.9,[FrH0][:1alkyne][Ring1][:0methyl_amine][Ring1][:1alkyne][Ring1][:0benzenediol][#Branch][:1pyridine][pop][Ring2][:5benzenediol][C][=C][FrH0][:#1methyl_amine][Ring1][:1alkyne][:1methyl_amine][pop][pop][pop][:0benzenediol][:0benzenediol][:3pyridine][:1benzenediol][:1benzenediol][.][Fr][C][=N][N][N][Branch1][Ring2][N][Ring1][Branch1][Cd][N][N][=C][Branch1][C][Fr][N][N][Ring1][=Branch1][Cd][Ring1][O][Branch1][=N][N][N][Ring1][#Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][N][N][Branch1][=Branch2][N][C][Branch1][C][Fr][=N][Ring1][=Branch1][Cd][Branch1][=C][N][N][=C][Branch1][C][Fr][N][N][Ring2][Ring1][Ring2][Ring1][=Branch1][N][N][Ring2][Ring1][=Branch1][N][=C][Branch1][C][Fr][N][Ring1][=Branch1][&&][nbo],[FrH0][:1alkyne][Ring1][:0methyl_amine][Ring1][:1alkyne][Ring1][:0benzenediol][#Branch][:1pyridine][pop][Ring2][:5benzenediol][C][=C][FrH0][:#1methyl_amine][Ring1][:1alkyne][:1methyl_amine][pop][pop][pop][:0benzenediol][:0benzenediol][:3pyridine][:1benzenediol][:1benzenediol],Oc1cccc(OOc2cccc(Oc3cccnc3)c2C#CCNC#C[Fr])c1C[Fr],5851.82,nbo_N486_4319dbc6,4319dbc6
cag_N178_edge122328,[Cl][N][=C][S][C][Branch][C][=Branch][=C][C][Branch][FrH0][pop][Branch][Cl][pop][Ring1][=Branch][pop][Cl][pop][FrH0][.][Fr][C][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][S][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring1][#C][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][cag],[Cl][N][=C][S][C][Branch][C][=Branch][=C][C][Branch][FrH0][pop][Branch][Cl][pop][Ring1][=Branch][pop][Cl][pop][FrH0],2981.75279,[:0methyl][C][:3benzenediol][Ring2][S][:3benzenealcohol][#Branch][:1alkyne][Ring1][FrH0][pop][pop][pop][Ring1][:4pyridine][pop][Ring2][:4benzenediol][Ring1][:4benzenealcohol][Ring1][FrH0][pop][:0propyl][:0benzenediol][:3pyridine][:0propyl][:3imidazole][:3pyrimidine][C][=N][:2benzenealcohol][:0methyl][.][Fr][C][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][S][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring1][#C][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][cag],[:0methyl][C][:3benzenediol][Ring2][S][:3benzenealcohol][#Branch][:1alkyne][Ring1][FrH0][pop][pop][pop][Ring1][:4pyridine][pop][Ring2][:4benzenediol][Ring1][:4benzenealcohol][Ring1][FrH0][pop][:0propyl][:0benzenediol][:3pyridine][:0propyl][:3imidazole][:3pyrimidine][C][=N][:2benzenealcohol][:0methyl],CCCOc1c(C=Nc2ccc(O)cc2)ccc(O)c1-c1cccc(Oc2cc(O)ccc2-c2c(CC)cc(OSc3cc(O)ccc3C#C[Fr])c(-c3ccccn3)c2O)c1O[Fr],3860.89,cag_N178_0b66fd2a,0b66fd2a
sra_N133_edge45872,[Cl][C][C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Cl][pop][Branch][Cl][pop][Cl][pop][Branch][FrH0][pop][Cl][pop][Cl][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][sra],[Cl][C][C][Branch][C][Branch][C][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Cl][pop][Branch][Cl][pop][Cl][pop][Branch][FrH0][pop][Cl][pop][Cl],2448.9,[O][C][=Branch][=C][Branch][C][O][:0benzenediol][Ring1][O][FrH0][pop][pop][C][:3pyrimidine][pop][C][:=1methyl_amine][N][FrH0][pop][=C][:0methyl][:3pyrimidine][:1alkyne][:0benzenediol][pop][Ring1][Ring1][.][O][=C][Branch1][C][Fr][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][sra],[O][C][=Branch][=C][Branch][C][O][:0benzenediol][Ring1][O][FrH0][pop][pop][C][:3pyrimidine][pop][C][:=1methyl_amine][N][FrH0][pop][=C][:0methyl][:3pyrimidine][:1alkyne][:0benzenediol][pop][Ring1][Ring1],OC(C=CN[Fr])=C(COc1c(O)cccc1OO[Fr])Cc1ccncn1,5097.92,sra_N133_75641db4,75641db4
qtz_N68_edge56169,[:0methyl_amine][Ring1][C][C][C][Branch][C][Branch][S][C][Branch][:1methyl_amine][pop][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][:1methyl_amine][pop][FrH0][pop][:1methyl_amine][pop][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][qtz],[:0methyl_amine][Ring1][C][C][C][Branch][C][Branch][S][C][Branch][:1methyl_amine][pop][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][:1methyl_amine][pop][FrH0][pop][:1methyl_amine][pop],2533.59,[FrH0][C][C][Branch][C][C][:1methyl_amine][Ring1][C][O][FrH0][pop][pop][:1methyl_amine][Ring1][:3imidazole][pop][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][qtz],[FrH0][C][C][Branch][C][C][:1methyl_amine][Ring1][C][O][FrH0][pop][pop][:1methyl_amine][Ring1][:3imidazole][pop],[Fr]CC(CCCNCO[Fr])CNc1c[nH]cn1,5354.75,qtz_N68_2f34cc84,2f34cc84
bnn_N206_edge149502,[FrH0][C][Branch][N][N][C][=Branch][=S][C][Branch][:0methyl][pop][Branch][:0methyl][pop][Ring1][=Branch][pop][FrH0][pop][:0methyl][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][bnn],[FrH0][C][Branch][N][N][C][=Branch][=S][C][Branch][:0methyl][pop][Branch][:0methyl][pop][Ring1][=Branch][pop][FrH0][pop][:0methyl],1937.23,[FrH0][:1pyrimidine][:3pyrimidine][:0methyl][=C][C][=Branch][=S][C][=Ring1][:0methyl][N][:3benzenealcohol][:0methyl][:3pyrimidine][:0pyridine][:0benzenediol][:4benzenediol][:0pyrimidine][pop][:0methyl][:2imidazole][:1imidazole][FrH0][=P][pop][:3pyridine][:5benzenediol][:3imidazole][#Branch][#Branch][:0alkene][=P][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0nitrile][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][bnn],[FrH0][:1pyrimidine][:3pyrimidine][:0methyl][=C][C][=Branch][=S][C][=Ring1][:0methyl][N][:3benzenealcohol][:0methyl][:3pyrimidine][:0pyridine][:0benzenediol][:4benzenediol][:0pyrimidine][pop][:0methyl][:2imidazole][:1imidazole][FrH0][=P][pop][:3pyridine][:5benzenediol][:3imidazole][#Branch][#Branch][:0alkene][=P][:0benzenealcohol][:0benzenealcohol][:0benzenealcohol][:0nitrile],CCc1c([Fr])ncnc1S#CNc1cccc(O)c1-c1ccnc(-c2c(O)ccc(-c3c([Fr])ncn3Oc3cccc(Oc4c(O)cccc4C#N)c3C=O)c2Oc2ncccn2)n1,2911.46,bnn_N206_f018c572,f018c572
pcu_N533_edge124624,[Br][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][Br][pop][O][C][FrH0][.][Fr][C][=C][C][Branch1][C][Fr][O][Fe][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][Branch2][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][#C][O][Ring2][Ring1][Branch1][&&][pcu],[Br][C][=C][C][Branch][C][=Branch][=C][Branch][FrH0][pop][Ring1][Branch][pop][Br][pop][O][C][FrH0],2355.41,[C][:1pyrimidine][Branch][C][=C][:4benzenediol][Ring1][FrH0][:3imidazole][Ring1][:4benzenealcohol][pop][pop][Ring2][:1alkyne][pop][Ring1][:1alkyne][:1sulfonic_acid][FrH0][:5benzenediol][pop][:5benzenediol][:3pyridine][:2benzenediol][:3pyrimidine][:3imidazole][.][Fr][C][=C][C][Branch1][C][Fr][O][Fe][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][Branch2][Branch1][=C][O][C][Branch1][C][Fr][=C][C][Branch1][C][Fr][O][Ring1][#C][O][Ring2][Ring1][Branch1][&&][pcu],[C][:1pyrimidine][Branch][C][=C][:4benzenediol][Ring1][FrH0][:3imidazole][Ring1][:4benzenealcohol][pop][pop][Ring2][:1alkyne][pop][Ring1][:1alkyne][:1sulfonic_acid][FrH0][:5benzenediol][pop][:5benzenediol][:3pyridine][:2benzenediol][:3pyrimidine][:3imidazole],C#Cc1c(C)nc(C=C2c3ccc(O)c2c3O[Fr])nc1C#C[Fr],3138.12,pcu_N533_fb76af93,fb76af93
sxb_N265_edge4527,[:0methyl_amine][Ring1][C][=C][Branch][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][:1methyl_amine][pop][:1methyl_amine][pop][C][=C][C][N][Branch][C][Ring1][Branch][pop][FrH0][pop][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch2][Ring1][O][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][#Branch2][&&][sxb],[:0methyl_amine][Ring1][C][=C][Branch][C][Branch][N][=C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][:1methyl_amine][pop][:1methyl_amine][pop][C][=C][C][N][Branch][C][Ring1][Branch][pop][FrH0][pop],2350.84,[:0alkene][C][=C][Branch][C][=C][:1alkyne][Ring1][N][FrH0][pop][pop][:=0amide][Ring1][C][Branch][:0benzenealcohol][:0benzenediol][FrH0][pop][:1pyridine][:3imidazole][:0methyl][=N][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch2][Ring1][O][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][#Branch2][&&][sxb],[:0alkene][C][=C][Branch][C][=C][:1alkyne][Ring1][N][FrH0][pop][pop][:=0amide][Ring1][C][Branch][:0benzenealcohol][:0benzenediol][FrH0][pop][:1pyridine][:3imidazole][:0methyl][=N],Nc1nc(-c2ccc(O)c(CC(=O)NC(=C=O)C=CC#CN[Fr])c2[Fr])c[nH]1,3683.84,sxb_N265_40a18d15,40a18d15
unc_N304_edge118278,[:0isocyanate][C][S][S][C][N][C][Branch][N][:0methyl_amine][Ring1][N][Branch][FrH0][pop][Ring1][=Branch][pop][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],[:0isocyanate][C][S][S][C][N][C][Branch][N][:0methyl_amine][Ring1][N][Branch][FrH0][pop][Ring1][=Branch][pop][pop][FrH0][pop],2380.17,[:3imidazole][:1alkyne][Ring1][:0benzenediol][Ring1][FrH0][pop][Ring2][O][C][:0pyrimidine][Ring1][:0isocyanate][:0amide][Ring1][FrH0][pop][pop][pop][.][O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],[:3imidazole][:1alkyne][Ring1][:0benzenediol][Ring1][FrH0][pop][Ring2][O][C][:0pyrimidine][Ring1][:0isocyanate][:0amide][Ring1][FrH0][pop][pop][pop],O=C=Nc1nc(COc2cn([Fr])cn2)ncc1[Fr],5525.76,unc_N304_85940001,85940001
reo_N545_edge183434,[FrH0][:4benzenealcohol][Ring1][C][pop][=Branch][C][=C][Branch][C][Branch][O][C][pop][=C][Branch][FrH0][pop][Ring1][=C][pop][O][C][pop][.][Fr][C][O][Cu][Cu][Branch2][Branch1][Ring2][N][C][=C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring2][C][Branch1][Branch1][O][Ring2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring2][#Branch1][&&][reo],[FrH0][:4benzenealcohol][Ring1][C][pop][=Branch][C][=C][Branch][C][Branch][O][C][pop][=C][Branch][FrH0][pop][Ring1][=C][pop][O][C][pop],3001.597,[:0methyl][C][:1pyridine][=C][Branch][FrH0][pop][:2benzenealcohol][Branch][#N][pop][=Branch][C][:0benzenediol][Ring1][:1pyridine][=Branch][:1methyl_amine][Ring1][FrH0][pop][pop][pop][pop][Ring1][P][:3imidazole][pop][pop][:0benzenediol][:1alkyne][:=0methyl_amine][:0propyl][:1pyrimidine][:4benzenealcohol][:3imidazole][:1benzenediol][:1alkyne][:2benzenediol][.][Fr][C][O][Cu][Cu][Branch2][Branch1][Ring2][N][C][=C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring2][C][Branch1][Branch1][O][Ring2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring2][#Branch1][&&][reo],[:0methyl][C][:1pyridine][=C][Branch][FrH0][pop][:2benzenealcohol][Branch][#N][pop][=Branch][C][:0benzenediol][Ring1][:1pyridine][=Branch][:1methyl_amine][Ring1][FrH0][pop][pop][pop][pop][Ring1][P][:3imidazole][pop][pop][:0benzenediol][:1alkyne][:=0methyl_amine][:0propyl][:1pyrimidine][:4benzenealcohol][:3imidazole][:1benzenediol][:1alkyne][:2benzenediol],CCc1c([Fr])nc(Pc2c[nH]cn2)c(Cc2c(O)cccc2Oc2cccnc2CN[Fr])c1N,3676.45,reo_N545_f8f4655f,f8f4655f
reo_N262_edge206242,[Br][C][=C][Branch][C][C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][Branch][pop][=C][Ring1][N][pop][C][O][FrH0][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][reo],[Br][C][=C][Branch][C][C][Branch][C][=C][C][Branch][FrH0][pop][Ring1][Branch][pop][=C][Ring1][N][pop][C][O][FrH0],2191.59,[:1benzenediol][=C][:0methyl_amine][:2pyrimidine][=C][C][FrH0][pop][:0imidazole][Ring1][C][FrH0][pop][:0methyl][:3imidazole][:1benzenediol][SH2][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][reo],[:1benzenediol][=C][:0methyl_amine][:2pyrimidine][=C][C][FrH0][pop][:0imidazole][Ring1][C][FrH0][pop][:0methyl][:3imidazole][:1benzenediol][SH2],Oc1cc(NC=CC[Fr])c(C[Fr])c(Oc2c[nH]c([SH2])n2)c1,2595.63,reo_N262_86c38fbd,86c38fbd
