MOFname,totalPOV_VF,edge_group_selfie,node_selfie,topo,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens
crb_N68_edge54441,0.682,[:0alkene][C][C][N][N][Branch][N][C][Branch][C][Branch][FrH0][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop],[Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C],crb,"[7, 61, 61, 65, 65, 60, 65, 61, 60, 61, 60, 64, 72, 68, 51, 72, 7, 72, 64, 72]",20,[Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][crb],"[34, 45, 22, 45, 20, 20, 22, 7, 54, 20, 26, 20, 48, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 48, 48, 22, 20, 22, 34, 48, 54, 3, 4, 73]",43,[:0alkene][C][C][N][N][Branch][N][C][Branch][C][Branch][FrH0][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][O][C][Branch1][C][Fr][O][Ring1][#C][&&][crb],"[11, 75, 75, 101, 101, 74, 101, 75, 74, 75, 74, 89, 148, 110, 57, 148, 11, 148, 89, 148, 8, 90, 101, 75, 101, 72, 72, 75, 58, 110, 72, 80, 72, 104, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 104, 104, 75, 72, 75, 90, 104, 110, 4, 6, 130]",65
qtz_N192_edge36766,0.7565,[Br][N][C][Branch][N][N][C][Branch][FrH0][pop][Branch][Br][pop][Ring1][Branch][pop][Branch][FrH0][pop][Br],[Fr][C][O][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch2][Branch1][O][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][N][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1],qtz,"[59, 65, 61, 60, 65, 65, 61, 60, 64, 72, 60, 59, 72, 68, 60, 72, 60, 64, 72, 59]",20,[Fr][C][O][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch2][Branch1][O][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][N][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][qtz],"[34, 22, 48, 47, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 21, 20, 48, 48, 22, 20, 22, 34, 48, 47, 20, 6, 48, 22, 20, 22, 34, 48, 54, 49, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 45, 20, 45, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 48, 55, 55, 5, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 4, 91]",91,[Br][N][C][Branch][N][N][C][Branch][FrH0][pop][Branch][Br][pop][Ring1][Branch][pop][Branch][FrH0][pop][Br][.][Fr][C][O][Ni][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch2][Branch1][O][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][N][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][qtz],"[71, 101, 75, 74, 101, 101, 75, 74, 89, 148, 74, 71, 148, 110, 74, 148, 74, 89, 148, 71, 8, 90, 75, 104, 103, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 73, 72, 104, 104, 75, 72, 75, 90, 104, 103, 72, 56, 104, 75, 72, 75, 90, 104, 110, 105, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 101, 72, 101, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 104, 111, 111, 55, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 6, 149]",113
pcu_N691_edge182609,0.399,[FrH0][C][Branch][C][=C][Branch][C][Branch][C][S][C][=Branch][=C][Branch][C][:0methyl][pop][:0methyl][pop][FrH0][pop][=Ring1][->][=Branch][pop][:0methyl][pop][=Ring1][->][Branch],[O][=C][Branch1][C][Fr][O][Tb][O][C][Branch1][C][Fr][O][Tb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1],pcu,"[64, 61, 60, 61, 52, 60, 61, 60, 61, 71, 61, 51, 52, 60, 61, 15, 72, 15, 72, 64, 72, 56, 4, 51, 72, 15, 72, 56, 4, 60]",30,[O][=C][Branch1][C][Fr][O][Tb][O][C][Branch1][C][Fr][O][Tb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],"[48, 7, 20, 22, 34, 48, 60, 48, 22, 20, 22, 34, 48, 60, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 22, 48, 22, 20, 22, 34, 48, 55, 54, 5, 4, 90]",56,[FrH0][C][Branch][C][=C][Branch][C][Branch][C][S][C][=Branch][=C][Branch][C][:0methyl][pop][:0methyl][pop][FrH0][pop][=Ring1][->][=Branch][pop][:0methyl][pop][=Ring1][->][Branch][.][O][=C][Branch1][C][Fr][O][Tb][O][C][Branch1][C][Fr][O][Tb][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][pcu],"[89, 75, 74, 75, 58, 74, 75, 74, 75, 113, 75, 57, 58, 74, 75, 19, 148, 19, 148, 89, 148, 62, 7, 57, 148, 19, 148, 62, 7, 74, 8, 104, 58, 72, 75, 90, 104, 117, 104, 75, 72, 75, 90, 104, 117, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 75, 104, 75, 72, 75, 90, 104, 111, 110, 55, 6, 147]",88
rob_N173_edge199095,0.142,[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][C][C][=Branch][=C][Branch][C][=Branch][=C][Ring1][N][Ring1][=Branch][pop][:1methyl_amine][pop][:1methyl_amine][pop][FrH0][pop][FrH0][pop],[Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1],rob,"[16, 68, 61, 52, 61, 51, 52, 61, 61, 51, 52, 60, 61, 51, 52, 68, 65, 68, 51, 72, 29, 72, 29, 72, 64, 72, 64, 72]",28,[Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][rob],"[34, 22, 48, 35, 20, 55, 48, 54, 55, 48, 22, 20, 22, 34, 48, 35, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 54, 48, 22, 20, 22, 34, 48, 55, 54, 1, 4, 94]",58,[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][C][C][=Branch][=C][Branch][C][=Branch][=C][Ring1][N][Ring1][=Branch][pop][:1methyl_amine][pop][:1methyl_amine][pop][FrH0][pop][FrH0][pop][.][Fr][C][O][Gd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][C][Branch1][C][Fr][O][Ring2][Ring1][#Branch1][&&][rob],"[20, 110, 75, 58, 75, 57, 58, 75, 75, 57, 58, 74, 75, 57, 58, 110, 101, 110, 57, 148, 33, 148, 33, 148, 89, 148, 89, 148, 8, 90, 75, 104, 91, 72, 111, 104, 110, 111, 104, 75, 72, 75, 90, 104, 91, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 110, 104, 75, 72, 75, 90, 104, 111, 110, 1, 6, 152]",88
pcu_N489_edge55492,0.5015,[FrH0][C][C][N][Branch][N][Branch][FrH0][pop][N][Branch][O][C][pop][S][Ring1][N][pop][O][C],[Fr][C][C][=C][C][N][Branch1][Ring2][C][=Ring1][=Branch1][Cu][Branch1][=C][N][C][=Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C],pcu,"[64, 61, 61, 65, 60, 65, 60, 64, 72, 65, 60, 66, 61, 72, 71, 68, 65, 72, 66, 61]",20,[Fr][C][C][=C][C][N][Branch1][Ring2][C][=Ring1][=Branch1][Cu][Branch1][=C][N][C][=Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][pcu],"[34, 22, 22, 7, 22, 45, 20, 55, 22, 11, 5, 28, 20, 7, 45, 22, 11, 5, 22, 7, 22, 20, 22, 34, 7, 54, 1, 21, 54, 48, 45, 22, 20, 2, 22, 7, 22, 20, 22, 34, 7, 54, 1, 7, 45, 54, 49, 22, 7, 20, 22, 34, 22, 7, 54, 1, 45, 22, 20, 3, 22, 45, 55, 54, 2, 22, 22, 20, 22, 34, 7, 22, 11, 1, 7, 22, 22, 20, 22, 34, 7, 54, 7, 4, 90]",85,[FrH0][C][C][N][Branch][N][Branch][FrH0][pop][N][Branch][O][C][pop][S][Ring1][N][pop][O][C][.][Fr][C][C][=C][C][N][Branch1][Ring2][C][=Ring1][=Branch1][Cu][Branch1][=C][N][C][=Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch2][Ring1][O][N][C][Branch1][#Branch2][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][=C][N][Ring1][P][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][Branch1][#C][C][N][Ring2][Ring1][#Branch2][C][C][Branch1][C][Fr][=C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][pcu],"[89, 75, 75, 101, 74, 101, 74, 89, 148, 101, 74, 104, 75, 148, 113, 110, 101, 148, 104, 75, 8, 90, 75, 75, 58, 75, 101, 72, 111, 75, 62, 55, 82, 72, 58, 101, 75, 62, 55, 75, 58, 75, 72, 75, 90, 58, 110, 1, 73, 110, 104, 101, 75, 72, 2, 75, 58, 75, 72, 75, 90, 58, 110, 1, 58, 101, 110, 105, 75, 58, 72, 75, 90, 75, 58, 110, 1, 101, 75, 72, 4, 75, 101, 111, 110, 2, 75, 75, 72, 75, 90, 58, 75, 62, 1, 58, 75, 75, 72, 75, 90, 58, 110, 58, 6, 147]",107
cds_N153_edge62150,0.4515,[FrH0][N][C][Branch][N][Branch][C][pop][N][C][Branch][FrH0][pop][C][Ring1][O][pop][C],[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P],cds,"[64, 65, 61, 60, 65, 60, 61, 72, 65, 61, 60, 64, 72, 61, 68, 66, 72, 61]",18,[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],"[34, 22, 48, 65, 48, 22, 20, 22, 34, 48, 65, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 48, 54, 49, 4, 72]",38,[FrH0][N][C][Branch][N][Branch][C][pop][N][C][Branch][FrH0][pop][C][Ring1][O][pop][C][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],"[89, 101, 75, 74, 101, 74, 75, 148, 101, 75, 74, 89, 148, 75, 110, 104, 148, 75, 8, 90, 75, 104, 122, 104, 75, 72, 75, 90, 104, 122, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 104, 110, 105, 6, 129]",58
pcu_N35_edge76181,0.1945,[FrH0][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][pop][S][C][pop][=Ring1][->][O],[Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P],pcu,"[64, 61, 60, 61, 52, 60, 61, 60, 71, 61, 72, 60, 64, 72, 61, 72, 71, 61, 72, 56, 4, 66]",22,[Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][pcu],"[34, 22, 48, 26, 48, 22, 20, 22, 34, 48, 26, 21, 20, 55, 48, 22, 20, 22, 34, 48, 26, 21, 54, 49, 48, 22, 20, 22, 34, 48, 26, 20, 20, 48, 55, 54, 54, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 20, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 21, 48, 22, 20, 22, 34, 48, 55, 54, 49, 4, 90]",76,[FrH0][C][Branch][C][=C][Branch][C][Branch][S][C][pop][Branch][FrH0][pop][C][pop][S][C][pop][=Ring1][->][O][.][Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][pcu],"[89, 75, 74, 75, 58, 74, 75, 74, 113, 75, 148, 74, 89, 148, 75, 148, 113, 75, 148, 62, 7, 104, 8, 90, 75, 104, 80, 104, 75, 72, 75, 90, 104, 80, 73, 72, 111, 104, 75, 72, 75, 90, 104, 80, 73, 110, 105, 104, 75, 72, 75, 90, 104, 80, 72, 72, 104, 111, 110, 110, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 72, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 73, 104, 75, 72, 75, 90, 104, 111, 110, 105, 6, 147]",100
unc_N304_edge76266,0.6695,[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][Branch][C][Branch][:1methyl_amine][pop][Branch][FrH0][pop][Ring1][Branch][pop][:1methyl_amine][pop][FrH0][pop],[O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O],unc,"[16, 68, 61, 52, 61, 51, 52, 60, 61, 60, 29, 72, 60, 64, 72, 68, 60, 72, 29, 72, 64, 72]",22,[O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],"[48, 7, 20, 22, 34, 48, 64, 20, 1, 48, 22, 20, 22, 34, 9, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 9, 4, 100]",31,[:0methyl_amine][Ring1][C][=C][C][=Branch][=C][Branch][C][Branch][:1methyl_amine][pop][Branch][FrH0][pop][Ring1][Branch][pop][:1methyl_amine][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Yb][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],"[20, 110, 75, 58, 75, 57, 58, 74, 75, 74, 33, 148, 74, 89, 148, 110, 74, 148, 33, 148, 89, 148, 8, 104, 58, 72, 75, 90, 104, 121, 72, 1, 104, 75, 72, 75, 90, 60, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 60, 6, 158]",55
cds_N409_edge116973,0.568,[FrH0][C][C][=C][C][Branch][C][FrH0][pop][C][Branch][S][:0methyl][pop][:0propyl],[Fr][C][O][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P],cds,"[64, 61, 61, 52, 61, 60, 61, 64, 72, 61, 60, 71, 15, 72, 19]",15,[Fr][C][O][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],"[34, 22, 48, 28, 28, 20, 6, 48, 22, 20, 22, 34, 48, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 48, 54, 49, 4, 72]",40,[FrH0][C][C][=C][C][Branch][C][FrH0][pop][C][Branch][S][:0methyl][pop][:0propyl][.][Fr][C][O][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][cds],"[89, 75, 75, 58, 75, 74, 75, 89, 148, 75, 74, 113, 19, 148, 23, 8, 90, 75, 104, 82, 82, 72, 56, 104, 75, 72, 75, 90, 104, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 104, 110, 105, 6, 129]",57
sxb_N560_edge215337,0.514,[O][O][C][=C][C][=Branch][=C][Branch][:4benzenediol][Ring1][O][pop][Ring2][O][pop][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][FrH0],[O][=C][Branch1][C][Fr][O][Zn][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1],sxb,"[66, 66, 61, 52, 61, 51, 52, 60, 44, 68, 66, 72, 69, 66, 72, 68, 64, 72, 72, 68, 69, 72, 64]",23,[O][=C][Branch1][C][Fr][O][Zn][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][sxb],"[48, 7, 20, 22, 34, 48, 65, 21, 55, 55, 48, 22, 20, 22, 34, 48, 65, 20, 1, 48, 22, 20, 22, 34, 9, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 4, 98]",57,[O][O][C][=C][C][=Branch][=C][Branch][:4benzenediol][Ring1][O][pop][Ring2][O][pop][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Ring2][Ring2][O][C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][sxb],"[104, 104, 75, 58, 75, 57, 58, 74, 48, 110, 104, 148, 111, 104, 148, 110, 89, 148, 148, 110, 111, 148, 89, 8, 104, 58, 72, 75, 90, 104, 122, 73, 111, 111, 104, 75, 72, 75, 90, 104, 122, 72, 1, 104, 75, 72, 75, 90, 60, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 6, 156]",82
