MOFname,bandgap,edge_group_selfie,node_selfie,topo,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens
nbo_N448_edge108487,4.54156971,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0],[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O],nbo,"[65, 61, 60, 61, 52, 60, 61, 60, 61, 60, 66, 72, 60, 65, 72, 65, 72, 66, 64, 72, 65, 72, 52, 64]",24,[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[48, 7, 20, 22, 34, 48, 62, 20, 1, 48, 22, 20, 22, 34, 9, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 9, 4, 88]",31,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0][.][O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[101, 75, 74, 75, 58, 74, 75, 74, 75, 74, 104, 148, 74, 101, 148, 101, 148, 104, 89, 148, 101, 148, 58, 89, 8, 104, 58, 72, 75, 90, 104, 119, 72, 1, 104, 75, 72, 75, 90, 60, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 60, 6, 145]",57
nbo_N448_edge108487,4.54156971,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0],[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O],nbo,"[65, 61, 60, 61, 52, 60, 61, 60, 61, 60, 66, 72, 60, 65, 72, 65, 72, 66, 64, 72, 65, 72, 52, 64]",24,[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[48, 7, 20, 22, 34, 48, 62, 20, 1, 48, 22, 20, 22, 34, 9, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 9, 4, 88]",31,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0][.][O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[101, 75, 74, 75, 58, 74, 75, 74, 75, 74, 104, 148, 74, 101, 148, 101, 148, 104, 89, 148, 101, 148, 58, 89, 8, 104, 58, 72, 75, 90, 104, 119, 72, 1, 104, 75, 72, 75, 90, 60, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 60, 6, 145]",57
nbo_N448_edge108487,4.54156971,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0],[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O],nbo,"[65, 61, 60, 61, 52, 60, 61, 60, 61, 60, 66, 72, 60, 65, 72, 65, 72, 66, 64, 72, 65, 72, 52, 64]",24,[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[48, 7, 20, 22, 34, 48, 62, 20, 1, 48, 22, 20, 22, 34, 9, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 9, 4, 88]",31,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0][.][O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[101, 75, 74, 75, 58, 74, 75, 74, 75, 74, 104, 148, 74, 101, 148, 101, 148, 104, 89, 148, 101, 148, 58, 89, 8, 104, 58, 72, 75, 90, 104, 119, 72, 1, 104, 75, 72, 75, 90, 60, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 60, 6, 145]",57
nbo_N448_edge108487,4.54156971,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0],[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O],nbo,"[65, 61, 60, 61, 52, 60, 61, 60, 61, 60, 66, 72, 60, 65, 72, 65, 72, 66, 64, 72, 65, 72, 52, 64]",24,[O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[48, 7, 20, 22, 34, 48, 62, 20, 1, 48, 22, 20, 22, 34, 9, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 9, 4, 88]",31,[N][C][Branch][C][=C][Branch][C][Branch][C][Branch][O][pop][Branch][N][pop][N][pop][O][FrH0][pop][N][pop][=C][FrH0][.][O][=C][Branch1][C][Fr][O][U][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][nbo],"[101, 75, 74, 75, 58, 74, 75, 74, 75, 74, 104, 148, 74, 101, 148, 101, 148, 104, 89, 148, 101, 148, 58, 89, 8, 104, 58, 72, 75, 90, 104, 119, 72, 1, 104, 75, 72, 75, 90, 60, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 60, 6, 145]",57
sra_N267_edge106850,5.080718994,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C],[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C],sra,"[64, 61, 51, 52, 60, 61, 60, 65, 60, 61, 60, 66, 64, 72, 60, 66, 72, 61, 72, 61, 72, 60, 61, 72, 61, 72, 61, 72, 61]",29,[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[48, 7, 20, 22, 34, 48, 65, 20, 1, 48, 22, 20, 22, 34, 9, 20, 49, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 4, 96]",51,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[89, 75, 57, 58, 74, 75, 74, 101, 74, 75, 74, 104, 89, 148, 74, 104, 148, 75, 148, 75, 148, 74, 75, 148, 75, 148, 75, 148, 75, 8, 104, 58, 72, 75, 90, 104, 122, 72, 1, 104, 75, 72, 75, 90, 60, 72, 105, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 6, 154]",82
sra_N267_edge106850,5.080718994,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C],[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C],sra,"[64, 61, 51, 52, 60, 61, 60, 65, 60, 61, 60, 66, 64, 72, 60, 66, 72, 61, 72, 61, 72, 60, 61, 72, 61, 72, 61, 72, 61]",29,[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[48, 7, 20, 22, 34, 48, 65, 20, 1, 48, 22, 20, 22, 34, 9, 20, 49, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 4, 96]",51,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[89, 75, 57, 58, 74, 75, 74, 101, 74, 75, 74, 104, 89, 148, 74, 104, 148, 75, 148, 75, 148, 74, 75, 148, 75, 148, 75, 148, 75, 8, 104, 58, 72, 75, 90, 104, 122, 72, 1, 104, 75, 72, 75, 90, 60, 72, 105, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 6, 154]",82
sra_N267_edge106850,5.080718994,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C],[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C],sra,"[64, 61, 51, 52, 60, 61, 60, 65, 60, 61, 60, 66, 64, 72, 60, 66, 72, 61, 72, 61, 72, 60, 61, 72, 61, 72, 61, 72, 61]",29,[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[48, 7, 20, 22, 34, 48, 65, 20, 1, 48, 22, 20, 22, 34, 9, 20, 49, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 4, 96]",51,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[89, 75, 57, 58, 74, 75, 74, 101, 74, 75, 74, 104, 89, 148, 74, 104, 148, 75, 148, 75, 148, 74, 75, 148, 75, 148, 75, 148, 75, 8, 104, 58, 72, 75, 90, 104, 122, 72, 1, 104, 75, 72, 75, 90, 60, 72, 105, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 6, 154]",82
sra_N267_edge106850,5.080718994,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C],[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C],sra,"[64, 61, 51, 52, 60, 61, 60, 65, 60, 61, 60, 66, 64, 72, 60, 66, 72, 61, 72, 61, 72, 60, 61, 72, 61, 72, 61, 72, 61]",29,[O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[48, 7, 20, 22, 34, 48, 65, 20, 1, 48, 22, 20, 22, 34, 9, 20, 49, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 45, 22, 20, 45, 45, 20, 22, 34, 22, 5, 55, 8, 54, 5, 22, 22, 4, 96]",51,[FrH0][C][=Branch][=C][Branch][C][Branch][N][Branch][C][Branch][O][FrH0][pop][Branch][O][pop][C][pop][C][pop][Branch][C][pop][C][pop][C][pop][C][.][O][=C][Branch1][C][Fr][O][Zn][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][P][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][C][Branch1][N][N][Branch1][C][Fr][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][&&][sra],"[89, 75, 57, 58, 74, 75, 74, 101, 74, 75, 74, 104, 89, 148, 74, 104, 148, 75, 148, 75, 148, 74, 75, 148, 75, 148, 75, 148, 75, 8, 104, 58, 72, 75, 90, 104, 122, 72, 1, 104, 75, 72, 75, 90, 60, 72, 105, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 101, 75, 72, 101, 101, 72, 75, 90, 75, 55, 111, 59, 110, 55, 75, 75, 6, 154]",82
nbo_N417_edge81389,4.695830345,[:0alkene][C][C][N][Branch][C][=C][Branch][N][Branch][C][Branch][:0alkene][pop][Branch][:0alkene][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop][FrH0][pop],[Fr][C][O][Cd][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P],nbo,"[7, 61, 61, 65, 60, 61, 52, 60, 65, 60, 61, 60, 7, 72, 60, 7, 72, 68, 51, 72, 7, 72, 64, 72, 64, 72]",26,[Fr][C][O][Cd][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][nbo],"[34, 22, 48, 23, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 48, 54, 49, 4, 88]",40,[:0alkene][C][C][N][Branch][C][=C][Branch][N][Branch][C][Branch][:0alkene][pop][Branch][:0alkene][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop][FrH0][pop][.][Fr][C][O][Cd][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][nbo],"[11, 75, 75, 101, 74, 75, 58, 74, 101, 74, 75, 74, 11, 148, 74, 11, 148, 110, 57, 148, 11, 148, 89, 148, 89, 148, 8, 90, 75, 104, 76, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 104, 110, 105, 6, 145]",68
nbo_N417_edge81389,4.695830345,[:0alkene][C][C][N][Branch][C][=C][Branch][N][Branch][C][Branch][:0alkene][pop][Branch][:0alkene][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop][FrH0][pop],[Fr][C][O][Cd][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P],nbo,"[7, 61, 61, 65, 60, 61, 52, 60, 65, 60, 61, 60, 7, 72, 60, 7, 72, 68, 51, 72, 7, 72, 64, 72, 64, 72]",26,[Fr][C][O][Cd][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][nbo],"[34, 22, 48, 23, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 48, 54, 49, 4, 88]",40,[:0alkene][C][C][N][Branch][C][=C][Branch][N][Branch][C][Branch][:0alkene][pop][Branch][:0alkene][pop][Ring1][=Branch][pop][:0alkene][pop][FrH0][pop][FrH0][pop][.][Fr][C][O][Cd][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][Ring1][P][&&][nbo],"[11, 75, 75, 101, 74, 75, 58, 74, 101, 74, 75, 74, 11, 148, 74, 11, 148, 110, 57, 148, 11, 148, 89, 148, 89, 148, 8, 90, 75, 104, 76, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 104, 110, 105, 6, 145]",68
