MOFname,edge_group_selfie,node_selfie,topo,heat_of_adsorption_CO2_300_kJ_mol,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens,log_CO2_N2_selectivity
sra_N34_edge148295,[:0O_nitrile][C][C][Branch][C][=Branch][=C][Branch][C][Branch][C][FrH0][pop][O][pop][O][pop][O][pop][C][C][Branch][FrH0][pop][O][pop],[O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C],sra,-6.291160769,"[5, 56, 56, 55, 56, 48, 49, 55, 56, 55, 56, 59, 66, 61, 66, 61, 66, 61, 66, 56, 56, 55, 59, 66, 61, 66]",26,[O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][sra],"[41, 7, 18, 20, 30, 41, 23, 18, 1, 41, 20, 18, 20, 30, 9, 18, 3, 39, 39, 20, 18, 20, 20, 20, 18, 20, 30, 7, 46, 1, 20, 39, 39, 20, 18, 20, 20, 20, 18, 20, 30, 7, 46, 1, 20, 4, 87]",47,[:0O_nitrile][C][C][Branch][C][=Branch][=C][Branch][C][Branch][C][FrH0][pop][O][pop][O][pop][O][pop][C][C][Branch][FrH0][pop][O][pop][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][sra],"[9, 70, 70, 69, 70, 54, 55, 69, 70, 69, 70, 82, 135, 94, 135, 94, 135, 94, 135, 70, 70, 69, 82, 135, 94, 135, 7, 94, 55, 67, 70, 83, 94, 74, 67, 1, 94, 70, 67, 70, 83, 57, 67, 4, 92, 92, 70, 67, 70, 70, 70, 67, 70, 83, 55, 99, 1, 70, 92, 92, 70, 67, 70, 70, 70, 67, 70, 83, 55, 99, 1, 70, 5, 141]",75,0.572002797
lon_N262_edge63848,[FrH0][N][N][=C][Branch][N][Branch][FrH0][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][=Branch][pop][:0propyl],[O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1],lon,-9.398322993,"[59, 60, 60, 49, 55, 60, 55, 59, 66, 56, 55, 18, 66, 55, 18, 66, 63, 48, 66, 18]",20,[O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lon],"[41, 7, 18, 20, 30, 41, 25, 19, 18, 20, 41, 20, 18, 20, 30, 41, 25, 18, 1, 41, 20, 18, 20, 30, 9, 18, 6, 41, 20, 18, 20, 30, 41, 46, 7, 18, 39, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 4, 75]",85,[FrH0][N][N][=C][Branch][N][Branch][FrH0][pop][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][=Branch][pop][:0propyl][.][O][=C][Branch1][C][Fr][O][Cu][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lon],"[82, 92, 92, 55, 69, 92, 69, 82, 135, 70, 69, 22, 135, 69, 22, 135, 99, 54, 135, 22, 7, 94, 55, 67, 70, 83, 94, 76, 68, 67, 70, 94, 70, 67, 70, 83, 94, 76, 67, 1, 94, 70, 67, 70, 83, 57, 67, 53, 94, 70, 67, 70, 83, 94, 99, 55, 67, 92, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 5, 128]",107,0.873817209
hex_N507_edge140222,[FrH0][C][=C][C][=C][Branch][C][Branch][FrH0][pop][=N][N][=C][Ring1][#Branch][pop][S][C],[O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1],hex,-11.15431876,"[59, 56, 49, 56, 49, 55, 56, 55, 59, 66, 50, 60, 49, 63, 1, 66, 65, 56]",18,[O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],"[41, 7, 18, 20, 30, 41, 56, 19, 18, 20, 41, 20, 18, 20, 30, 41, 56, 18, 6, 41, 20, 18, 20, 30, 41, 46, 2, 18, 1, 41, 20, 18, 20, 30, 9, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 4, 73]",85,[FrH0][C][=C][C][=C][Branch][C][Branch][FrH0][pop][=N][N][=C][Ring1][#Branch][pop][S][C][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][hex],"[82, 70, 55, 70, 55, 69, 70, 69, 82, 135, 56, 92, 55, 99, 3, 135, 101, 70, 7, 94, 55, 67, 70, 83, 94, 109, 68, 67, 70, 94, 70, 67, 70, 83, 94, 109, 67, 53, 94, 70, 67, 70, 83, 94, 99, 2, 67, 1, 94, 70, 67, 70, 83, 57, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 5, 126]",105,1.190266738
pcu_N543_edge172275,[FrH0][C][=C][=C][C][=C][Branch][C][Branch][C][FrH0][pop][=C][Branch][C][pop][Ring1][#Branch][pop][C],[Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1],pcu,-9.614715132,"[59, 56, 49, 49, 56, 49, 55, 56, 55, 56, 59, 66, 49, 55, 56, 66, 63, 1, 66, 56]",20,[Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][pcu],"[30, 20, 41, 40, 19, 47, 8, 41, 20, 18, 20, 30, 41, 40, 18, 6, 41, 20, 18, 20, 30, 41, 46, 18, 18, 47, 41, 46, 8, 18, 41, 39, 20, 39, 18, 20, 30, 20, 7, 46, 5, 39, 20, 39, 18, 20, 30, 20, 7, 46, 5, 18, 2, 41, 20, 18, 20, 30, 41, 47, 46, 41, 18, 41, 39, 20, 39, 18, 20, 30, 20, 7, 46, 5, 39, 20, 39, 18, 20, 30, 20, 7, 46, 5, 4, 81]",86,[FrH0][C][=C][=C][C][=C][Branch][C][Branch][C][FrH0][pop][=C][Branch][C][pop][Ring1][#Branch][pop][C][.][Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][pcu],"[82, 70, 55, 55, 70, 55, 69, 70, 69, 70, 82, 135, 55, 69, 70, 135, 99, 3, 135, 70, 7, 83, 70, 94, 93, 68, 100, 56, 94, 70, 67, 70, 83, 94, 93, 67, 53, 94, 70, 67, 70, 83, 94, 99, 67, 67, 100, 94, 99, 56, 67, 94, 92, 70, 92, 67, 70, 83, 70, 55, 99, 52, 92, 70, 92, 67, 70, 83, 70, 55, 99, 52, 67, 2, 94, 70, 67, 70, 83, 94, 100, 99, 94, 67, 94, 92, 70, 92, 67, 70, 83, 70, 55, 99, 52, 92, 70, 92, 67, 70, 83, 70, 55, 99, 52, 5, 134]",108,1.00135702
rho_N450_edge167270,[:0alkene][C][:0benzene][Ring2][FrH0][pop][Ring1][C][Branch][N][=C][C][Ring1][#Branch][=C][O][pop][=C][O][pop][Ring2][FrH0][pop][pop],[Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr],rho,-9.060944569,"[6, 56, 8, 64, 59, 66, 63, 56, 55, 60, 49, 56, 63, 1, 49, 61, 66, 49, 61, 66, 64, 59, 66, 66]",24,[Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],"[30, 20, 8, 13, 18, 47, 39, 7, 30, 18, 47, 39, 7, 30, 39, 7, 30, 4, 84]",19,[:0alkene][C][:0benzene][Ring2][FrH0][pop][Ring1][C][Branch][N][=C][C][Ring1][#Branch][=C][O][pop][=C][O][pop][Ring2][FrH0][pop][pop][.][Fr][C][=N][Ag][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][rho],"[10, 70, 12, 100, 82, 135, 99, 70, 69, 92, 55, 70, 99, 3, 55, 94, 135, 55, 94, 135, 100, 82, 135, 135, 7, 83, 70, 56, 61, 67, 100, 92, 55, 83, 67, 100, 92, 55, 83, 92, 55, 83, 5, 138]",45,0.897447644
eta_N298_edge168444,[:0alkene][C][C][=C][C][Branch][O][C][=C][C][=Branch][=C][Branch][C][Ring1][N][pop][Ring1][Ring2][pop][FrH0][pop][FrH0][pop],[ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],eta,-3.580316334,"[6, 56, 56, 49, 56, 55, 61, 56, 49, 56, 48, 49, 55, 56, 63, 60, 66, 63, 64, 66, 59, 66, 59, 66]",24,[ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][eta],"[22, 25, 18, 20, 22, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 4, 70]",44,[:0alkene][C][C][=C][C][Branch][O][C][=C][C][=Branch][=C][Branch][C][Ring1][N][pop][Ring1][Ring2][pop][FrH0][pop][FrH0][pop][.][ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][eta],"[10, 70, 70, 55, 70, 69, 94, 70, 55, 70, 54, 55, 69, 70, 99, 92, 135, 99, 100, 135, 82, 135, 82, 135, 7, 72, 76, 67, 70, 72, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 5, 123]",70,0.320386099
srs_N713_edge77105,[:0carboxylic_acid][Ring1][C][=C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop],[Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1],srs,-6.808761423,"[11, 63, 56, 49, 56, 56, 55, 56, 60, 55, 59, 66, 63, 48, 66, 59, 66]",17,[Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],"[30, 20, 7, 39, 18, 5, 20, 20, 7, 46, 5, 13, 18, 39, 39, 20, 7, 18, 20, 30, 20, 7, 20, 46, 1, 39, 20, 7, 18, 20, 30, 20, 7, 20, 46, 1, 4, 88]",38,[:0carboxylic_acid][Ring1][C][=C][C][C][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][.][Fr][C][=C][N][Branch1][=Branch1][C][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][N][C][=C][Branch1][C][Fr][C][=C][C][Ring1][#Branch1][&&][srs],"[15, 99, 70, 55, 70, 70, 69, 70, 92, 69, 82, 135, 99, 54, 135, 82, 135, 7, 83, 70, 55, 92, 67, 52, 70, 70, 55, 99, 52, 61, 67, 92, 92, 70, 55, 67, 70, 83, 70, 55, 70, 99, 1, 92, 70, 55, 67, 70, 83, 70, 55, 70, 99, 1, 5, 142]",57,0.623444502
nbo_N549_edge133855,[O][C][Branch][C][C][Branch][:1methyl_amine][Ring1][C][Branch][C][C][=C][FrH0][pop][O][pop][pop][O][pop][FrH0],[S][=C][=N][Co][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],nbo,-6.952423591,"[61, 56, 55, 56, 56, 55, 28, 63, 56, 55, 56, 56, 49, 59, 66, 61, 66, 66, 61, 66, 59]",21,[S][=C][=N][Co][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][nbo],"[48, 7, 8, 23, 18, 39, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 18, 39, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 18, 39, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 18, 47, 39, 7, 12, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 4, 79]",61,[O][C][Branch][C][C][Branch][:1methyl_amine][Ring1][C][Branch][C][C][=C][FrH0][pop][O][pop][pop][O][pop][FrH0][.][S][=C][=N][Co][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][nbo],"[94, 70, 69, 70, 70, 69, 32, 99, 70, 69, 70, 70, 55, 82, 135, 94, 135, 135, 94, 135, 82, 7, 101, 55, 56, 74, 67, 92, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 67, 92, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 67, 92, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 67, 100, 92, 55, 60, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 5, 132]",84,0.615648097
bnn_N572_edge155682,[:0nitrile][C][C][Branch][O][FrH0][pop][C][:0benzene][=Branch][C][C][FrH0][pop][pop],[O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O],bnn,-10.33011513,"[16, 56, 56, 55, 61, 59, 66, 56, 8, 48, 56, 56, 59, 66, 66]",15,[O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],"[41, 7, 18, 20, 30, 41, 51, 18, 20, 41, 18, 1, 41, 20, 18, 20, 30, 9, 18, 6, 41, 20, 18, 20, 30, 41, 46, 2, 18, 6, 41, 20, 18, 20, 30, 41, 46, 7, 41, 20, 18, 20, 30, 9, 4, 61]",46,[:0nitrile][C][C][Branch][O][FrH0][pop][C][:0benzene][=Branch][C][C][FrH0][pop][pop][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],"[20, 70, 70, 69, 94, 82, 135, 70, 12, 54, 70, 70, 82, 135, 135, 7, 94, 55, 67, 70, 83, 94, 104, 67, 70, 94, 67, 1, 94, 70, 67, 70, 83, 57, 67, 53, 94, 70, 67, 70, 83, 94, 99, 2, 67, 53, 94, 70, 67, 70, 83, 94, 99, 55, 94, 70, 67, 70, 83, 57, 5, 114]",63,1.046787221
cds_N472_edge95133,[FrH0][N][N][=C][Branch][C][Branch][C][C][Branch][O][FrH0][pop][Branch][:1alkyne][pop][:1alkyne][pop][=N][Ring1][S][pop][:1alkyne],[Fr][C][C][=C][N][Ag][Ag][Branch1][#Branch1][N][Ring1][Ring2][C][=Ring1][Branch2][Ag][Branch1][=C][N][N][Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][=C][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][#Branch1][Branch1][#C][N][N][Ring2][Ring1][=N][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][N][N][Ring2][Ring2][Ring2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1],cds,-9.115517364,"[59, 60, 60, 49, 55, 56, 55, 56, 56, 55, 61, 59, 66, 55, 22, 66, 22, 66, 50, 63, 65, 66, 22]",23,[Fr][C][C][=C][N][Ag][Ag][Branch1][#Branch1][N][Ring1][Ring2][C][=Ring1][Branch2][Ag][Branch1][=C][N][N][Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][=C][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][#Branch1][Branch1][#C][N][N][Ring2][Ring1][=N][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][N][N][Ring2][Ring2][Ring2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],"[30, 20, 20, 7, 39, 13, 13, 18, 1, 39, 46, 47, 20, 10, 19, 13, 18, 7, 39, 39, 46, 5, 20, 7, 20, 18, 20, 30, 7, 46, 1, 18, 7, 39, 39, 46, 8, 20, 7, 18, 20, 30, 20, 7, 46, 1, 13, 47, 46, 47, 18, 3, 39, 20, 7, 18, 20, 30, 20, 7, 39, 46, 1, 47, 46, 1, 18, 3, 39, 39, 47, 46, 8, 20, 7, 20, 18, 20, 30, 7, 46, 1, 39, 39, 47, 47, 47, 20, 7, 18, 20, 30, 20, 7, 46, 1, 4, 63]",98,[FrH0][N][N][=C][Branch][C][Branch][C][C][Branch][O][FrH0][pop][Branch][:1alkyne][pop][:1alkyne][pop][=N][Ring1][S][pop][:1alkyne][.][Fr][C][C][=C][N][Ag][Ag][Branch1][#Branch1][N][Ring1][Ring2][C][=Ring1][Branch2][Ag][Branch1][=C][N][N][Ring1][=Branch1][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][=C][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][#Branch1][Branch1][#C][N][N][Ring2][Ring1][=N][C][=C][C][Branch1][C][Fr][=C][Ring1][#Branch1][N][N][Ring2][Ring2][Ring2][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][cds],"[82, 92, 92, 55, 69, 70, 69, 70, 70, 69, 94, 82, 135, 69, 26, 135, 26, 135, 56, 99, 101, 135, 26, 7, 83, 70, 70, 55, 92, 61, 61, 67, 1, 92, 99, 100, 70, 58, 68, 61, 67, 55, 92, 92, 99, 52, 70, 55, 70, 67, 70, 83, 55, 99, 1, 67, 55, 92, 92, 99, 56, 70, 55, 67, 70, 83, 70, 55, 99, 1, 61, 100, 99, 100, 67, 4, 92, 70, 55, 67, 70, 83, 70, 55, 92, 99, 1, 100, 99, 1, 67, 4, 92, 92, 100, 99, 56, 70, 55, 70, 67, 70, 83, 55, 99, 1, 92, 92, 100, 100, 100, 70, 55, 67, 70, 83, 70, 55, 99, 1, 5, 116]",123,0.927396348
